/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/After_Opp_Overcalls.pbn
board declarer contract score  par     | notes
    1     S       3S      200  S S 11 | 
    2     S       4H      680  S H 12 | Extended acceptance after nt | Splinter
    3     E       4S     -620  E S 10 | 
    4     W       3C      100  W C 8  | 
    5     W       3H       50  W H 8  | 
    6     E       3S      100  E S 8  | Support double redouble
    7     S       2D       90  S D 8  | 
    8     S       4S      450  S S 11 | Limit raise or better in !s
    9     S       4H      450  S H 11 | Stayman | Artificial | Limit raise or better in !h
   10     S       3S     -100  S S 8  | Limit raise or better in !s
   11     S       5H      450  S H 11 | 
   12     S       4H      650  S H 11 | Limit raise or better in !h
   13     W       2S      300  W S 5  | 
   14     W       2H       50  W H 7  | 
   15     S       4S      650  S S 11 | 
   16     S       5D      440  S D 13 | Limit raise or better in !d
   17     S       4S      -50  S S 9  | Cappelletti, 5m-4m
   18     S       4S     -100  S S 9  | 
   19     S       4H      420  S H 10 | Limit raise or better in !h
   20     S       3H     -300  S H 6  | Support 1nt
   21     S      5HX      850  S H 11 | 
   22     S       2S      200  S S 11 | 
   23     W       3C      200  W C 7  | 
   24     N       2H      140  N H 9  | 
   25     S       4D      130  S D 10 | 
   26     W       3H      200  W H 7  | Max 2 !s
   27     W       4S     -420  W S 10 | 
   28     N       3S     -100  N S 8  | 
   29     S       3D      130  S D 10 | 
   30     S       4S      450  S S 11 | Forcing 1nt | Cue bid, surplus | Cue bid, a !c stopper | Cue bid, a !d stopper | Cue bid, a !h stopper
   31     S      4SX      790  S S 10 | 
   32     W       3D     -150  W D 11 | 
   33     N       1N       90  N NT 7 | 
   34     S       3S      170  S S 10 | Limit raise or better in !s
   35     N       3S     -200  N S 5  | 
   36     S       4S     -100  S S 9  | Limit raise or better in !s
   37     S       3S     -100  S S 8  | 
   38     S       3N      490  S NT 12| 
   39     S       4S      680  S S 12 | Splinter | Cue bid, a !d stopper
   40     S       4C      130  S C 10 | Strength cue bid
   41     S       5H      450  S H 11 | Blackwood 0314, for !h
   42     S      5HX     -200  S H 10 | Limit raise or better in !h
   43     S       4H     -100  S H 8  | Limit raise or better in !h
   44     S       3S      170  S S 10 | Limit raise or better in !s
   45     S       3C      150  S C 11 | 
   46     S       4H      450  S H 11 | Limit raise or better in !h
   47     W       3D       50  W D 8  | Support double redouble
   48     S       4H      420  S H 10 | Limit raise or better in !h
   49     S       4S      450  S S 11 | Support 1nt
   50     S       4S     -100  S S 9  | Limit raise or better in !s
   51     S       3S      -50  S S 8  | Support 1nt
   52     S       4H      620  S H 10 | Support 1nt
   53     W      4SX      300  W S 8  | Limit raise or better in !h
   54     S       4S      420  S S 10 | 
   55     S       4S      620  S S 10 | 
   56     S       5H      -50  S H 10 | Limit raise or better in !h
   57     N       2S      -50  N S 7  | 
   58     N       3S      140  N S 9  | 
   59     W       2D     -110  W D 9  | Max 2 !h
   60     N       4S      650  N S 11 | 1x-(y)-2z forcing
   61     S       4S      680  S S 12 | Limit raise or better in !s
   62     S       4S      450  S S 11 | Limit raise or better in !s
   63     W      5CX      100  W C 10 | Limit raise or better in !h
   64     S       4H      420  S H 10 | Limit raise or better in !h | Cue bid, a !d stopper
   65     S       6D      920  S D 12 | Blackwood 0314, for !d
   66     S      5HX     -200  S H 10 | 
   67     S       4S      480  S S 12 | Two way game tries | Two way game tries
   68     S      4HX     -500  S H 8  | Limit raise or better in !h
