/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/After_Partner_Overcalls.pbn
board declarer contract score  par     | notes
    1     S       3C      130  S C 10 | 
    2     E       3D     -110  E D 9  | 
    3     S       3N      430  S NT 10| Stayman
    4     N       3H     -100  N H 8  | 
    5     E       2H      100  E H 6  | 
    6     E       4S     -620  E S 10 | Forcing 1nt
    7     S       4S      620  S S 10 | 
    8     S      4HX     -100  S H 9  | Limit raise or better in !h
    9     S      5CX     -300  S C 9  | Limit raise or better in !c
   10     W       3C      200  W C 7  | 
   11     W       2D      -90  W D 8  | Forcing 1nt
   12     W       2H      150  W H 5  | 
   13     S       4H      620  S H 10 | Mixed raise,  !h
   14     E       3H      100  E H 7  | 
   15     S       3S      170  S S 10 | 
   16     E       5C     -600  E C 11 | Michaels cuebid | Limit raise or better in !c
   17     N       2D      110  N D 9  | 
   18     S       4S      620  S S 10 | Limit raise or better in !s
   19     S       4S      480  S S 12 | 
   20     E      4SX      800  E S 7  | 
   21     W       4H     -450  W H 11 | 
   22     N       2C       90  N C 8  | 
   23     S       3C      110  S C 9  | 
   24     S       3H     -100  S H 7  | 
   25     E       2D      100  E D 7  | 
   26     E       2H     -230  E H 12 | Forcing 1nt
   27     S       3S     -100  S S 7  | 
   28     S       3S     -200  S S 7  | 
   29     W       6D    -1370  W D 12 | Exclusion, for !d
   30     N       3S      -50  N S 8  | 
   31     S       3S      140  S S 9  | 
   32     E       2S     -140  E S 9  | 1m opening allows 5m
   33     S       3H      200  S H 11 | 
   34     E       4H     -450  E H 11 | Forcing 1nt
   35     N       2S     -100  N S 6  | 
   36     S      4SX      790  S S 10 | Mixed raise,  !s
   37     S       4H     -200  S H 8  | 
   38     S       3S      170  S S 10 | 
   39     E       3H      100  E H 8  | 
   40     E       1S       50  E S 6  | 
   41     E       5C     -620  E C 12 | Michaels cuebid | 1x-(y)-2z forcing | Limit raise or better in !c
   42     N       3D      130  N D 10 | Limit raise or better in !d
   43     S       4H      450  S H 11 | Limit raise or better in !h | Cue bid, a !c stopper | Cue bid, a !d stopper
   44     N       4S      650  N S 11 | Limit raise or better in !s
   45     E       1S      -80  E S 7  | 
   46     S       5C      -50  S C 10 | 
   47     N       6C     1370  N C 12 | Blackwood 0314, for !c
   48     S       1N       90  S NT 7 | 
   49     S       4H      480  S H 12 | 
   50     S       2S      170  S S 10 | 
   51     S      4SX      590  S S 10 | Limit raise or better in !h
   52     N       4S     -100  N S 9  | Limit raise or better in !s
   53     E       5D      200  E D 7  | 
   54     E       3S     -140  E S 9  | 
   55     S       4H      650  S H 11 | Mixed raise,  !h | Support double redouble
   56     S       5H      450  S H 11 | 
   57     S       4S      420  S S 10 | 
   58     S       3C      110  S C 9  | 
   59     S       3C      130  S C 10 | Michaels cuebid | To the partner's longer
   60     N       3N      720  N NT 13| 
   61     E      4SX      200  E S 9  | 1m opening allows 5m
   62     S       5C      -50  S C 10 | 
   63     S       3C      110  S C 9  | 
   64     E       3S      100  E S 8  | 
   65     E      5CX      300  E C 9  | 
   66     E       4D       50  E D 9  | 
   67     S       2S      140  S S 9  | 
   68     E       4H     -620  E H 10 | Limit raise or better in !h | Cue bid, a !s stopper | Cue bid, a !s stopper
   69     S       4C     -100  S C 9  | 
   70     S       2S      110  S S 8  | 
   71     S       4H     -300  S H 7  | Support double redouble
   72     E       3C     -110  E C 9  | 
   73     E       4S      100  E S 9  | Bergen
   74     S       1N       90  S NT 7 | 
   75     S       3H      170  S H 10 | Limit raise or better in !h
   76     W       2S     -110  W S 8  | 
   77     S       4S      620  S S 10 | Limit raise or better in !s
   78     S       4S      450  S S 11 | 
   79     E       2S       50  E S 7  | 
   80     W       2S     -140  W S 9  | 
   81     S       2D      130  S D 10 | 
   82     E       4H     -450  E H 11 | 
   83     E       3C      100  E C 8  | 
   84     S       4H      650  S H 11 | Limit raise or better in !h
   85     E       4C     -130  E C 10 | 
   86     S       4S      -50  S S 9  | 
   87     S       6H     1430  S H 12 | Limit raise or better in !h | Cue bid, a !c stopper | Cue bid, a !s stopper | Exclusion, for !h
   88     E       4D     -170  E D 12 | 
   89     N       4H      420  N H 10 | Fit showing jumps
   90     S       3N      600  S NT 9 | 
   91     W       3C      100  W C 7  | 
   92     E       2S     -110  E S 8  | 
   93     S       3H     -100  S H 8  | 
   94     E      4DX      100  E D 9  | 
   95     S       4S      650  S S 11 | Mixed raise,  !s | Cue bid, a !c stopper
   96     S       4H      450  S H 11 | 
   97     E      4SX     -590  E S 10 | 
   98     E       2H     -110  E H 8  | Forcing 1nt
   99     S      5DX     -100  S D 10 | 
  100     S       3N     -100  S NT 8 | 
  101     S       2S      110  S S 8  | 
  102     S       1N      150  S NT 9 | 
  103     S       2S      110  S S 8  | 
  104     W       4D     -130  W D 10 | Forcing 1nt
  105     W       1N      200  W NT 5 | 
  106     S       3S     -100  S S 8  | 
  107     S       2D      130  S D 10 | 
  108     E       2C      -90  E C 8  | Forcing 1nt
  109     E       4S     -620  E S 10 | Bergen
  110     S       4D      -50  S D 9  | 
  111     E       2S      100  E S 6  | 
  112     S       5C     -100  S C 9  | Strength cue bid
  113     N       2H      110  N H 8  | 
  114     N       3D      110  N D 9  | 
  115     E       3C     -130  E C 10 | 
  116     S       3N      600  S NT 9 | 
  117     W       4H     -420  W H 10 | Lebensohl after 1m | Limit raise or better in !h
  118     S       4H      420  S H 10 | 
  119     S       4D      130  S D 10 | 
  120     E       3S     -200  E S 11 | Bergen
  121     S       2S      110  S S 8  | 
  122     E       4C     -130  E C 10 | 
  123     E       2S     -110  E S 8  | Forcing 1nt
  124     S       3H      140  S H 9  | Limit raise or better in !h
  125     E      4SX      200  E S 9  | 
  126     E       2C     -150  E C 11 | Forcing 1nt
  127     N       4S     -100  N S 9  | 
  128     S      4SX     -100  S S 9  | 
  129     S       5H      450  S H 11 | 
  130     E       2S       50  E S 7  | 
  131     S       2S      140  S S 9  | 
  132     S       4H      620  S H 10 | 
  133     W       5C     -400  W C 11 | 1x-(y)-2z forcing
  134     S       5S      480  S S 12 | Limit raise or better in !s | Exclusion, for !s
  135     S      3HX     -200  S H 8  | 
  136     E      5HX      500  E H 8  | Strength cue bid
  137     N       5H      450  N H 11 | 
  138     E      5CX      800  E C 8  | Limit raise or better in !s | Denies a !c stopper
  139     N       4D      150  N D 11 | 
  140     N       4H     -100  N H 9  | Michaels cuebid | Limit raise or better in !h
  141     N       4H      650  N H 11 | 
  142     S       2H      110  S H 8  | 
  143     N       2C      110  N C 9  | 
  144     W       3S      200  W S 7  | Max 2 !s
  145     S       2S      140  S S 9  | 
  146     S       4H      620  S H 10 | 
  147     S       2S     -100  S S 6  | 
  148     S       3H     -200  S H 7  | 
  149     E       4H       50  E H 9  | 
  150     S       4H      450  S H 11 | Support double redouble
  151     N       4H      620  N H 10 | Fit showing jumps
  152     S       2H      140  S H 9  | 
  153     E       3D     -110  E D 9  | 
  154     N       4S     -100  N S 9  | Max 2 !h | Limit raise or better in !s
  155     S       2S      110  S S 8  | 
  156     W      4SX      300  W S 8  | 1x-(1y)-2z weak
  157     N       2H      110  N H 8  | 
  158     E       3S       50  E S 8  | 
  159     N       5D      620  N D 12 | 
  160     N       4S      480  N S 12 | Max 2 !h | Mixed raise,  !s
  161     S       2H      -50  S H 7  | 
  162     S       4H      620  S H 10 | Limit raise or better in !h | Splinter
  163     E       1H      -80  E H 7  | 
  164     N       5H      650  N H 11 | Michaels cuebid | Limit raise or better in !h | Blackwood 0314, for !h
  165     S       2D     -100  S D 7  | 
  166     S       4H     -100  S H 8  | Limit raise or better in !h
  167     S       2H      110  S H 8  | 
  168     E       4D     -150  E D 11 | 
  169     S       5D      440  S D 13 | 1m-3m blocking
  170     S       3S      140  S S 9  | 
  171     N       3C      110  N C 9  | Limit raise or better in !c
  172     E       4H     -450  E H 11 | Forcing 1nt
  173     E       4D      100  E D 9  | 
  174     E       2D     -130  E D 10 | 
  175     W       2S     -110  W S 8  | 1x-(1y)-2z weak
  176     S       3S      140  S S 9  | 
  177     E       1N      150  E NT 4 | 
  178     E       3H       50  E H 8  | 
  179     E       1H      -80  E H 7  | 
  180     S       3N      660  S NT 11| 
  181     S       4H      620  S H 10 | Limit raise or better in !h
  182     E       1H      200  E H 5  | 
  183     E       3C      100  E C 8  | 
  184     E       3H     -140  E H 9  | 
  185     S       4S      450  S S 11 | Limit raise or better in !s | Cue bid, a !h stopper
  186     S       3S      140  S S 9  | 
  187     S       3H      140  S H 9  | 
  188     W       3S      150  W S 6  | Support double redouble
  189     E       1S      -80  E S 7  | 
  190     N      4SX     -300  N S 8  | 
  191     S      4SX     -500  S S 8  | Limit raise or better in !h
  192     E       3D      200  E D 7  | 
  193     E       2S     -110  E S 8  | 
  194     S       2H      110  S H 8  | 
  195     W       5D     -600  W D 11 | 
  196     S       3S      170  S S 10 | 
  197     W       4S       50  W S 9  | 
  198     W       1N      -90  W NT 7 | 
  199     S       4S      680  S S 12 | 
  200     S       3H      140  S H 9  | 
  201     N       4H      450  N H 11 | Limit raise or better in !h | Cue bid, a !d stopper | Cue bid, a !c stopper
  202     E       3C     -150  E C 11 | 
  203     E       4C     -150  E C 11 | 
  204     N       3S     -200  N S 7  | 
  205     N       5S      650  N S 11 | Limit raise or better in !s | Cue bid, a !h stopper | Cue bid, a !c stopper | Cue bid, a !d stopper | Blackwood 0314, for !s
  206     N       3N      430  N NT 10| 
