#,Date,Board,North,South,East,West,**South** Result,**South** Score, IMPs  or MPs,Par Result, **South**  Par Score,Vs. Par,DD Bidding,DD Play,
1,2024.09.18,1,EPBot1,EPBot3,EPBot2,EPBot4,3H N -2,-100,0.00%,4S EW+1,-450,8,They missed game,-,
2,2024.09.18,2,EPBot1,EPBot3,EPBot2,EPBot4,4S W -1,50,0.00%,3S EW,-140,5,They overbid - undoubled,-,
3,2024.09.18,3,EPBot1,EPBot3,EPBot2,EPBot4,1S S +1,110,0.00%,2N NS,120,0,We missed best contract,-,
4,2024.09.18,4,EPBot1,EPBot3,EPBot2,EPBot4,4S N -1,-100,0.00%,2S NS+1,140,-6,We overbid - undoubled,-,
5,2024.09.18,5,EPBot1,EPBot3,EPBot2,EPBot4,1N S +2,150,0.00%,5HX EW-3,500,-8,We missed game,-,
6,2024.09.18,6,EPBot1,EPBot3,EPBot2,EPBot4,3N S -2,-100,0.00%,5C NS,400,-11,We missed game,-,
7,2024.09.18,7,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,5SX EW-1,200,10,They missed game,-,
8,2024.09.18,8,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,1N NS,90,0,Par was bid,-,
9,2024.09.18,9,EPBot1,EPBot3,EPBot2,EPBot4,3N N +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
10,2024.09.18,10,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,4H NS,620,0,Par was bid,-,
11,2024.09.18,11,EPBot1,EPBot3,EPBot2,EPBot4,3S N -1,-50,0.00%,5H EW,-450,9,They missed game,-,
12,2024.09.18,12,EPBot1,EPBot3,EPBot2,EPBot4,2S E +1,-140,0.00%,4SX EW-1,100,-6,We missed partial,-,
13,2024.09.18,13,EPBot1,EPBot3,EPBot2,EPBot4,3N S -2,-200,0.00%,5C NS,600,-13,We missed game,-,
14,2024.09.18,14,EPBot1,EPBot3,EPBot2,EPBot4,3CX W -2,300,0.00%,2S NS+1,140,4,They overbid - doubled,-,
15,2024.09.18,15,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,4S NS,620,0,Par was bid,-,
16,2024.09.18,16,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,4H NS+1,450,0,Par was bid,-,
17,2024.09.18,17,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
18,2024.09.18,18,EPBot1,EPBot3,EPBot2,EPBot4,6HX S -1,-200,0.00%,5N NS,660,-13,We overbid - doubled,-,
19,2024.09.18,19,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
