/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Drury-GIB.pbn
board declarer contract score | notes
  1      N        6S     -50  | 1M-3M inviting | Cue bid, a !C stopper
  2      N        4S     620  | 
  3      N        4H     420  | 1M-3M inviting
  4      N        4H     420  | 1M-3M inviting
  5      N        2S     170  | 
  6      N        4S     -50  | 1M-3M inviting
  7      N        4S     420  | Splinter
  8      N        4S     450  | 1M-3M inviting
  9      N        4H     420  | 
  10     N        4H     420  | 
  11     N        4H     420  | 1M-3M inviting
  12     N        4H     650  | 1M-3M inviting
  13     N        4H     620  | 
  14     N        3S     140  | 1M-3M inviting
  15     N        4S     620  | Cue bid, a !C stopper
  16     N        4S     420  | 
  17     S        1N     150  | 
  18     N        4H     620  | 1M-3M inviting
  19     N        4H     450  | 1M-3M inviting
  20     N        6S     980  | 
  21     N        4H     620  | 1M-3M inviting
  22     N        4H     450  | 
  23     S        1N     120  | 
  24     N        6S     980  | Blackwood 0314, for !S
  25     N        4S     450  | 1M-3M inviting
  26     N        2H     140  | 
  27     N        4S     450  | 1M-3M inviting
  28     N        4S     620  | 
  29     N        4S     650  | 
  30     N        4S     420  | 
  31     S        1N     120  | 
  32     S        2N     120  | 
  33     N        4H     420  | 
  34     N        4H     680  | 1M-3M inviting
  35     N        4S     420  | 1M-3M inviting
  36     N        3H     140  | 
  37     N        2H     170  | 
  38     N        4S     420  | 1M-3M inviting
  39     N        6H     -50  | 1M-3M inviting | Cue bid, a !C stopper
  40     N        4S     420  | 
  41     N        2H     140  | 
  42     N        4H     420  | Cue bid, surplus | Cue bid, a !C stopper
  43     N        3H     140  | 
  44     N        4H     650  | Splinter
  45     N        4H     620  | 
  46     N        4S     450  | 
  47     N        2S     170  | 
  48     N        4S     450  | 
  49     S        4S     450  | 
  50     N        4H     650  | 
  51     N        4H     420  | 1M-3M inviting
  52     N        4H     -50  | 
  53     N        4S     620  | 1M-3M inviting
  54     N        4H     450  | 
  55     N        4H     420  | 
  56     N        4H     420  | 
  57     N        4S     420  | 1M-3M inviting
  58     N        4H     450  | 
  59     N        2H     170  | 
  60     N        4H     650  | 
  61     N        2H     140  | 
  62     N        2H     170  | 
  63     N        4H     650  | 
  64     N        4S     420  | 
  65     N        3H     170  | 
  66     N        4S     -100 | Cue bid, a !H stopper
  67     N        4S     450  | Cue bid, surplus
  68     N        4H     450  | Splinter
  69     N        6S     1430 | 1M-3M inviting
  70     N        4H     420  | 1M-3M inviting
  71     N        4H     -50  | 1M-3M inviting
  72     S        3S     140  | 
  73     N        3H     140  | 1M-3M inviting
  74     N        4S     450  | 
  75     N        4H     450  | 
  76     N        4H     620  | 
  77     N        4S     620  | Cue bid, surplus
  78     N        4S     450  | 
  79     N        4H     620  | 
  80     N        4H     480  | 
  81     N        3H     170  | 1M-3M inviting
  82     N        4H     650  | 1M-3M inviting
  83     N        4H     420  | 1M-3M inviting
  84     N        4H     420  | 1M-3M inviting
  85     N        4S     650  | 1M-3M inviting
  86     N        4S     -50  | 1M-3M inviting
  87     S        1N      90  | 
  88     N        4H     420  | 1M-3M inviting
  89     N        2S     170  | 
  90     N        4H     -50  | Splinter
  91     S        1N     150  | 
  92     N        4H     -100 | 
  93     N        4S     -100 | 
  94     N        2S     170  | 
  95     N        3S     170  | 
  96     N        2S     110  | 
  97     N        2H     140  | 
  98     N        4S     620  | 
  99     N        4H     420  | 
 100     N        2H     170  | 
 101     N        2S     170  | 
 102     N        4H     450  | Cue bid, a !S stopper
 103     N        4S     -50  | Cue bid, a !D stopper
 104     N        4S     420  | 
 105     S        1N     120  | 
 106     S        1N     150  | 
 107     N        4S     450  | 
 108     N        2S     140  | 
 109     N        4H     650  | 1M-3M inviting
 110     N        4H     420  | 1M-3M inviting
 111     N        2S     140  | 
 112     N        4H     450  | 
