ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.07.21,1,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +1",450,0.00%,"6S NS",980,-11,"We missed small slam",-1
2,2024.07.21,2,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",620,0.00%,"5CX EW-3",500,3,"They missed sacrifice",-
3,2024.07.21,3,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
4,2024.07.21,4,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
5,2024.07.21,5,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",620,0.00%,"3H NS",140,10,"We overbid - undoubled",+1
6,2024.07.21,6,EPBot1,EPBot3,EPBot2,EPBot4,"4S N -1",-50,0.00%,"3N NS",400,-10,"We overbid - undoubled",-
7,2024.07.21,7,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"4S NS",420,0,"Par was bid",-
8,2024.07.21,8,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +1",450,0.00%,"4S NS+1",450,0,"Par was bid",-
9,2024.07.21,9,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS+1",450,-1,"Par was bid",-1
10,2024.07.21,10,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"1H NS+2",140,6,"We overbid - undoubled",+1
11,2024.07.21,11,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H N+1",450,-1,"Par was bid",-1
12,2024.07.21,12,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",650,0.00%,"4SX EW-2",300,8,"They missed sacrifice",+1
13,2024.07.21,13,EPBot1,EPBot3,EPBot2,EPBot4,"3H N +1",170,0.00%,"3N NS",600,-10,"We missed game",+1
14,2024.07.21,14,EPBot1,EPBot3,EPBot2,EPBot4,"3S N =",140,0.00%,"4S NS",420,-7,"We missed game",-1
15,2024.07.21,15,EPBot1,EPBot3,EPBot2,EPBot4,"4S S =",620,0.00%,"4S NS",620,0,"Par was bid",-
16,2024.07.21,16,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"4H NS",420,0,"Par was bid",-
17,2024.07.21,17,EPBot1,EPBot3,EPBot2,EPBot4,"4S N -1",-50,0.00%,"3N S",400,-10,"We overbid - undoubled",-
18,2024.07.21,18,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"4H NS",620,0,"Par was bid",-
19,2024.07.21,19,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",450,0.00%,"4H NS",420,1,"Par was bid",+1
20,2024.07.21,20,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +2",480,0.00%,"6H NS",980,-11,"We missed small slam",-
21,2024.07.21,21,EPBot1,EPBot3,EPBot2,EPBot4,"4H S =",620,0.00%,"4SX EW-2",300,8,"They missed sacrifice",-
22,2024.07.21,22,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",450,0.00%,"6N NS",990,-11,"We missed small slam",-1
23,2024.07.21,23,EPBot1,EPBot3,EPBot2,EPBot4,"3S N =",140,0.00%,"3N NS",400,-6,"We missed game",-
24,2024.07.21,24,EPBot1,EPBot3,EPBot2,EPBot4,"6S N =",980,0.00%,"7D NS",1440,-10,"We missed grand slam",-
25,2024.07.21,25,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +1",450,0.00%,"4H NS+1",450,0,"Par was bid",-
26,2024.07.21,26,EPBot1,EPBot3,EPBot2,EPBot4,"2H N +1",140,0.00%,"2H NS",110,1,"Par was bid",+1
27,2024.07.21,27,EPBot1,EPBot3,EPBot2,EPBot4,"6S N -1",-50,0.00%,"6S NS",980,-14,"Par was bid",-1
28,2024.07.21,28,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",620,0.00%,"3N S+1",630,0,"We missed best contract",-
29,2024.07.21,29,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +1",650,0.00%,"4S NS+1",650,0,"Par was bid",-
30,2024.07.21,30,EPBot1,EPBot3,EPBot2,EPBot4,"3S N +1",170,0.00%,"4S NS+1",450,-7,"We missed game",-1
31,2024.07.21,31,EPBot1,EPBot3,EPBot2,EPBot4,"3H N =",140,0.00%,"2N N",120,1,"We overbid - undoubled",+1
32,2024.07.21,32,EPBot1,EPBot3,EPBot2,EPBot4,"3S N =",140,0.00%,"1S NS+2",140,0,"Par was bid",-
33,2024.07.21,33,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"2H NS+1",140,7,"We overbid - undoubled",+1
34,2024.07.21,34,EPBot1,EPBot3,EPBot2,EPBot4,"6H N =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
35,2024.07.21,35,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"4S NS",420,0,"Par was bid",-
36,2024.07.21,36,EPBot1,EPBot3,EPBot2,EPBot4,"4H N -1",-50,0.00%,"3N NS",400,-10,"We overbid - undoubled",-
37,2024.07.21,37,EPBot1,EPBot3,EPBot2,EPBot4,"3H N +1",170,0.00%,"3N S",600,-10,"We missed game",+1
38,2024.07.21,38,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"2S NS",110,7,"We overbid - undoubled",+2
