/Users/adavidbailey/Practice-Bidding-Scenarios/BBA - Drury.pbn
board declarer contract score
1 N 4S 450
2 N 4S 620
3 N 4H 420
4 N 4H 420
5 N 4S 620
6 N 4S -50
7 N 4S 420
8 N 4S 450
9 N 4H 420
10 N 3N 400
11 N 4H 420
12 N 4H 650
13 N 3H 170
14 N 3S 140
15 S 4S 620
16 N 4S 420
17 N 4S -50
18 N 4H 620
19 N 4H 450
20 N 4S 480
21 S 4H 620
22 N 4H 450
23 N 3S 140
24 N 6S 980
25 N 4S 450
26 N 2H 140
27 N 6S -50
28 N 4S 620
29 N 4S 650
30 N 3S 170
31 N 3H 140
32 N 3S 140
33 N 4H 420
34 N 6H 1430
35 N 4S 420
36 N 4H -50
37 N 3H 170
38 N 4S 420
39 N 6H -50
40 N 4S 420
41 N 3H 140
42 N 4H 420
43 N 3H 140
44 N 6H -100
45 N 4H 620
46 N 4S 450
47 N 3S 170
48 N 4S 450
49 S 4S 450
50 N 4H 650
51 N 4H 420
52 N 3H 140
53 N 3S 170
54 N 4H 450
55 N 3H 170
56 N 4H 420
57 N 3S 170
58 N 3N 430
59 N 3H 170
60 N 4H 650
61 N 4H -100
62 N 4H 420
63 N 4H 650
64 N 4S 420
65 N 3H 170
66 N 4S -100
67 N 4S 450
68 N 4H 450
69 N 4S 680
70 N 4H 420
71 N 3H 140
72 N 4H 420
73 N 3H 140
74 N 4S 450
75 N 4H 450
76 N 4H 620
77 N 4S 620
78 S 3N 430
79 N 4H 620
80 N 6H 980
81 N 4H 420
82 N 4H 650
83 N 4H 420
84 N 3H 170
85 N 4S 650
86 N 3S 140
87 N 3H 170
88 N 3H 170
89 N 3S 170
90 N 4H -50
91 N 3S 170
92 N 4H -100
93 N 3S 140
94 N 2S 170
95 N 3S 170
96 N 2S 110
97 N 3H 140
98 S 4S 620
99 N 4H 420
100 N 4H 420
101 N 3S 170
102 N 4H 450
103 N 4S -50
104 N 4S 420
105 N 3S 200
106 N 3H 170
107 N 4S 450
108 N 3S 140
109 S 4H 650
110 N 4H 420
111 N 3S 140
112 N 4H 450
113 N 5H 480
114 N 4S 620
115 N 3S 140
116 N 3N 400
117 N 4H -100
118 N 3H 140
119 N 4H 420
120 N 4S 420
121 N 4S 450
122 N 4S 420
123 N 3S 170
124 N 3N 630
125 N 3N 600
126 N 4S 450
127 S 4S 650
128 N 3H 200
129 N 6HX -100
130 N 4H 620
131 N 3S 170
132 N 3H 170
133 N 4H 650
134 N 4H 450
135 N 4S 420
136 N 4H 420
137 N 4S 420
138 N 6H -50
139 N 4H 450
140 N 4S 650
141 N 4H 620
142 N 4H 420
143 N 4S 650
144 N 3N 400
145 N 4H 420
146 N 3S 170
147 N 4S 450
148 N 3H 170
149 N 4S 620
150 N 4H -50
151 N 4H 420
152 N 3H 140
153 N 4S 450
154 N 3H 140
155 N 3S 140
156 N 4S 620
157 N 3H 140
158 N 4H 450
159 N 4S -100
160 S 4H 420
161 N 4H 450
162 N 3S 140
163 N 4H 450
164 N 6S -50
165 N 4H 620
166 N 4H 450
167 N 4H 450
168 N 5H -50
169 N 4H 420
170 N 4H 420
171 N 4S 450
172 N 2H 170
173 N 4S 650
174 N 3H 140
175 N 4H 650
176 S 4S 420
177 N 4H 450
178 N 4H 620
179 N 4H 420
180 N 4S 420
181 N 4S 650
182 N 4S 450
183 N 4S 420
184 N 4S 450
185 N 3S 170
186 N 2S 140
187 S 4S -50
188 N 3H 170
189 N 5S 650
190 N 4S 420
191 N 4H 620
192 N 2S 140
193 N 4H 450
194 N 4H 680
195 N 4S 450
196 N 4H 420
197 S 4S 680
198 N 4H 450
199 N 2H 140
200 N 3S 140
201 N 4S 420
202 N 4S 450
203 N 3S 170
204 N 3H 170
205 N 4H 620
206 N 3H 140
207 N 4H 650
208 N 4H 420
209 N 4H -50
210 N 2S 170
211 N 4S 450
212 N 3S 170
213 N 3H 170
214 N 3N 400
215 N 4S 420
216 N 4H 420
217 N 4S 450
218 N 4S 450
219 S 4S 450
220 S 4S 620
221 N 3H 170
222 N 4H 450
223 N 4H 650
224 N 4S 450
225 S 4S 450
226 S 4H 620
227 N 4H 420
228 N 4H 420
229 N 3H 140
230 N 4H 420
231 S 4H 420
232 N 3S 170
233 N 5S -50
234 N 3H 170
235 N 3H 140
236 N 3H 140
237 N 4H 620
238 N 4H 450
239 N 3S 140
240 N 3H 140
241 N 4H 420
242 N 3H 170
243 N 4H 450
244 N 4H 420
245 S 4S 650
246 N 4S -50
247 N 4H 450
248 N 4H 450
249 N 4S 420
250 S 3S 170
251 N 4H 450
252 N 4H 650
253 N 4S 620
254 N 4S 450
255 N 4H 650
256 N 3H 170
257 N 4S 420
258 N 4S -100
259 N 4S 450
260 N 4H 480
261 N 5S 650
262 N 4S 450
263 N 4H 420
264 N 4S 420
265 N 3S 170
266 N 4H 450
267 N 4S 420
268 N 3H 170
269 N 3H 140
270 N 3S 140
271 N 4S 650
272 N 4H 420
273 S 4S 450
274 N 6H -100
275 N 4S 420
276 N 3S 170
277 N 4S 620
278 N 3H 170
279 N 4H 480
280 N 4S 450
281 N 4H -50
282 N 4S 450
283 N 4H 420
284 N 4H 650
285 N 3H 140
286 N 3H 170
287 N 4H 620
288 N 4H 420
289 N 3H 140
290 N 3N 600
291 N 4H 450
292 N 3S 170
293 N 3S 140
294 N 4H 450
295 N 3H 170
296 N 4H 450
297 S 4S 420
298 N 4H 450
299 N 4H 450
300 N 4H 650
301 N 3H 140
302 N 4S 420
303 N 6H -100
304 N 4S 480
305 N 3N 460
306 N 4H 620
307 N 4H 420
308 N 6H -50
309 N 3H 170
310 N 4S 450
311 N 3S 140
312 N 2S 140
313 N 3H 170
314 N 3S 170
315 N 4H 450
316 N 4S 650
317 N 4H -100
318 N 4S 450
319 N 4H -100
320 N 4S 420
321 N 4S 420
322 N 3H 140
323 N 3S 170
324 N 4S 450
325 N 4H 680
326 N 4H 420
327 S 4S 450
328 N 4H 420
329 N 5S 450
330 N 4S 420
331 S 4H 420
332 N 3S 170
333 S 4S 650
334 N 4H 420
335 N 4H 620
336 N 4S 450
337 N 4S 420
338 N 4H 650
339 N 4S 420
340 N 4S 450
341 N 3S 200
342 S 4S 420
343 N 4S 450
344 N 3H 170
345 N 4S 450
346 N 4S 450
347 N 4H 450
348 N 4H 620
349 S 4S 650
350 N 4S 450
351 N 3H 140
352 N 3H 170
353 N 3H 170
354 N 3H 140
355 N 4S 450
356 N 4H 420
357 N 3S 170
358 S 4S 420
359 N 4H 450
360 N 4H 420
361 N 4S 450
362 N 3H 140
363 N 2S 170
364 N 4H 650
365 N 3S 170
366 N 4S 420
367 N 4S 620
368 N 4S 450
369 N 4H 420
370 N 6H 1430
371 N 3H 200
372 N 3N 430
373 N 4S 620
374 N 4H 450
375 N 4H 450
376 N 4S 420
377 N 3S 170
378 N 4S 420
379 N 6H 980
380 N 4S 620
381 N 3N 600
382 N 3S 140
383 N 3H 140
384 N 3H 140
385 N 3H 140
386 N 3H 140
387 N 4H 420
388 N 3S 170
389 N 4S 620
390 N 6H 980
391 N 4S 450
392 N 3H 170
393 N 4H 450
394 N 4H 480
395 N 4S 420
396 N 4H 620
397 N 4H 620
398 N 4H 420
399 N 3H 140
400 N 6S -50
401 N 4S 420
402 N 4H 650
403 N 4H 450
404 N 4S -50
405 N 4H 650
406 N 3S 170
407 N 4S 420
408 N 4S 420
409 N 4H 450
410 N 6H -50
411 N 4H 420
412 N 3S 170
413 N 4S 620
414 N 2H 140
415 N 2S 140
416 N 6S 980
417 N 4S 450
418 N 3H 170
419 N 3S 170
420 N 4H 420
421 N 4H 620
422 N 6S -50
423 N 4S 420
424 N 3S 140
425 N 4H 420
426 N 4H 420
427 N 4H 420
428 S 4S 650
429 N 3S -100
430 N 4H 480
431 N 3H 170
432 N 4H 450
433 N 3H 140
434 S 4H 620
435 N 4S 450
436 N 4S 420
437 N 6HX -200
438 N 3S 140
439 N 3H 170
440 N 3H 170
441 N 3H 170
442 N 3S 170
443 N 4S 420
444 N 3N 600
445 N 3H 170
446 N 4S 450
447 N 6H 1430
448 N 4S 420
449 N 4H 450
