/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Game_Overcalls-EPBot.pbn
board declarer contract score  par     | notes
    1     S       5C      600  S C 11 | 
    2     S       4S      -50  S S 9  | 
    3     S      3HX     -500  S H 7  | 
    4     E      5DX     -750  E D 11 | 
    5     S      5SX     -100  S S 10 | 
    6     S       4H      620  S H 10 | 
    7     S       4H      450  S H 11 | 
    8     S      4SX     -100  S S 9  | 
    9     W       3C     -130  W C 10 | 1x-(y)-2z forcing
   10     E       5H     -680  E H 12 | 
   11     S       4H     -100  S H 9  | 
   12     S       4S      620  S S 10 | 
   13     S       4H      420  S H 10 | 
   14     E      5SX     -850  E S 11 | 
   15     S       4H     -100  S H 8  | 
   16     S       4H      420  S H 10 | 
   17     S       4S      680  S S 12 | Limit raise or better in !s
   18     S       4H      -50  S H 9  | 
   19     S      5CX     -200  S C 10 | 
   20     S       4S      620  S S 10 | 
   21     S       4H     -200  S H 6  | 
   22     S       4H      650  S H 11 | 
   23     E       4S     -680  E S 12 | 
   24     E       4S     -480  E S 12 | Limit raise or better in !s
   25     E       4H       50  E H 9  | 
   26     S       4H      420  S H 10 | 
   27     S       4H      620  S H 10 | 
   28     E      5HX      100  E H 10 | Limit raise or better in !h
   29     S       4S      -50  S S 9  | 
   30     S       4H      620  S H 10 | 
   31     E       5H      150  E H 8  | 
   32     S      4SX      690  S S 11 | 
   33     W       5D      100  W D 10 | 
   34     S       4S      420  S S 10 | 
   35     S       4S      650  S S 11 | 
   36     S       4H     -100  S H 9  | 
   37     S       4H      -50  S H 9  | 
   38     S       4H     -100  S H 9  | 
   39     E      5SX     -850  E S 11 | 
   40     S      5SX     -100  S S 10 | 
   41     E       4S     -420  E S 10 | Limit raise or better in !s
   42     E       4S     -650  E S 11 | 
   43     S       4S      650  S S 11 | 
   44     S       4S     -200  S S 8  | 
   45     S       4H      450  S H 11 | 
   46     S       4S      650  S S 11 | 
   47     S       4S      450  S S 11 | 
   48     S       4H      420  S H 10 | 
   49     S       4H      650  S H 11 | 
   50     S       4H      -50  S H 9  | 
   51     E       5C     -400  E C 11 | 
   52     S       4S     -100  S S 9  | 
