ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.09.06,1,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS",420,0,"Par was bid",-
2,2024.09.06,2,GIB61,GIB61,EPBot2,EPBot4,"6S S +1",1460,0.00%,"7N NS",2220,-13,"We missed grand slam",-
3,2024.09.06,3,GIB61,GIB61,EPBot2,EPBot4,"6H S =",980,0.00%,"6N S",990,0,"We missed best contract",-
4,2024.09.06,4,GIB61,GIB61,EPBot2,EPBot4,"4H N =",620,0.00%,"4H NS",620,0,"Par was bid",-
5,2024.09.06,5,GIB61,GIB61,EPBot2,EPBot4,"4S S +3",710,0.00%,"7N NS",2220,-17,"We missed grand slam",-
6,2024.09.06,6,GIB61,GIB61,EPBot2,EPBot4,"4H S +1",450,0.00%,"4H NS+1",450,0,"Par was bid",-
7,2024.09.06,7,GIB61,GIB61,EPBot2,EPBot4,"3C W =",-110,0.00%,"3S NS",140,-6,"We missed partial",-
8,2024.09.06,8,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"4SX EW-2",300,3,"They missed sacrifice",-
9,2024.09.06,9,GIB61,GIB61,EPBot2,EPBot4,"6S S =",980,0.00%,"6N NS",990,0,"We missed best contract",-
10,2024.09.06,10,GIB61,GIB61,EPBot2,EPBot4,"4H S =",620,0.00%,"4SX EW-2",500,3,"They missed sacrifice",-
11,2024.09.06,11,GIB61,GIB61,EPBot2,EPBot4,"4H S +2",480,0.00%,"6H NS",980,-11,"We missed small slam",-
12,2024.09.06,12,GIB61,GIB61,EPBot2,EPBot4,"4H S +1",650,0.00%,"4H NS+1",650,0,"Par was bid",-
13,2024.09.06,13,GIB61,GIB61,EPBot2,EPBot4,"6H S =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
14,2024.09.06,14,GIB61,GIB61,EPBot2,EPBot4,"4H S -2",-100,0.00%,"3S E",-140,1,"They missed double",-
15,2024.09.06,15,GIB61,GIB61,EPBot2,EPBot4,"4H S =",620,0.00%,"4H NS",620,0,"Par was bid",-
