#,Date,Board,North,South,East,West,**South** Result,**South** Score, IMPs  or MPs,Par Result, **South**  Par Score,Vs. Par,DD Bidding,DD Play,
1,2024.09.04,1,GIB61,GIB61,EPBot2,EPBot4,4H S =,420,0.00%,4H NS,420,0,00,-,
2,2024.09.04,1,EPBot5,EPBot7,GIB61,GIB61,4H N =,420,0.00%,4H NS,420,0,00,-,
3,2024.09.04,2,GIB61,GIB61,EPBot2,EPBot4,6S S +1,1460,0.00%,7N NS,2220,-13,04,-,
4,2024.09.04,2,EPBot5,EPBot7,GIB61,GIB61,7S N =,2210,0.00%,7N NS,2220,0,05,-,
5,2024.09.04,3,GIB61,GIB61,EPBot2,EPBot4,6H S =,980,0.00%,6N S,990,0,05,-,
6,2024.09.04,3,EPBot5,EPBot7,GIB61,GIB61,6H S =,980,0.00%,6N S,990,0,05,-,
7,2024.09.04,4,GIB61,GIB61,EPBot2,EPBot4,4H N =,620,0.00%,4H NS,620,0,00,-,
8,2024.09.04,4,EPBot5,EPBot7,GIB61,GIB61,4H N =,620,0.00%,4H NS,620,0,00,-,
9,2024.09.04,5,GIB61,GIB61,EPBot2,EPBot4,4S S +3,710,0.00%,7N NS,2220,-17,04,-,
10,2024.09.04,5,EPBot5,EPBot7,GIB61,GIB61,4S N +3,710,0.00%,7N NS,2220,-17,04,-,
11,2024.09.04,6,GIB61,GIB61,EPBot2,EPBot4,4H S +1,450,0.00%,4H NS+1,450,0,00,-,
12,2024.09.04,6,EPBot5,EPBot7,GIB61,GIB61,4H N +1,450,0.00%,4H NS+1,450,0,00,-,
13,2024.09.04,7,GIB61,GIB61,EPBot2,EPBot4,3C W =,-110,0.00%,3S NS,140,-6,01,-,
14,2024.09.04,7,EPBot5,EPBot7,GIB61,GIB61,3S S =,140,0.00%,3S NS,140,0,00,-,
15,2024.09.04,8,GIB61,GIB61,EPBot2,EPBot4,4H S =,420,0.00%,4SX EW-2,300,3,19,-,
16,2024.09.04,8,EPBot5,EPBot7,GIB61,GIB61,4H N =,420,0.00%,4SX EW-2,300,3,19,-,
17,2024.09.04,9,GIB61,GIB61,EPBot2,EPBot4,6S S =,980,0.00%,6N NS,990,0,05,-,
18,2024.09.04,9,EPBot5,EPBot7,GIB61,GIB61,5S N +1,480,0.00%,6N NS,990,-11,03,-,
19,2024.09.04,10,GIB61,GIB61,EPBot2,EPBot4,4H S =,620,0.00%,4SX EW-2,500,3,19,-,
20,2024.09.04,10,EPBot5,EPBot7,GIB61,GIB61,4H N =,620,0.00%,4SX EW-2,500,3,19,-,
21,2024.09.04,11,GIB61,GIB61,EPBot2,EPBot4,4H S +2,480,0.00%,6H NS,980,-11,03,-,
22,2024.09.04,11,EPBot5,EPBot7,GIB61,GIB61,4H N +2,480,0.00%,6H NS,980,-11,03,-,
23,2024.09.04,12,GIB61,GIB61,EPBot2,EPBot4,4H S +1,650,0.00%,4H NS+1,650,0,00,-,
24,2024.09.04,12,EPBot5,EPBot7,GIB61,GIB61,4H S +1,650,0.00%,4H NS+1,650,0,00,-,
25,2024.09.04,13,GIB61,GIB61,EPBot2,EPBot4,6H S =,1430,0.00%,6N NS,1440,0,05,-,
26,2024.09.04,13,EPBot5,EPBot7,GIB61,GIB61,6H S =,1430,0.00%,6N NS,1440,0,05,-,
27,2024.09.04,14,GIB61,GIB61,EPBot2,EPBot4,4H S -2,-100,0.00%,3S E,-140,1,21,-,
28,2024.09.04,14,EPBot5,EPBot7,GIB61,GIB61,3H N -1,-50,0.00%,3S E,-140,3,12,-,
29,2024.09.04,15,GIB61,GIB61,EPBot2,EPBot4,4H S =,620,0.00%,4H NS,620,0,00,-,
