ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.09.03,1,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS",420,0,"Par was bid",-
2,2024.09.03,2,GIB61,GIB61,EPBot2,EPBot4,"6S S +1",1460,0.00%,"7N NS",2220,-13,"We missed grand slam",-
3,2024.09.03,3,GIB61,GIB61,EPBot2,EPBot4,"6H S =",980,0.00%,"6N S",990,0,"We missed best contract",-
4,2024.09.03,4,GIB61,GIB61,EPBot2,EPBot4,"4H N -1",-100,0.00%,"4H NS",620,-12,"Par was bid",-1
5,2024.09.03,5,GIB61,GIB61,EPBot2,EPBot4,"4S S +1",650,0.00%,"7N NS",2220,-17,"We missed grand slam",-2
6,2024.09.03,6,GIB61,GIB61,EPBot2,EPBot4,"4H S +1",450,0.00%,"4H NS+1",450,0,"Par was bid",-
7,2024.09.03,7,GIB61,GIB61,EPBot2,EPBot4,"4H S =",620,0.00%,"4SX EW-2",500,3,"They missed sacrifice",-
8,2024.09.03,8,GIB61,GIB61,EPBot2,EPBot4,"6S S -1",-50,0.00%,"6N NS",990,-14,"We missed best contract",-1
9,2024.09.03,9,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS",420,0,"Par was bid",-
10,2024.09.03,10,GIB61,GIB61,EPBot2,EPBot4,"4H N =",620,0.00%,"4SX EW-2",500,3,"They missed sacrifice",-
11,2024.09.03,11,GIB61,GIB61,EPBot2,EPBot4,"4H S +1",450,0.00%,"6H NS",980,-11,"We missed small slam",-1
12,2024.09.03,12,GIB61,GIB61,EPBot2,EPBot4,"4H S +1",650,0.00%,"4H NS+1",650,0,"Par was bid",-
13,2024.09.03,13,GIB61,GIB61,EPBot2,EPBot4,"6H S =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
14,2024.09.03,14,GIB61,GIB61,EPBot2,EPBot4,"4H S -1",-50,0.00%,"3S E",-140,3,"They missed double",+1
15,2024.09.03,15,GIB61,GIB61,EPBot2,EPBot4,"4H S =",620,0.00%,"4H NS",620,0,"Par was bid",-
16,2024.09.03,16,GIB61,GIB61,EPBot2,EPBot4,"3C E -2",200,0.00%,"4H NS",420,-6,"We missed double",-
17,2024.09.03,17,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS",420,0,"Par was bid",-
18,2024.09.03,18,GIB61,GIB61,EPBot2,EPBot4,"3C E +1",-130,0.00%,"4S EW",-420,7,"They missed game",+1
19,2024.09.03,19,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS",420,0,"Par was bid",-
20,2024.09.03,20,GIB61,GIB61,EPBot2,EPBot4,"6H S =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
21,2024.09.03,21,GIB61,GIB61,EPBot2,EPBot4,"4S N +1",650,0.00%,"4S NS+1",650,0,"Par was bid",-
22,2024.09.03,22,GIB61,GIB61,EPBot2,EPBot4,"3C E +3",-170,0.00%,"7HX NS-5",-1100,14,"They missed small slam",-
23,2024.09.03,23,GIB61,GIB61,EPBot2,EPBot4,"4S S -1",-100,0.00%,"2N EW",-120,1,"We overbid - undoubled",+1
24,2024.09.03,24,GIB61,GIB61,EPBot2,EPBot4,"6H S =",980,0.00%,"7SX EW-6",1400,-9,"We missed grand slam",-1
25,2024.09.03,25,GIB61,GIB61,EPBot2,EPBot4,"4S S +1",450,0.00%,"3N N+2",460,0,"We missed best contract",-
26,2024.09.03,26,GIB61,GIB61,EPBot2,EPBot4,"4S S +1",650,0.00%,"4S NS+1",650,0,"Par was bid",-
27,2024.09.03,27,GIB61,GIB61,EPBot2,EPBot4,"3H S +1",170,0.00%,"4H NS",420,-6,"We missed game",-
28,2024.09.03,28,GIB61,GIB61,EPBot2,EPBot4,"4S S =",620,0.00%,"5C EW",-400,14,"They missed game",+1
29,2024.09.03,29,GIB61,GIB61,EPBot2,EPBot4,"4S S =",620,0.00%,"3C EW+1",-130,13,"We overbid - undoubled",+2
30,2024.09.03,30,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"3N NS",400,1,"We overbid - undoubled",+1
31,2024.09.03,31,GIB61,GIB61,EPBot2,EPBot4,"4H S =",620,0.00%,"4SX EW-3",500,3,"They missed sacrifice",-
32,2024.09.03,32,GIB61,GIB61,EPBot2,EPBot4,"4S S +1",450,0.00%,"3N NS+2",460,0,"We missed best contract",-
33,2024.09.03,33,GIB61,GIB61,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS+1",450,-1,"Par was bid",-1
34,2024.09.03,34,GIB61,GIB61,EPBot2,EPBot4,"4S S +2",680,0.00%,"7N NS",2220,-17,"We missed grand slam",-1
35,2024.09.03,35,GIB61,GIB61,EPBot2,EPBot4,"2H S +2",170,0.00%,"3N NS+2",460,-7,"We missed game",-1
36,2024.09.03,36,GIB61,GIB61,EPBot2,EPBot4,"4H S +1",650,0.00%,"4CX EW-2",500,4,"We overbid - undoubled",+2
37,2024.09.03,37,GIB61,GIB61,EPBot2,EPBot4,"4S N =",620,0.00%,"6DX EW-3",500,3,"They missed sacrifice",-1
