ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.09.03,1,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
2,2024.09.03,2,EPBot1,EPBot3,EPBot2,EPBot4,"7S N =",2210,0.00%,"7N NS",2220,0,"We missed best contract",-
3,2024.09.03,3,EPBot1,EPBot3,EPBot2,EPBot4,"6H S =",980,0.00%,"6N S",990,0,"We missed best contract",-
4,2024.09.03,4,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -1",-100,0.00%,"4H NS",620,-12,"Par was bid",-1
5,2024.09.03,5,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +1",650,0.00%,"7N NS",2220,-17,"We missed grand slam",-2
6,2024.09.03,6,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",450,0.00%,"4H NS+1",450,0,"Par was bid",-
7,2024.09.03,7,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"4SX EW-2",500,3,"They missed sacrifice",-
8,2024.09.03,8,EPBot1,EPBot3,EPBot2,EPBot4,"5S N =",450,0.00%,"6N NS",990,-11,"We missed small slam",-1
9,2024.09.03,9,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
10,2024.09.03,10,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"4SX EW-2",500,3,"They missed sacrifice",-
11,2024.09.03,11,EPBot1,EPBot3,EPBot2,EPBot4,"4H N +1",450,0.00%,"6H NS",980,-11,"We missed small slam",-1
12,2024.09.03,12,EPBot1,EPBot3,EPBot2,EPBot4,"5H N =",650,0.00%,"4H NS+1",650,0,"Par was bid",-
13,2024.09.03,13,EPBot1,EPBot3,EPBot2,EPBot4,"6H S =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
14,2024.09.03,14,EPBot1,EPBot3,EPBot2,EPBot4,"3H N =",140,0.00%,"3S E",-140,7,"They missed partial",+1
15,2024.09.03,15,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"4H NS",620,0,"Par was bid",-
16,2024.09.03,16,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -1",-50,0.00%,"4H NS",420,-10,"Par was bid",-1
17,2024.09.03,17,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",420,0.00%,"4H NS",420,0,"Par was bid",-
18,2024.09.03,18,EPBot1,EPBot3,EPBot2,EPBot4,"5HX S -1",-200,0.00%,"4S EW",-420,6,"We overbid - doubled",+1
19,2024.09.03,19,EPBot1,EPBot3,EPBot2,EPBot4,"3H N +1",170,0.00%,"4H NS",420,-6,"We missed game",-
20,2024.09.03,20,EPBot1,EPBot3,EPBot2,EPBot4,"6H N =",1430,0.00%,"6N NS",1440,0,"We missed best contract",-
21,2024.09.03,21,EPBot1,EPBot3,EPBot2,EPBot4,"3N S =",600,0.00%,"4S NS+1",650,-2,"We missed best contract",-1
22,2024.09.03,22,EPBot1,EPBot3,EPBot2,EPBot4,"5C E +1",-620,0.00%,"7HX NS-5",-1100,10,"They missed small slam",-
23,2024.09.03,23,EPBot1,EPBot3,EPBot2,EPBot4,"3S S =",140,0.00%,"2N EW",-120,6,"They missed double",+1
24,2024.09.03,24,EPBot1,EPBot3,EPBot2,EPBot4,"4H S +2",480,0.00%,"7SX EW-6",1400,-14,"We missed grand slam",-1
25,2024.09.03,25,EPBot1,EPBot3,EPBot2,EPBot4,"4S S +1",450,0.00%,"3N N+2",460,0,"We missed best contract",-
26,2024.09.03,26,EPBot1,EPBot3,EPBot2,EPBot4,"4S N +1",650,0.00%,"4S NS+1",650,0,"Par was bid",-
27,2024.09.03,27,EPBot1,EPBot3,EPBot2,EPBot4,"4H S =",420,0.00%,"4H NS",420,0,"Par was bid",-
28,2024.09.03,28,EPBot1,EPBot3,EPBot2,EPBot4,"3S N +1",170,0.00%,"5C EW",-400,11,"They missed game",+1
29,2024.09.03,29,EPBot1,EPBot3,EPBot2,EPBot4,"3S N +1",170,0.00%,"3C EW+1",-130,7,"They missed double",+2
