/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Jacoby_Transfer.pbn
board declarer contract score  par     | notes
    1     N       4H      420  N H 10 | Extended acceptance after nt
    2     N       3S      140  N S 9  | Unusual 1nt
    3     S       4S      -50  S S 9  | 
    4     N       7S     2210  N S 13 | Extended acceptance after nt | Blackwood 0314, for !s
    5     S       5H      650  S H 11 | Blackwood 0314, for !h
    6     S       3N      490  S NT 12| Artificial
    7     S       4S      620  S S 10 | Texas
    8     S       4H      450  S H 11 | Texas
    9     S       4S      420  S S 10 | 
   10     S       4H      620  S H 10 | Texas
   11     S       3N      430  S NT 10| New minor forcing
   12     S       4H      620  S H 10 | 
   13     S       4H      620  S H 10 | 
   14     S       6N     1020  S NT 13| 
   15     S       6H     -100  S H 11 | Blackwood 0314, for !h
   16     S       4H      420  S H 10 | 
   17     S       4H      450  S H 11 | Texas
   18     S       4H      650  S H 11 | 
   19     S       3N      -50  S NT 8 | 
   20     S       4H      620  S H 10 | Texas
   21     N       4S      710  N S 13 | Extended acceptance after nt
   22     S       3N      430  S NT 10| 
   23     S       4S      620  S S 10 | 
   24     S       4S      450  S S 11 | Texas
   25     S       4S      -50  S S 9  | Texas
   26     S       4H      650  S H 11 | 
   27     N       4H      450  N H 11 | Extended acceptance after nt
   28     S       4H     -100  S H 9  | Texas
   29     S       4S      650  S S 11 | 
   30     N       4S     -100  N S 8  | Weak jump shifts
   31     N       4D      150  N D 11 | Artificial
   32     S       3N      -50  S NT 8 | 
   33     N       4H      420  N H 10 | Extended acceptance after nt
   34     S       4H      650  S H 11 | 
   35     S       4S      450  S S 11 | Texas
   36     S       4H      650  S H 11 | 
   37     N       5S      680  N S 12 | Extended acceptance after nt | Blackwood 0314, for !s
   38     S       3N      -50  S NT 8 | New minor forcing
   39     S       1N      120  S NT 8 | 
   40     S       4S      450  S S 11 | 
   41     S       4H      -50  S H 9  | 
   42     S       4S      620  S S 10 | Texas
   43     N       4S      450  N S 11 | 
   44     E      5DX      100  E D 10 | Texas
   45     S       4S      650  S S 11 | Texas
   46     S       4S      480  S S 12 | 
   47     S       3N     -100  S NT 8 | Artificial
   48     N       4H      420  N H 10 | Extended acceptance after nt
   49     E       3H       50  E H 8  | 
   50     S       3N      600  S NT 9 | 
   51     N       4H      420  N H 10 | 
   52     N       4S      680  N S 12 | New minor forcing | 3 !s | Cue bid, a !c stopper
   53     N       4H      680  N H 12 | Extended acceptance after nt
   54     S       4S      450  S S 11 | 
   55     S       4H      650  S H 11 | Texas
   56     N       5H      450  N H 11 | Extended acceptance after nt | Blackwood 0314, for !h
   57     S       3N      -50  S NT 8 | 
   58     S       4H      620  S H 10 | Texas
   59     S       4H      420  S H 10 | 
   60     S       2S      140  S S 9  | 
   61     N       4H      680  N H 12 | 
   62     N       6H      -50  N H 11 | Blackwood 0314, for !h | King ask by 5nt
   63     N       6D     -100  N D 11 | 
   64     S       3N      400  S NT 9 | 
   65     S       4H      450  S H 11 | 
   66     N       4H      620  N H 10 | Extended acceptance after nt
   67     S       3N      430  S NT 10| 
   68     S       4H      680  S H 12 | Texas
   69     S       3N      690  S NT 12| New minor forcing
   70     N      5SX      650  N S 11 | Texas | Michaels cuebid
   71     S       3N      660  S NT 11| 
   72     N       4S      -50  N S 9  | 
   73     S       4H      450  S H 11 | 
   74     S       3N      690  S NT 12| 
   75     N       3N      430  N NT 10| Unusual 2nt
   76     S       5S      710  S S 13 | Blackwood 0314, for !s
   77     N       4H      620  N H 10 | Extended acceptance after nt
   78     S       4H      420  S H 10 | 
   79     S       3N     -400  S NT 5 | 
   80     S       6N      -50  S NT 11| 
   81     S       4S      420  S S 10 | 
   82     S       3N      600  S NT 9 | 
   83     S       3N      490  S NT 12| 
   84     S       4S      620  S S 10 | Texas
   85     S       4S      620  S S 10 | Texas
   86     S       6N     1020  S NT 13| 
   87     N       5S     -100  N S 10 | New minor forcing | 3 !s | Cue bid, a !c stopper | Cue bid, a !d stopper | Cue bid, surplus | Blackwood 0314, for !s
   88     S       2S      170  S S 10 | 
   89     S       4H      450  S H 11 | 
   90     S       4S      680  S S 12 | 
   91     S       3N      400  S NT 9 | 
   92     S       4H      620  S H 10 | 
   93     S       3N     -200  S NT 7 | 
   94     S       3N      400  S NT 9 | New minor forcing
   95     N       6H     1430  N H 12 | Extended acceptance after nt | Blackwood 0314, for !h
   96     S       4S      450  S S 11 | Texas
   97     S       4H      450  S H 11 | 
   98     N       3S      170  N S 10 | Artificial
   99     S       3N      430  S NT 10| Michaels cuebid
  100     S       4S      620  S S 10 | 
  101     S       6S     1430  S S 12 | Blackwood 0314, for !s
  102     S       3S      -50  S S 8  | 
  103     S       4S     -200  S S 8  | Texas
  104     S       3N     -100  S NT 7 | 
  105     S       4S      -50  S S 9  | 
  106     S       4S      680  S S 12 | 
  107     S       3N      400  S NT 9 | 
  108     S       4H      620  S H 10 | 
  109     S       4H      710  S H 13 | Forcing 1nt
  110     S       6S      -50  S S 11 | Michaels cuebid | Blackwood 0314, for !s
  111     S       1N     -100  S NT 6 | 
  112     S       4H      420  S H 10 | 
  113     S       4H      -50  S H 9  | 
  114     S       4H      650  S H 11 | 
  115     N       3N      460  N NT 11| 
  116     S       3N      600  S NT 9 | 
  117     S       4S      650  S S 11 | 
  118     S       3N      -50  S NT 8 | 
  119     S       3N      660  S NT 11| Fourth suit game force
  120     S       4S      450  S S 11 | 
  121     S       6N     1020  S NT 13| 
  122     N       4S      650  N S 11 | Extended acceptance after nt
  123     S       4H      450  S H 11 | 
  124     E       3S     -170  E S 10 | Limit raise or better in !s
  125     N       2S      110  N S 8  | Artificial
  126     S       3N      430  S NT 10| New minor forcing
  127     N       6H     1460  N H 13 | New minor forcing | 3 !h | Cue bid, a !s stopper | Cue bid, a !c stopper | Cue bid, surplus | Blackwood 0314, for !h
  128     S       6H     1010  S H 13 | Blackwood 0314, for !h
  129     S       4H      450  S H 11 | Michaels cuebid | Strength cue bid
  130     S       3N      660  S NT 11| 
  131     S       4D      150  S D 11 | 
  132     W       4S      200  W S 8  | Support double redouble
  133     E       3C     -150  E C 11 | Michaels cuebid | To the partner's longer
  134     N       2H      110  N H 8  | Artificial
  135     S       4H      620  S H 10 | 
  136     N       3S      -50  N S 8  | Extended acceptance after nt
  137     S       4H      -50  S H 9  | 
  138     N       4H      620  N H 10 | Extended acceptance after nt
  139     W      5HX      800  W H 7  | Texas | Michaels cuebid
  140     S       3N      660  S NT 11| 
  141     S       4S      650  S S 11 | 
  142     N       4H      510  N H 13 | Support double redouble
  143     S       4S      650  S S 11 | 
  144     N       4H      450  N H 11 | Extended acceptance after nt
  145     S       4H      -50  S H 9  | 
  146     S       3N      630  S NT 10| 
  147     N       5H      -50  N H 10 | New minor forcing | 3 !h | Cue bid, a !s stopper | Cue bid, a !c stopper | Cue bid, surplus | Blackwood 0314, for !h
  148     S       6N     1470  S NT 13| Quantitative 4nt
  149     S       4S      680  S S 12 | 
  150     S       4H      480  S H 12 | 
  151     S       4H      650  S H 11 | 
  152     N       6S     1010  N S 13 | Extended acceptance after nt | Blackwood 0314, for !s
  153     S       3N      430  S NT 10| 
  154     S       4H      620  S H 10 | 
  155     S       6S      980  S S 12 | Blackwood 0314, for !s
  156     S       4H     -100  S H 9  | Texas
