/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Minor_Suit_Opener.pbn
board declarer contract score | notes
1 S 4S 480 | 
2 W 3S -170 | Mixed raise,  !S
3 S 3N 400 | Inverted minors
4 E 3C -130 | 
5 S 3N -100 | 
6 N 4S 420 | New Minor Forcing | 3 !S
7 N 4H -50 | 
8 N 2S -100 | Support double redouble
9 E 2H -170 | 
10 W 4S -650 | limit raise or better in !S
11 S 4CX 510 | Unusual 1NT
12 W 1SX 100 | 
13 S 1N 90 | 
14 W 2S -140 | 
15 N 2H 110 | 
16 S 4C 130 | 
17 W 3S -140 | max 2 !H
18 N 4H 650 | 
19 W 4S -620 | limit raise or better in !S
20 N 3N -50 | 
21 N 4H 620 | Fourth suit game force
22 N 2S 140 | 
23 W 4S -620 | limit raise or better in !S | max 2 !H
24 N 3C 110 | Support double redouble
25 N 3D -50 | Michaels Cuebid
26 N 4S -100 | strength cue bid
27 W 2S -110 | 
28 N 4H 620 | New Minor Forcing | 3 !H | Cue bid, a !S stopper
29 S 3N 600 | 
30 S 1N 90 | 
31 N 3N 600 | Two suit takeout double
32 S 3N 400 | 
33 S 3N -100 | strength cue bid
34 S 3N 600 | 
35 N 2N -50 | 
36 N 4C 130 | 
37 W 4S -450 | limit raise or better in !S
38 S 1N 90 | 
39 N 1N 90 | 
40 N 4S 420 | New Minor Forcing
41 S 3N 400 | 
42 N 6D -50 | Blackwood 0314, for !D
43 N 4S 420 | Cue bid, surplus
44 N 3N 630 | 
45 E 2H -110 | 
46 N 3N 430 | Fourth suit game force
47 S 3N 630 | 
48 N 3C 110 | Inverted minors
49 N 2H 110 | New Minor Forcing | 3 !H
50 N 4H 650 | 
51 N 4S 420 | New Minor Forcing | 3 !S
52 S 3N 430 | 
53 W 5H 50 | 
54 S 4S 420 | Mixed raise,  !D
55 S 1S -100 | 
56 W 3S -140 | 
57 N 2H 110 | 
58 W 2H -140 | Michaels Cuebid
59 N 4S 450 | 
60 N 2S 170 | 
61 N 4S -200 | Support double redouble | limit raise or better in !C
62 S 2D -100 | 
63 N 2S 110 | Support double redouble
64 N 4S 420 | 
65 N 3N 430 | Fourth suit game force
66 S 5C 620 | 
67 N 6H -100 | 
68 S 4C 130 | Support double redouble
69 S 1N 90 | 
70 W 4S -620 | limit raise or better in !S | Cue bid, a !C stopper | Cue bid, a !H stopper
71 N 2S 200 | Support double redouble
72 S 3N -100 | Inverted minors
73 E 2H -170 | max 2 !S
74 N 2H 110 | 
75 S 3C 130 | 
76 S 1C 90 | 
77 S 3C -100 | 
78 S 3C 130 | Cue bid, a !C stopper
79 N 2H 110 | Support double redouble
80 N 4SX -500 | Support double redouble
81 N 5C -50 | 1X-(Y)-2Z forcing
82 N 4H 650 | 
83 N 4H 420 | Fourth suit game force
84 N 4S 450 | 
85 N 2S -100 | 
86 N 5D 420 | Soloway Jump Shifts | bidable suit | Cue bid, a !H stopper
87 W 1S -80 | 
88 S 4C 130 | 
89 S 4C -50 | 
90 S 2D 110 | 
91 N 4D 130 | max 2 !H | limit raise or better in !D
92 S 3N 600 | 
93 S 3N 630 | 
94 E 3S -140 | 
95 N 5H 650 | strength cue bid | limit raise or better in !H
96 S 4H 420 | Fourth suit game force
97 N 5D -50 | 
98 S 1D 70 | 
