#,Date,Board,North,South,East,West,**South** Result,**South** Score, IMPs  or MPs,Par Result, **South**  Par Score,Vs. Par,DD Bidding,DD Play,
1,2024.09.13,1,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,7H N,1510,-14,We missed grand slam,-,
2,2024.09.13,2,EPBot1,EPBot3,EPBot2,EPBot4,6D N =,1370,0.00%,6N NS,1440,-2,We missed best contract,-,
3,2024.09.13,3,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
4,2024.09.13,4,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,4H NS+1,650,-2,We missed best contract,-,
5,2024.09.13,5,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,3N NS+2,660,0,Par was bid,-,
6,2024.09.13,6,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
7,2024.09.13,7,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,6D NS,1370,-12,We missed small slam,-,
8,2024.09.13,8,EPBot1,EPBot3,EPBot2,EPBot4,3N N =,400,0.00%,4S NS,420,-1,We missed best contract,-,
9,2024.09.13,9,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
10,2024.09.13,10,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,630,0.00%,6C S,1370,-12,We missed small slam,-,
11,2024.09.13,11,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,4H NS+1,450,-1,We missed best contract,-,
12,2024.09.13,12,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,6D NS,1370,-12,We missed small slam,-,
13,2024.09.13,13,EPBot1,EPBot3,EPBot2,EPBot4,3C S +2,150,0.00%,4H NS+1,650,-11,We missed game,-,
14,2024.09.13,14,EPBot1,EPBot3,EPBot2,EPBot4,3N S +3,490,0.00%,7D NS,1440,-14,We missed grand slam,-,
15,2024.09.13,15,EPBot1,EPBot3,EPBot2,EPBot4,3N N -1,-100,0.00%,1N NS+1,120,-6,We overbid - undoubled,-,
16,2024.09.13,16,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,4H NS,420,-1,We missed best contract,-,
17,2024.09.13,17,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,6S NS,980,-11,We missed small slam,-,
18,2024.09.13,18,EPBot1,EPBot3,EPBot2,EPBot4,6N N -1,-100,0.00%,6D NS,1370,-16,We overbid - undoubled,-,
19,2024.09.13,19,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
20,2024.09.13,20,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N NS+1,630,0,Par was bid,-,
