/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Trap_Pass-GIB.pbn
board declarer contract score | notes
  1      S        3N     400  | 
  2      S        3N     600  | 
  3      N        4S     450  | 
  4      S        3N     430  | 
  5      S        3N     630  | 
  6      S        3N     430  | 
  7      N        4S     480  | Fourth suit game force
  8      E       2CX     300  | 
  9      S        4H     450  | 
  10     S        6D     -50  | Blackwood 0314, for !D
  11     S        3N     400  | 
  12     E       2DX     500  | 
  13     S        2D      90  | forcing 1NT
  14     N        4S     420  | 
  15     E       2CX     500  | 
  16     N        2S     110  | forcing 1NT
  17     E        2H     100  | 
  18     N        4H     620  | 
  19     N        4H     450  | 
  20     E       2CX     800  | 
  21     N        3S     170  | 
  22     N        5H     450  | Blackwood 0314, for !H
  23     S        3N     430  | 
  24     N        4H     -100 | 
  25     N        3N     400  | 
  26     N        3N     400  | 
  27     N        5D     420  | 
  28     N        3S     200  | 
  29     N        4S     -100 | 
  30     N        3S     170  | 1X-(Y)-2Z forcing
  31     N        4S     -100 | Unusual 2NT
  32     S        3N     430  | 
  33     S        3N     400  | 
  34     N        4H     620  | 
  35     E       2DX     800  | 
  36     S        3N     430  | 
  37     S        3N     630  | 
  38     S        3N     -150 | 
  39     S        3N     430  | Fourth suit game force
  40     S        3N     400  | 
  41     S        3N     -100 | 
  42     N        4H     420  | 
  43     E       2CX     300  | 
  44     E       2HX     100  | 
  45     E        2D      50  | 
  46     N        5H     480  | strength cue bid | Blackwood 0314, for !H
  47     S        4S     680  | 1X-(Y)-2Z forcing
  48     S        3N     430  | 
  49     S        2N     120  | 
  50     E        2H     150  | 
  51     E       2DX     800  | 
  52     S        3N     -50  | 
  53     S        3N     600  | 
  54     N        3S     140  | 
  55     S        2N     -50  | 
  56     S        3N     430  | 
  57     S        3N     430  | 
  58     S        3N     430  | 
  59     S        3N     400  | 
  60     S        3N     600  | 
  61     E       2CX     500  | 
  62     S        3N     400  | 
  63     E        2H      50  | 
  64     N        4H     420  | forcing 1NT
  65     E        2H     150  | 
  66     E        2D     100  | 
  67     N        3S     200  | 
  68     S        3N     400  | 
  69     N        4H     620  | 
  70     N        4H     420  | 
  71     E        2D     200  | 
  72     E        2D     150  | 
  73     N        2H     140  | forcing 1NT
  74     S        2N     150  | 
  75     N        4H     450  | 
  76     S        2N     120  | 
  77     N        3S     170  | 
  78     E       2CX     300  | 
  79     E       2CX     300  | 
  80     N        3H     140  | forcing 1NT
  81     S        2N     120  | 
  82     N        3S     140  | 
  83     E       2CX     500  | 
  84     S        3N     -50  | 
  85     S        3N     600  | 
  86     E       2CX     800  | 
  87     E       2CX     800  | 
  88     N       6DX     1090 | Blackwood 0314, for !D
  89     N        3H     140  | 
  90     S        3N     400  | 
  91     E       2CX     500  | 
  92     S        3N     600  | 
  93     N        2S     140  | 
  94     S        3N     400  | 
  95     S        3N     -100 | 
  96     S        3N     400  | 
  97     S        3N     430  | 
  98     S        3N     630  | 1X-(Y)-2Z forcing
  99     N        4S     450  | 
 100     S        2N     150  | forcing 1NT
 101     N        4H     680  | 
 102     S       3NX     -300 | 
 103     N        4H     -50  | 
 104     E        2D     100  | 
 105     N        2D      90  | 
 106     S        3N     400  | forcing 1NT
 107     E       3CX     800  | 
 108     E        2H     100  | 
 109     N        2S     -100 | 1X-(Y)-2Z forcing
 110     N        4H     450  | 
 111     S        3N     630  | 
 112     N        4H     480  | 
 113     N        4D     130  | 
 114     E        2H     150  | 
 115     S        3N     400  | 
 116     N        2S     110  | forcing 1NT
 117     E       2CX     300  | 
 118     N        2D      90  | forcing 1NT
 119     N        4H     420  | 
 120     N        2H     170  | 
 121     N        3S     170  | forcing 1NT
 122     E       2DX     800  | 
 123     N        4S     450  | 
 124     N        3S     170  | 
 125     N        4S     650  | 
 126     N        3H     140  | 
 127     N        4S     620  | 
 128     S        3N     430  | 
 129     N       5DX     550  | 
 130     E       2CX     300  | 
 131     N        4S     450  | forcing 1NT
 132     E       2CX     800  | 
 133     S        3N     630  | 
 134     S        3N     400  | 
 135     S        4H     450  | 1X-(Y)-2Z forcing
 136     S        3N     400  | 
 137     S        3H     170  | 
Statistics for /Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Trap_Pass-GIB.pbn

nDeals = 106
nGames = 75
%Games = 70.75471698113208%

    2  Fourth suit game force
    2  Blackwood 0314, for !D
   11  forcing 1NT
    2  Blackwood 0314, for !H
    5  1X-(Y)-2Z forcing
    1  Unusual 2NT
    1  strength cue bid
