ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.08.11,1,EPBot1,EPBot3,EPBot2,EPBot4,"5CX W -11",300,0.00%,"3N NS+2",460,-4,"They overbid - doubled",+7
2,2024.08.11,2,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",650,0.00%,"7CX E-6",1400,-13,"We missed small slam",-12
3,2024.08.11,3,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",450,0.00%,"4H NS+1",450,0,"Par was bid",-11
4,2024.08.11,4,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"5HX EW-1",200,6,"We wrong-side contract",-9
5,2024.08.11,5,EPBot1,EPBot3,EPBot2,EPBot4,"4SX W -10",-590,0.00%,"5SX EW-2",300,-13,"We missed game",+9
6,2024.08.11,6,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4H NS",420,0,"Par was bid",-10
7,2024.08.11,7,EPBot1,EPBot3,EPBot2,EPBot4,"5C S -11",-50,0.00%,"4H S",420,-10,"We overbid - undoubled",-10
8,2024.08.11,8,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"3N NS",400,1,"We overbid - undoubled",-9
9,2024.08.11,9,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"4H NS+1",450,0,"Par was bid",-11
10,2024.08.11,10,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"6C NS",920,-11,"We missed small slam",-11
11,2024.08.11,11,EPBot1,EPBot3,EPBot2,EPBot4,"3SX E -9",500,0.00%,"2N N",120,9,"They overbid - doubled",+6
12,2024.08.11,12,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",620,0.00%,"4H NS",620,0,"We missed game",-9
13,2024.08.11,13,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",620,0.00%,"4S NS",620,0,"Par was bid",-10
14,2024.08.11,14,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"6N S",990,-11,"We missed small slam",-11
15,2024.08.11,15,EPBot1,EPBot3,EPBot2,EPBot4,"3S S -9",230,0.00%,"4S NS+1",650,-9,"We missed game",-11
16,2024.08.11,16,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"4S NS",420,0,"Par was bid",-10
17,2024.08.11,17,EPBot1,EPBot3,EPBot2,EPBot4,"3H S -9",170,0.00%,"2H NS+1",140,1,"Par was bid",-9
18,2024.08.11,18,EPBot1,EPBot3,EPBot2,EPBot4,"5H S -11",650,0.00%,"3N NS+2",660,0,"We missed best contract",-11
19,2024.08.11,19,EPBot1,EPBot3,EPBot2,EPBot4,"3N S -9",430,0.00%,"3N NS+1",430,0,"Par was bid",-10
20,2024.08.11,20,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"6S NS",980,-11,"We missed small slam",-12
21,2024.08.11,21,EPBot1,EPBot3,EPBot2,EPBot4,"3H S -9",170,0.00%,"4H NS+1",650,-10,"We missed game",-11
22,2024.08.11,22,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4H NS+1",450,-1,"Par was bid",-11
23,2024.08.11,23,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"3N NS",400,1,"We overbid - undoubled",-9
24,2024.08.11,24,EPBot1,EPBot3,EPBot2,EPBot4,"3S S -9",170,0.00%,"4S NS",420,-6,"We missed game",-10
25,2024.08.11,25,EPBot1,EPBot3,EPBot2,EPBot4,"1N S -7",150,0.00%,"1S NS+2",140,0,"We missed best contract",-7
26,2024.08.11,26,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4H S",420,0,"Par was bid",-10
27,2024.08.11,27,EPBot1,EPBot3,EPBot2,EPBot4,"4SX W -10",300,0.00%,"4H NS",420,-3,"They overbid - doubled",+7
28,2024.08.11,28,EPBot1,EPBot3,EPBot2,EPBot4,"3H S -9",170,0.00%,"4H NS",620,-10,"We missed game",-10
29,2024.08.11,29,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",650,0.00%,"6S NS",1430,-13,"We missed small slam",-12
30,2024.08.11,30,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"4S NS",420,0,"Par was bid",-10
31,2024.08.11,31,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",620,0.00%,"4H NS",620,0,"Par was bid",-10
32,2024.08.11,32,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"3N NS+1",430,1,"We missed best contract",-10
33,2024.08.11,33,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"4S NS",420,1,"Par was bid",-10
34,2024.08.11,34,EPBot1,EPBot3,EPBot2,EPBot4,"6S S -12",1430,0.00%,"7HX EW-5",1100,8,"They missed sacrifice",-12
35,2024.08.11,35,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"4S NS+1",450,0,"Par was bid",-11
36,2024.08.11,36,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",450,0.00%,"4H NS+1",450,0,"Par was bid",-11
37,2024.08.11,37,EPBot1,EPBot3,EPBot2,EPBot4,"3S S -9",170,0.00%,"4S NS",620,-10,"We missed game",-10
38,2024.08.11,38,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4H NS",420,0,"Par was bid",-10
39,2024.08.11,39,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"3N NS+1",430,0,"We missed best contract",-10
40,2024.08.11,40,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",450,0.00%,"6H NS",980,-11,"We missed small slam",-12
41,2024.08.11,41,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",450,0.00%,"4H NS",420,1,"Par was bid",-10
42,2024.08.11,42,EPBot1,EPBot3,EPBot2,EPBot4,"5DX E -11",500,0.00%,"3S NS",140,8,"They overbid - doubled",+9
43,2024.08.11,43,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"4S NS",420,1,"Par was bid",-10
44,2024.08.11,44,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",620,0.00%,"4DX EW-1",100,11,"We overbid - undoubled",-9
45,2024.08.11,45,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",620,0.00%,"3N NS+1",630,0,"We missed best contract",-10
46,2024.08.11,46,EPBot1,EPBot3,EPBot2,EPBot4,"3H S -9",140,0.00%,"2N NS",120,1,"We overbid - undoubled",-8
47,2024.08.11,47,EPBot1,EPBot3,EPBot2,EPBot4,"4DX W -10",500,0.00%,"4H S",620,-3,"We missed game",+7
48,2024.08.11,48,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",450,0.00%,"3N NS+1",430,1,"We missed best contract",-10
49,2024.08.11,49,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"4N N+1",460,-1,"We missed best contract",-11
50,2024.08.11,50,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",650,0.00%,"4H NS+1",650,0,"Par was bid",-11
51,2024.08.11,51,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",480,0.00%,"4H NS+1",450,1,"Par was bid",-11
52,2024.08.11,52,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"4S NS",420,1,"Par was bid",-10
53,2024.08.11,53,EPBot1,EPBot3,EPBot2,EPBot4,"3S W -9",50,0.00%,"5SX EW-2",300,-6,"We missed game",+9
54,2024.08.11,54,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"4S NS",420,1,"Par was bid",-10
55,2024.08.11,55,EPBot1,EPBot3,EPBot2,EPBot4,"3H S -9",170,0.00%,"1H NS+2",140,1,"Par was bid",-9
56,2024.08.11,56,EPBot1,EPBot3,EPBot2,EPBot4,"2S S -8",170,0.00%,"4CX EW-1",100,2,"They missed partial",-9
57,2024.08.11,57,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"2N NS",120,7,"We overbid - undoubled",-8
58,2024.08.11,58,EPBot1,EPBot3,EPBot2,EPBot4,"3S S -9",170,0.00%,"4S NS",420,-6,"We missed game",-10
59,2024.08.11,59,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4SX EW-2",300,3,"They missed sacrifice",-10
60,2024.08.11,60,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",620,0.00%,"4S N",620,0,"We wrong-side contract",-9
61,2024.08.11,61,EPBot1,EPBot3,EPBot2,EPBot4,"3S S -9",200,0.00%,"5HX EW-3",500,-7,"We missed game",-10
62,2024.08.11,62,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",480,0.00%,"6N N",990,-11,"We missed small slam",-12
63,2024.08.11,63,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",650,0.00%,"4NX EW-3",500,4,"They missed sacrifice",-10
64,2024.08.11,64,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"4H NS",420,1,"Par was bid",-10
65,2024.08.11,65,EPBot1,EPBot3,EPBot2,EPBot4,"1N S -7",120,0.00%,"2S NS+1",140,-1,"We missed best contract",-8
66,2024.08.11,66,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",650,0.00%,"4H NS",620,1,"Par was bid",-10
67,2024.08.11,67,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"3N NS+2",460,0,"We missed best contract",-10
68,2024.08.11,68,EPBot1,EPBot3,EPBot2,EPBot4,"5S S -11",450,0.00%,"4S NS+1",450,0,"Par was bid",-11
69,2024.08.11,69,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",620,0.00%,"2H NS+1",140,10,"We overbid - undoubled",-9
70,2024.08.11,70,EPBot1,EPBot3,EPBot2,EPBot4,"5CX W -11",500,0.00%,"5N NS",460,1,"We missed game",+10
71,2024.08.11,71,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"4S NS",420,0,"Par was bid",-10
72,2024.08.11,72,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"3N NS+2",460,-1,"We missed best contract",-11
73,2024.08.11,73,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",450,0.00%,"6H NS",980,-11,"We missed small slam",-12
74,2024.08.11,74,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",480,0.00%,"4S NS+1",450,1,"Par was bid",-11
75,2024.08.11,75,EPBot1,EPBot3,EPBot2,EPBot4,"3H S -9",170,0.00%,"4H NS",420,-6,"We missed game",-10
76,2024.08.11,76,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",620,0.00%,"4S S",620,0,"Par was bid",-10
77,2024.08.11,77,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",620,0.00%,"5CX EW-2",300,8,"They missed sacrifice",-10
78,2024.08.11,78,EPBot1,EPBot3,EPBot2,EPBot4,"3H S -9",170,0.00%,"2H NS+1",140,1,"Par was bid",-9
79,2024.08.11,79,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",-100,0.00%,"4S NS",620,-12,"Par was bid",-10
80,2024.08.11,80,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"4H NS",420,0,"We overbid - undoubled",-9
81,2024.08.11,81,EPBot1,EPBot3,EPBot2,EPBot4,"4SX E -10",100,0.00%,"5SX EW-2",300,-5,"We missed game",+9
82,2024.08.11,82,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",650,0.00%,"4H NS",620,1,"Par was bid",-10
83,2024.08.11,83,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4H NS+1",450,-1,"Par was bid",-11
84,2024.08.11,84,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"6D NS",920,-10,"We missed small slam",-11
85,2024.08.11,85,EPBot1,EPBot3,EPBot2,EPBot4,"3S E -9",-170,0.00%,"2S EW",-110,-2,"They overbid - undoubled",+8
86,2024.08.11,86,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4NX S-1",-100,11,"They missed game",-10
87,2024.08.11,87,EPBot1,EPBot3,EPBot2,EPBot4,"4H S -10",420,0.00%,"4H NS",420,0,"Par was bid",-10
88,2024.08.11,88,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"7S NS",1510,-14,"We missed grand slam",-13
89,2024.08.11,89,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",420,0.00%,"4S NS",420,0,"Par was bid",-10
90,2024.08.11,90,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",450,0.00%,"3N NS+1",430,1,"We missed best contract",-10
91,2024.08.11,91,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",480,0.00%,"7DX EW-3",500,-1,"We missed small slam",-12
92,2024.08.11,92,EPBot1,EPBot3,EPBot2,EPBot4,"3S S -9",200,0.00%,"4DX EW-1",100,3,"They missed sacrifice",-9
93,2024.08.11,93,EPBot1,EPBot3,EPBot2,EPBot4,"4S S -10",680,0.00%,"5S NS",650,1,"They missed sacrifice",-11
