ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.08.07,1,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",-50,0.00%,"2N NS",120,-5,"We overbid - undoubled",-8
2,2024.08.07,2,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",110,0.00%,"3H EW",-140,6,"They missed partial",-9
3,2024.08.07,3,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",400,0.00%,"3N N+2",460,-2,"Par was bid",-11
4,2024.08.07,4,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",400,0.00%,"3N NS",400,0,"Par was bid",-9
5,2024.08.07,5,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",110,0.00%,"1S EW+1",-110,6,"We overbid - undoubled",-7
6,2024.08.07,6,EPBot1,EPBot3,EPBot2,EPBot4,"3D N -9",130,0.00%,"2D NS+2",130,0,"Par was bid",-10
7,2024.08.07,7,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",110,0.00%,"4CX NS-1",-100,5,"They missed partial",-9
8,2024.08.07,8,EPBot1,EPBot3,EPBot2,EPBot4,"1N N -7",120,0.00%,"1N NS+1",120,0,"Par was bid",-8
9,2024.08.07,9,EPBot1,EPBot3,EPBot2,EPBot4,"4H W -10",-680,0.00%,"7H EW",-2210,17,"They missed grand slam",+13
10,2024.08.07,10,EPBot1,EPBot3,EPBot2,EPBot4,"3D N -9",110,0.00%,"4DX NS-2",-300,9,"They missed game",-8
11,2024.08.07,11,EPBot1,EPBot3,EPBot2,EPBot4,"3D W -9",50,0.00%,"3DX EW-1",100,-2,"We missed double",+8
12,2024.08.07,12,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",600,0.00%,"3N NS",600,0,"Par was bid",-9
13,2024.08.07,13,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",630,0.00%,"3N NS+1",630,0,"Par was bid",-10
14,2024.08.07,14,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",400,0.00%,"1H N+2",140,6,"We overbid - undoubled",-8
15,2024.08.07,15,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",130,0.00%,"2N NS",120,0,"We missed best contract",-9
16,2024.08.07,16,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",430,0.00%,"6N NS",990,-11,"We missed small slam",-12
17,2024.08.07,17,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",430,0.00%,"6N NS",990,-11,"We missed small slam",-12
18,2024.08.07,18,EPBot1,EPBot3,EPBot2,EPBot4,"2H E -8",-110,0.00%,"2N NS",120,-6,"We missed partial",+7
19,2024.08.07,19,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",430,0.00%,"1N NS+1",120,7,"We overbid - undoubled",-8
20,2024.08.07,20,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",110,0.00%,"2H EW+1",-140,6,"They missed double",-7
21,2024.08.07,21,EPBot1,EPBot3,EPBot2,EPBot4,"5D N -11",600,0.00%,"5HX EW-3",500,3,"They missed sacrifice",-11
22,2024.08.07,22,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",430,0.00%,"3N NS+1",430,0,"Par was bid",-10
23,2024.08.07,23,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",400,0.00%,"3N NS",400,0,"Par was bid",-9
24,2024.08.07,24,EPBot1,EPBot3,EPBot2,EPBot4,"6N N -12",990,0.00%,"6N NS",990,0,"Par was bid",-12
25,2024.08.07,25,EPBot1,EPBot3,EPBot2,EPBot4,"3D N -9",110,0.00%,"3D NS",110,0,"Par was bid",-9
26,2024.08.07,26,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",-50,0.00%,"2N EW",-120,2,"They missed double",-7
27,2024.08.07,27,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",400,0.00%,"3N NS",400,0,"Par was bid",-9
28,2024.08.07,28,EPBot1,EPBot3,EPBot2,EPBot4,"6DX N -12",1540,0.00%,"6D NS",1370,5,"They doubled making contract",-12
29,2024.08.07,29,EPBot1,EPBot3,EPBot2,EPBot4,"6N N -12",1440,0.00%,"6N NS",1440,0,"Par was bid",-12
30,2024.08.07,30,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",130,0.00%,"3SX S-1",-100,6,"They missed partial",-8
31,2024.08.07,31,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",-100,0.00%,"2N NS",120,-6,"We overbid - undoubled",-8
32,2024.08.07,32,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",460,0.00%,"3N N+2",460,0,"Par was bid",-11
33,2024.08.07,33,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",400,0.00%,"1H NS+2",140,6,"We overbid - undoubled",-8
34,2024.08.07,34,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",660,0.00%,"6N NS",1440,-13,"We missed small slam",-12
35,2024.08.07,35,EPBot1,EPBot3,EPBot2,EPBot4,"6NX N -12",-100,0.00%,"3N NS+2",460,-11,"We overbid - doubled",-11
36,2024.08.07,36,EPBot1,EPBot3,EPBot2,EPBot4,"1N N -7",120,0.00%,"1N NS+1",120,0,"Par was bid",-8
37,2024.08.07,37,EPBot1,EPBot3,EPBot2,EPBot4,"6C S -12",1370,0.00%,"6N NS",1440,-2,"We missed best contract",-12
38,2024.08.07,38,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",430,0.00%,"3N NS+2",460,-1,"Par was bid",-11
39,2024.08.07,39,EPBot1,EPBot3,EPBot2,EPBot4,"6C S -12",-50,0.00%,"6C NS",920,-14,"Par was bid",-12
40,2024.08.07,40,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -9",430,0.00%,"4S NS",420,0,"We missed best contract",-9
41,2024.08.07,41,EPBot1,EPBot3,EPBot2,EPBot4,"2N N -8",120,0.00%,"1N NS",90,1,"We overbid - undoubled",-7
42,2024.08.07,42,EPBot1,EPBot3,EPBot2,EPBot4,"3C N -9",110,0.00%,"3H EW",-140,6,"They missed partial",-8
43,2024.08.07,43,EPBot1,EPBot3,EPBot2,EPBot4,"1N N -7",120,0.00%,"2H NS+1",140,-1,"We missed best contract",-8
