/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule17.pbn
board declarer contract score
1 N 3N 400
2 N 3N 600
3 N 3N -50
4 N 2N 150
5 N 2N -100
6 N 3N -100
7 N 3S 140
8 N 4H -50
9 N 2N 150
10 N 1N 120
11 N 3N -50
12 N 3N 600
13 N 3N -100
14 N 2N 120
15 N 3N -100
16 N 2N 120
17 N 3N 400
18 N 3N 600
19 N 3N -50
20 N 2N 120
21 N 3N 600
22 N 4S -50
23 N 3H 140
24 N 2N 150
25 N 2N 120
26 N 2N 120
27 N 2N 120
28 N 4H 620
29 N 3N -200
30 N 3N -50
31 N 2N 120
32 N 3N 400
33 N 2N 120
34 N 3N 600
35 N 1N 120
36 N 4H 420
37 N 2N 120
38 N 3N 400
39 E 2C 300
40 N 2N 150
41 N 2N 120
42 N 3S 140
43 N 3N -50
44 N 1N 120
45 N 3N -100
46 N 4H -50
47 N 2N 150
48 N 3N -50
49 N 3N 400
50 N 3N 600
51 N 1N 120
52 N 2N 120
53 N 2N 120
54 N 2N 120
55 N 3N -50
56 N 3N 400
57 N 3N -100
58 N 3N -50
59 N 3N -50
60 N 3N -100
61 N 2N 120
62 W 3HX 100
63 N 3N -100
64 N 3N -50
65 N 3S 170
66 N 1N 120
67 N 3S 140
68 N 3N -50
69 N 2N 150
70 N 3N 400
71 N 1N 120
72 N 2N 120
73 N 3N 400
74 N 3N -50
75 N 1N 120
76 N 3H 140
77 N 3H 140
78 N 2N 150
79 N 2N 120
80 N 3N -50
81 W 4HX 100
82 N 2N 120
83 N 2N 120
84 N 4H 420
85 N 3N -100
86 N 2N 120
87 N 2N 150
88 N 3N -50
89 N 3N 400
90 N 2N 150
91 N 2N 120
92 N 3S 170
93 N 2N 120
94 N 3N 400
95 N 2N 150
96 N 2N 150
97 N 2N 120
98 N 3N -100
99 N 2N 120
100 N 3N -50
101 N 2N 150
102 N 3N 400
103 N 2N 120
104 N 3N -50
105 N 3N -50
106 N 2N 120
107 N 4H 420
108 N 2N 120
109 N 4S -100
110 N 3S 140
111 N 2N 150
112 N 2N 120
113 N 3S 140
114 N 2N -100
115 N 3N -50
116 N 3N 400
117 N 3N 600
118 N 2N 120
119 N 1N 120
120 N 4S 420
121 N 2N 150
122 N 3N -50
123 N 2N 150
124 N 3D 110
125 N 3N -100
126 N 3N -50
127 N 3N 600
128 N 3N 400
129 N 2N 120
130 N 3N 600
131 N 3N -50
132 N 3N -50
133 N 4H 620
134 N 3N -50
135 N 3N -50
136 N 4S 420
137 N 4H -50
138 N 3N -50
139 W 3HX 500
140 N 3S 170
141 N 2N 120
142 N 1N 120
143 N 4H -100
144 N 2N 120
145 N 2N 120
146 N 2N -100
147 N 1N 120
148 N 2D 90
149 N 2N 150
150 N 2N 150
151 N 4S 420
152 N 3N -100
153 N 2N 150
154 N 1N 120
155 N 3N 400
156 N 2N 120
157 N 2N 150
158 N 1NX 280
159 N 3N 600
160 N 3N -50
161 N 2N 120
162 N 3N 600
163 N 3N 400
164 N 4S -50
165 N 2N 120
166 N 3N 400
167 N 2N 120
168 N 2N 120
169 N 3N 400
170 N 3N 400
171 N 3N 400
172 N 3N 600
173 N 3S 140
174 N 2N 120
175 N 3N 600
176 N 3H 140
177 N 2N 150
178 N 3N 600
179 N 2N 120
180 E 4S 100
181 N 4S 620
182 N 2N 120
183 N 3N -50
