/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule18.csv
ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.07.20,1,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"1S NS+2",140,-5,"We overbid - undoubled",-
2,2024.07.20,2,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"2H NS",110,0,"We overbid - undoubled",+1
3,2024.07.20,3,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"2H NS",110,7,"We overbid - undoubled",+3
4,2024.07.20,4,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"3N NS",400,-10,"Par was bid",-1
5,2024.07.20,5,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS",600,-10,"We missed game",-1
6,2024.07.20,6,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"1H S+2",140,-5,"We overbid - undoubled",-
7,2024.07.20,7,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"4SX NS-1",-100,11,"They missed double",+1
8,2024.07.20,8,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"2D NS+1",110,1,"We missed partial",+2
9,2024.07.20,9,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"3N N",400,-10,"Par was bid",-1
10,2024.07.20,10,EPBot1,EPBot3,EPBot2,EPBot4,"4H N -1",-50,0.00%,"3D NS",110,-4,"We overbid - undoubled",+1
11,2024.07.20,11,EPBot1,EPBot3,EPBot2,EPBot4,"2D N +1",110,0.00%,"3D NS",110,0,"They missed sacrifice",-
12,2024.07.20,12,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"3N NS+1",630,-1,"Par was bid",-1
13,2024.07.20,13,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"3N NS",600,0,"Par was bid",-
14,2024.07.20,14,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3N NS",400,0,"Par was bid",-
15,2024.07.20,15,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"4DX EW-3",500,-9,"We missed game",-1
16,2024.07.20,16,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"2SX NS-1",-100,11,"They missed double",+2
