/Users/adavidbailey/Practice-Bidding-Scenarios/bba/New_Minor_Forcing.pbn

                        -- Sorted by Board Number --
brd# contract score  par     north            east             south            west             | auction...   | notes
---- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1    3N-S       400          QT94.KQ985.A.J32 AKJ2.T42.K842.64 873.AJ.Q763.AQ87 65.763.JT95.KT95 | 1D-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-2N-P-3N | Two way new minor forcing
2    4H-N       620          J2.KJ963.Q764.A4 KT96.Q2.T83.JT75 Q73.A75.K5.KQ982 A854.T84.AJ92.63 | 1C-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-4H | Two way new minor forcing
3    4S-N       450          AJT54.A984.K9.42 8.T32.AT83.K8763 Q92.K65.Q762.AQ5 K763.QJ7.J54.JT9 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2H-P-4S | Two way new minor forcing
4    2S-N       110          QJT64.A3.KJ7.J94 82.KJ72.864.KT85 95.T98.AQ92.AQ72 AK73.Q654.T53.63 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2S | Two way new minor forcing
5    4S-N       620          AK962.KJ43.73.72 74.T852.AJT4.QT5 JT8.Q9.Q985.AK43 Q53.A76.K62.J986 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2H-P-4S | Two way new minor forcing
6    2S-N       140          AK742.832.AJ5.32 T986.AQJ7.94.987 Q3.964.QT83.AKJ6 J5.KT5.K762.QT54 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2S | Two way new minor forcing
7    2S-N       170          AJ874.5.732.AQJ4 6532.Q876.AK5.T6 QT.AKT94.QJ6.985 K9.J32.T984.K732 | 1H-P-1S-P-1N-P-2C-=1=-P-2D-P-2S | Two way new minor forcing
8    3S-N       170          AJT52.942.Q63.A7 43.QT85.A982.KJT Q97.AJ6.K5.Q9842 K86.K73.JT74.653 | 1C-P-1S-P-1N-P-2C-=1=-P-2D-P-2S-P-3S | Two way new minor forcing
9    4H-N       450          AJT4.AT973.8.Q72 753.J65.KJ94.654 K9.KQ2.A532.J983 Q862.84.QT76.AKT | 1D-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-3H-P-4H | Two way new minor forcing
10   3N-S       600          Q4.T8652.AK63.K3 T752.J97.QJ75.97 AK9.A4.842.QT542 J863.KQ3.T9.AJ86 | 1C-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-2N-P-3N | Two way new minor forcing
11   2H-N       110          Q754.A8543.KQ4.2 963.JT2.865.AK96 K82.K6.AT92.QT43 AJT.Q97.J73.J875 | 1D-P-1H-P-1N-P-2C-=1=-P-2D-P-2H | Two way new minor forcing
12   4S-N       620          QJ642.KQ6.874.AT 973.J75.A63.QJ72 A85.AT9.KJ52.985 KT.8432.QT9.K643 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2S-P-3S-P-4S | Two way new minor forcing
13   3N-S       600          KQJ52.T9.KQT.765 T643.K2.642.A983 A9.AQ863.J85.QT2 87.J754.A973.KJ4 | 1H-P-1S-P-1N-P-2C-=1=-P-2D-P-2S-P-2N-P-3N | Two way new minor forcing
14   4H-N       450          K98.KT872.2.KQT4 JT7.963.Q986.AJ7 A54.AQ5.K743.986 Q632.J4.AJT5.532 | 1D-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-3H-P-4H | Two way new minor forcing
15   4H-N       650          A75.AKT97.65.T65 KT93.43.Q32.9832 Q2.Q62.KJ84.AQ74 J864.J85.AT97.KJ | 1D-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-3H-P-4H | Two way new minor forcing
16   3N-S       400          KJT84.AJ4.Q76.72 72.852.A432.AQ95 A3.KT9.KT85.K863 Q965.Q763.J9.JT4 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2S-P-2N-P-3N | Two way new minor forcing
17   3N-S       400          AK876.A652.J65.4 JT4.84.QT842.J65 Q9.J73.A93.AK973 532.KQT9.K7.QT82 | 1C-P-1S-P-1N-P-2C-=1=-P-2D-P-2H-P-3N | Two way new minor forcing
18   2S-N       110          AKQ86.43.T2.Q765 T975.KQ98.Q86.32 43.JT6.AK95.KJ98 J2.A752.J743.AT4 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2S | Two way new minor forcing
19   3N-S       -50          Q8632.KJ.83.KQ42 K75.Q832.T952.98 T4.A9754.AJ7.A73 AJ9.T6.KQ64.JT65 | 1H-P-1S-P-1N-P-2C-=1=-P-2D-P-2S-P-2N-P-3N | Two way new minor forcing
20   4H-N       620          K86.KJT84.T87.KQ JT7.952.QJ2.A983 AQ3.Q76.A964.T64 9542.A3.K53.J752 | 1D-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-3H-P-4H | Two way new minor forcing
21   4S-N       650          QJ863.AQ75.Q72.5 75.T98.T653.AKT2 KT4.KJ.AJ94.Q873 A92.6432.K8.J964 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2H-P-4S | Two way new minor forcing
22   4S-N       420          KJ863.Q9.852.KQ7 T9.T8743.T93.A43 A75.A2.KQ76.JT86 Q42.KJ65.AJ4.952 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2S-P-4S | Two way new minor forcing
23   4H-N       620          QT9.AJ853.J97.K2 A543.K2.QT5.JT73 K72.964.AK3.A965 J86.QT7.8642.Q84 | 1C-P-1H-P-1N-P-2C-=1=-P-2D-P-2H-P-4H | Two way new minor forcing
24   4S-N       -50          T9832.43.AT52.AK AJ7.Q985.97.7532 Q54.K62.KQJ6.J84 K6.AJT7.843.QT96 | 1D-P-1S-P-1N-P-2C-=1=-P-2D-P-2S-P-3S-P-4S | Two way new minor forcing
