../bba/1C_WalshStyle.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  3H-N                    Q964.JT95.AT82.4 J852.42.KQ75.QT3 AT7.AK73.4.AJ972 K3.Q86.J963.K865 | 1C-P-1H-P-3H
2     S  3C-S                    J953.T865.KT42.Q T872.Q9.AQ98.J52 A6.KJ4.75.AK9843 KQ4.A732.J63.T76 | 1C-P-1H-P-3C
3     S  3N-S                    AK92.J54.7432.92 Q86.KQT.KT98.T76 J73.A6.QJ.AKQJ54 T54.98732.A65.83 | 1C-P-1S-P-3N
4     S  3N-S                    972.9754.A8753.T AT84.K82.T4.J854 K3.QJ6.KJ.AKQ976 QJ65.AT3.Q962.32 | 1C-P-1D-P-3N
5     S  1N-S                    Q7.AQ42.76432.T8 9642.J3.AJ85.A64 JT8.K976.K9.KQ75 AK53.T85.QT.J932 | 1C-P-1D-P-1N
6     S  2N-S                    QJ3.Q862.T862.82 T874.K53.KJ7.975 A652.AJ7.AQ.KJ43 K9.T94.9543.AQT6 | 1C-P-1H-P-2N
7     S  1N-S                    KT9.A753.T976.42 863.K86.K84.KJT5 QJ5.T42.AQ3.A873 A742.QJ9.J52.Q96 | 1C-P-1H-P-1N
8     S  1N-S                    A763.J9.T652.A72 K82.A652.87.QJ98 T4.KQT7.AK9.T654 QJ95.843.QJ43.K3 | 1C-P-1S-P-1N
9     S  3N-S                    Q852.J2.QT43.K82 J74.543.KJ52.A74 AT.AK97.A87.QJ53 K963.QT86.96.T96 | 1C-P-1S-P-2N-P-3N
10    S  4H-N                    KJ9.K872.T965.32 AT872.9.872.K984 Q4.AJT4.AJ.AQJ76 653.Q653.KQ43.T5 | 1C-P-1H-P-4H
11    S  3N-S                    AT62.432.K632.J5 943.AT96.854.742 K5.KQ.AJT7.AQT83 QJ87.J875.Q9.K96 | 1C-P-1S-P-2N-P-3N
12    S  1N-S                    A6.K984.J752.T43 KQ54.T732.Q96.J7 982.AJ5.84.AKQ95 JT73.Q6.AKT3.862 | 1C-P-1H-P-1N
13    S  3C-S                    J942.QJ5.QJ84.43 Q83.T9764.KT5.J2 AK.A3.A93.QT9765 T765.K82.762.AK8 | 1C-P-1S-P-3C
14    S  1N-S                    J9.AT97.JT43.Q82 Q876.85.AK7.9543 K54.642.Q85.AKJ7 AT32.KQJ3.962.T6 | 1C-P-1H-P-1N
15    S  1N-S                    Q765.A95.Q865.T3 AT43.764.T94.AJ6 J.JT82.AK7.KQ982 K982.KQ3.J32.754 | 1C-P-1S-P-1N
16    S  2N-S                    9862.KJ2.Q872.95 QT7.Q976.KT96.63 AJ5.A5.A53.AQ874 K43.T843.J4.KJT2 | 1C-P-1S-P-2N
17    S  4H-N                    95.KJ94.Q743.Q42 QJ74.76.T982.963 AK6.AT53.AK.JT85 T832.Q82.J65.AK7 | 1C-P-1H-P-4H
18    S  2N-S                    7532.AJ9.T9652.9 J64.7652.J3.AJ63 AQ8.KQT3.A7.K872 KT9.84.KQ84.QT54 | 1C-P-1D-P-2N
19    S  1N-N                    J8.QJ62.KT95.QT2 K6432.9753.43.A8 AT75.AK.762.K643 Q9.T84.AQJ8.J975 | 1C-P-1H-P-1S-P-1N
20    S  3N-S                    Q873.874.AJ742.4 A96.9653.K9.QJ72 KT4.AQT2.QT.AK96 J52.KJ.8653.T853 | 1C-P-1D-P-2N-P-3S-P-3N
21    S  3S-S                    8754.Q764.JT63.A J3.T85.KQ84.K543 KQT6.AJ2.A.QT876 A92.K93.9752.J92 | 1C-P-1H-P-1S-P-2S-P-3S
22    S  3N-S                    T87.KJT3.KJT6.T2 K3.Q94.Q732.K953 AJ42.A75.A8.AQ86 Q965.862.954.J74 | 1C-P-1H-P-2N-P-3N
23    S  1N-S                    76.J982.AQ432.42 T32.KT76.97.AT93 A854.A5.K6.KQ765 KQJ9.Q43.JT85.J8 | 1C-P-1D-P-1N
24    S  3N-N                    854.Q974.QJ43.A5 J3.J862.K985.T63 AKQT.K5.AT.Q9872 9762.AT3.762.KJ4 | 1C-P-1H-P-2S-P-3N
25    S  1N-S                    QT76.K3.Q962.T32 984.QJ96.AJ83.J9 A32.AT52.4.AK864 KJ5.874.KT75.Q75 | 1C-P-1S-P-1N
26    S  2N-S                    KT82.74.QJ653.52 7654.K96.97.QJT7 AJ.AQJ8.T82.AK84 Q93.T532.AK4.963 | 1C-P-1D-P-2N
27    S  1N-S                    JT32.K952.K865.3 Q875.QJT.Q42.K97 K96.A8.T93.AQT42 A4.7643.AJ7.J865 | 1C-P-1H-P-1N
