../bba/After_3_Passes.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     W  1N-N        90          973.K8.T976.KQ76 T65.AJ75.AQ4.842 KQ4.9642.K853.A3 AJ82.QT3.J2.JT95 | P-P-P-1D-P-1N
2     W  2S-W        50          KJ7.J752.KQ2.T87 T84.Q86.743.AKJ5 Q5.AKT.J965.Q632 A9632.943.AT8.94 | P-P-P-1D-1S-X-2S
3     W  -W                      932.T8.J873.AKQT KT84.942.AK94.32 A75.AK53.652.986 QJ6.QJ76.QT.J754 | P
4     W  1N-S        90          K7654.985.97.KJ9 AQ32.KT4.T65.654 T.Q732.AJ432.AQ7 J98.AJ6.KQ8.T832 | P-P-P-1D-P-1S-P-1N
5     W  1N-S        90          Q953.A9.T75.QT63 KJT7.K65.A96.854 A8.Q7432.KJ3.K97 642.JT8.Q842.AJ2 | P-P-P-1H-P-1S-P-1N
6     W  2C-S       110          J52.KT2.KJ8.QT73 Q984.A84.AT95.95 AT7.953.64.AK842 K63.QJ76.Q732.J6 | P-P-P-1C-P-1N-P-2C
7     W  2D-W       -90          Q976.QT4.QJ5.Q96 A85.J865.KT864.2 43.AK97.92.AJT85 KJT2.32.A73.K743 | P-P-P-1C-P-1S-1N=1=-P=2=-2D | Unusual 1NT | Max 2 !S
8     W  1H-N       110          K852.JT96.KT97.K Q973.Q743.J4.AQ9 AJ6.A52.Q83.J632 T4.K8.A652.T8754 | P-P-P-1C-P-1H
9     W  1N-N       120          K74.AT5.652.KJ52 T65.63.AK73.Q864 A83.QJ9.T8.AT973 QJ92.K8742.QJ94. | P-P-P-1C-1H-1N
10    W  -W                      A6.JT973.942.K86 953.K86.AK76.J42 QJ87.A42.853.A93 KT42.Q5.QJT.QT75 | P
11    W  4DX-S     -100          T74.964.AT94.A97 AK62.QJ87.6.JT84 Q98.KT.KJ872.K53 J53.A532.Q53.Q62 | P-P-1C-1D-1H-2D-2H-3D-3H-4D-P-P-X
12    W  -W                      7654.KJ72.Q9.AJ4 J98.653.AKT3.K53 AK3.QT9.874.QT86 QT2.A84.J652.972 | P
13    W  2D-S        90          KJ3.K74.T63.Q432 Q9865.862.K2.K95 72.QJ5.AJ985.AT6 AT4.AT93.Q74.J87 | P-P-P-1D-P-1N-P-2D
14    W  3S-E       100          A63.87543.T.K964 KT54.AK2.J763.87 87.T.AK8542.AJT2 QJ92.QJ96.Q9.Q53 | P-P-1D-P-1H-P-1S-2D-2S-P-P-X-P-3C-P-P-3S
15    W  -W                      J984.K63.AQ.J964 KT3.A874.KT5.T75 A652.T9.J93.AQ32 Q7.QJ52.87642.K8 | P
16    W  3D-W      -110          T854.AT.K73.KT96 K6.Q9.JT9642.Q75 Q92.KJ762.8.AJ82 AJ73.8543.AQ5.43 | 1D-P-3D
17    W  1N-S       -50          83.QJ7.9862.KJ93 AJT2.984.KQJT.T7 K95.K52.754.AQ42 Q764.AT63.A3.865 | P-P-P-1C-P-1D-P-1N
18    W  2N-S       120          JT82.5.AQ95.AT73 A974.J9872.J3.Q6 K3.QT63.K42.KJ95 Q65.AK4.T876.842 | P-1D-P-1H-P-1S-P-2N
19    W  -W                      A73.T73.AQ76.765 KQ.Q654.942.Q432 T942.KJ.T83.AKT9 J865.A982.KJ5.J8 | P
20    W  2S-N      -100          J6543.KJ75.Q2.J6 Q87.A6.AJ83.9832 T9.T94.KT95.AKQT AK2.Q832.764.754 | P-P-P-1D-P-1S-P-1N-P-2H-P-2S
21    W  2C-N       130          QT95.A982..A7432 8742.QJ65.AKT.J8 AK3.43.J8432.KT5 J6.KT7.Q9765.Q96 | P-P-P-1D-P-1H-P-1N-P-2C
22    W  1N-S       120          K93.JT8.K753.K85 QT86.A742.T9.Q42 J4.K65.QJ8.AJT93 A752.Q93.A642.76 | P-P-P-1C-P-1D-P-1N
23    W  2H-E      -110          A742.Q43.Q5.J532 T83.T975.KJ.KQ98 K95.KJ.A7642.T76 QJ6.A862.T983.A4 | 1D-P-1H-P-2H
24    W  3S-S       140          A984.Q954.A854.T JT76.AKJ6.J2.753 K532.2.KQ9.QJ964 Q.T873.T763.AK82 | P-P-P-1C-P-1H-P-1S-P-3S
25    W  3N-N       400          AJ64.J93.K3.QT73 K875.QT852.J9.J8 9.AK7.AT865.K952 QT32.64.Q742.A64 | P-P-P-1D-P-1S-P-2C-P-2N-P-3N
26    W  2D-S       110          AQ9.76.QT72.Q853 K8542.T93.85.A76 JT.Q8542.AKJ3.J4 763.AKJ.964.KT92 | P-P-P-1H-P-1N-P-2D
27    W  -W                      JT6.Q852.732.A42 KQ97.J9.K94.Q983 8532.A76.AQT.JT6 A4.KT43.J865.K75 | P
28    W  2S-W       100          T962.AQT2.5.KJT5 QJ43.7643.A76.A7 A.K8.KJ982.Q9643 K875.J95.QT43.82 | P-P-1D-P-1S-P-2S
29    W  4H-S      -100          JT72.KQ8.72.AJ65 K854.743.AQT.T97 Q3.AJ952.K53.K83 A96.T6.J9864.Q42 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H-P-3H-P-4H | Reverse drury | Artificial
30    W  2N-S       120          KT96.J86.JT.AJ94 QJ7.Q42.K854.862 A4.K73.Q973.KT53 8532.AT95.A62.Q7 | P-P-P-1D-P-1S-P-1N-P-2C-P-2N
31    W  1N-E       -90          JT53.93.K754.A95 82.AJT6.AJ3.T863 Q96.KQ8542.Q6.Q4 AK74.7.T982.KJ72 | 1D-P-1H-P-1S-P-1N
32    W  2D-S       110          AK97.8643.JT8.J6 J862.KT95.Q7.KQ5 54.Q2.AK963.A743 QT3.AJ7.542.T982 | P-P-P-1D-P-1H-P-2C-P-2D
33    W  2S-E        50          J7.K832.T765.AQJ K632.QT.Q9.87532 AT4.J65.KJ4.K964 Q985.A974.A832.T | P-P-P-1C-X-XX-2S
