../bba/All_Pass.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     W  1N-E                    JT63.Q92.KQ8.KT2 854.J64.AJ7.Q543 K2.AKT7.952.9876 AQ97.853.T643.AJ | 1D-P-1N
2     W  Pass-?                  86.A643.QT93.AJT AT73.KJT7.6.9854 KJ94.5.K854.K632 Q52.Q982.AJ72.Q7 | P
3     W  1N-S                    AT94.QJ93.A43.T5 K53.84.KQT2.J932 J62.AKT.J865.864 Q87.7652.97.AKQ7 | P-1D-P-1N
4     W  Pass-?                  AJ65.T8.KQ9.J974 43.KQ9.J653.KQT3 KQ2.J52.AT82.852 T987.A7643.74.A6 | P
5     W  2N-S                    A973.AJ9.J5.JT98 K652.T73.763.AK2 Q.Q862.AKT2.7543 JT84.K54.Q984.Q6 | P-1C-P-1H-P-1S-P-2N
6     W  Pass-?                  QJ2.9764.KJ32.A2 T973.T3.AT6.KQ53 865.AQJ5.Q84.T74 AK4.K82.975.J986 | P
7     W  Pass-?                  JT54.QJ9.T73.AQT A98.8532.Q85.KJ9 Q762.K64.AJ6.652 K3.AT7.K942.8743 | P
8     W  Pass-?                  T5.AQ86.KQ54.542 J973.T92.AJT.AJ7 K8642.K43.82.QT8 AQ.J75.9763.K963 | P
9     W  Pass-?                  J762.AKQ4.975.86 94.J987.AJ3.AJ93 AT83.T63.862.KQT KQ5.52.KQT4.7542 | P
10    W  Pass-?                  K3.KQ98.742.QT86 A875.532.KQT5.J9 642.AJ7.AJ93.754 QJT9.T64.86.AK32 | P
11    W  Pass-?                  96.A982.A53.Q943 QJ3.KQT6.QJ2.765 AK75.754.K984.T8 T842.J3.T76.AKJ2 | P
12    W  Pass-?                  Q983.K3.AJ54.876 JT42.A982.63.KJ5 75.Q54.QT82.AQ42 AK6.JT76.K97.T93 | P
13    W  2H-E                    7632.T2.AJ7.K942 J84.AJ98.96.AJT7 K5.K75.QT32.Q863 AQT9.Q643.K854.5 | 1D-P-1H-P-2H
14    W  2H-S                    AQT8.7652.T52.AJ J32.QJ.A643.7643 9765.AK84.K7.T85 K4.T93.QJ98.KQ92 | P-1D-P-1H-P-2H
15    W  2N-E                    KJ53.K7.984.Q762 AQ42.J652.KJT7.3 96.A983.Q52.KT95 T87.QT4.A63.AJ84 | P-P-1D-P-2C-P-2N
16    W  Pass-?                  9876.AK7.J9.QJT8 AJ32.J86.Q75.K94 KQ54.Q43.K643.65 T.T952.AT82.A732 | P
17    W  Pass-?                  42.A82.KQ96.Q985 T87.Q975.A5.KT42 KQ95.JT63.T874.A AJ63.K4.J32.J763 | P
18    W  Pass-?                  J82.AT8.QT43.AT2 A93.Q96.AJ6.9763 KT4.KJ4.K852.854 Q765.7532.97.KQJ | P
19    W  2H-E                    QJ65.KT.A65.7532 82.9763.KJ8.KJ64 KT4.852.Q943.AQ8 A973.AQJ4.T72.T9 | 1D-P-1H-P-2H
20    W  Pass-?                  JT86.AJ6.AT3.T93 A94.Q942.742.K52 Q72.T3.K985.AQ87 K53.K875.QJ6.J64 | P
21    W  Pass-?                  A84.652.Q86.K964 Q62.KQT9.KT3.J52 9753.874.AJ4.AT8 KJT.AJ3.9752.Q73 | P
22    W  Pass-?                  863.K532.K87.A86 AQ94.QT4.J653.J7 J75.J86.A94.KQ93 KT2.A97.QT2.T542 | P
23    W  Pass-?                  K3.A432.K643.973 AJ76.K8.QJ52.T84 Q854.J75.T87.AQ6 T92.QT96.A9.KJ52 | P
24    W  1N-E                    Q432.95.Q9.AT863 76.AQ62.K73.Q954 K98.KT87.JT86.K7 AJT5.J43.A542.J2 | 1D-P-1H-P-1S-P-1N
25    W  Pass-?                  J87.K82.Q76.A876 KQ42.JT74.KJ.T42 AT93.Q5.9852.KJ3 65.A963.AT43.Q95 | P
26    W  Pass-?                  7642.KT5.Q5.KQJ6 AT3.96432.A76.T4 Q95.AQJ.JT84.973 KJ8.87.K932.A852 | P
27    W  Pass-?                  8753.K7.KJ3.A865 964.A832.A75.QJ4 KQT.J654.Q94.973 AJ2.QT9.T862.KT2 | P
28    W  Pass-?                  Q98.J94.Q52.A765 KJ72.T76.K76.KT3 AT.8532.AT98.QJ4 6543.AKQ.J43.982 | P
29    W  Pass-?                  A42.KJ2.QT6.9872 KQT5.Q97.A874.53 J63.T863.K32.AT6 987.A54.J95.KQJ4 | P
30    W  Pass-?                  AJ.Q54.K972.J542 K53.K6.AT54.T986 T964.9872.QJ.AQ7 Q872.AJT3.863.K3 | P
31    W  Pass-?                  Q92.952.AJ93.AT7 KT73.KJ8.T6.Q964 J8.A43.K842.J853 A654.QT76.Q75.K2 | P
32    W  Pass-?                  T932.AQ3.98.QT93 KQJ4.K987.JT53.4 76.T62.K742.AKJ6 A85.J54.AQ6.8752 | P
33    W  Pass-?                  KJ9.Q73.AJ84.T96 7432.A842.T.A532 AT5.J95.K963.QJ4 Q86.KT6.Q752.K87 | P
34    W  3C-N                    Q32.632.A96.AJ82 AT754.974.J7.K63 9.AQJ8.Q854.Q754 KJ86.KT5.KT32.T9 | P-P-2S-X-P-3C
35    W  Pass-?                  AT63.Q754.Q87.QJ J94.T8.K62.AT872 852.K962.A95.K94 KQ7.AJ3.JT43.653 | P
36    W  Pass-?                  J973.94.KT4.A862 KQ85.QT52.987.K5 A2.876.A653.QJ94 T64.AKJ3.QJ2.T73 | P
