../bba/GIB_1M-P-Resp.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     N  1N-S                    AJT97.KJ8.KT5.Q2 Q63.AT9.643.KJ97 82.Q63.Q97.AT854 K54.7542.AJ82.63 | 1S-P-1N
2     N  2S-N                    JT986.AQT3.K5.K5 A2.K972.Q964.T42 754.64.AJ73.QJ63 KQ3.J85.T82.A987 | 1S-P-2S
3     N  2H-N                    94.Q9874.AK7.A82 AQ2.J2.T432.KT97 J8653.AT63.J8.Q5 KT7.K5.Q965.J643 | 1H-P-2H
4     N  2S-N                    QT752.K3.AK5.Q64 K8.T64.J843.AJT2 J963.A972.Q62.95 A4.QJ85.T97.K873 | 1S-P-2S
5     N  1N-N                    K3.K9642.AQ4.865 A75.87.JT65.AJ93 J9864.AJ.983.K72 QT2.QT53.K72.QT4 | 1H-P-1S-P-1N
6     N  2S-N                    KQ6532.7.QJ7.KJ7 984.K32.KT93.A84 JT.AJT865.65.Q92 A7.Q94.A842.T653 | 1S-P-1N-P-2S
7     N  4S-N                    AKT62.K7.A43.T74 J85.QT84.K7.Q652 Q73.A95.QJT65.J9 94.J632.982.AK83 | 1S-P-3S-P-4S
8     N  2H-N                    KQ.A9876.962.A52 J943.QT2.AJ7.T83 A876.K43.853.Q94 T52.J5.KQT4.KJ76 | 1H-P-2H
9     N  2S-N                    AK973.97.Q862.A7 Q8.QT86.KT3.Q543 T65.KJ5.975.KJ98 J42.A432.AJ4.T62 | 1S-P-2S
10    N  2S-N                    Q9764.AK82.82.A7 32.JT94.AQ73.K93 A8.Q73.JT96.J654 KJT5.65.K54.QT82 | 1S-P-1N-P-2H-P-2S
11    N  4S-N                    QT654.AQT4.2.AT9 83.KJ3.JT54.KJ74 J72.95.AQ983.Q65 AK9.8762.K76.832 | 1S-P-3S-P-4S
12    N  2H-N                    A87.QT954.KQ9.K5 543.K63.8752.AT4 QJ2.J72.AJ3.8762 KT96.A8.T64.QJ93 | 1H-P-2H
13    N  2H-N                    J5.A97632.A87.K4 KQ87.T5.JT92.A93 A432.Q84.Q6.J762 T96.KJ.K543.QT85 | 1H-P-2H
14    N  2S-N                    AKJ95.KJ3.Q6.753 764.A62.A754.T92 QT3.9874.832.AK4 82.QT5.KJT9.QJ86 | 1S-P-2S
15    N  1N-S                    KQ854.A2.542.A82 973.KQT7.KT7.J93 A6.J654.J98.Q765 JT2.983.AQ63.KT4 | 1S-P-1N
16    N  2S-N                    AK962.J852.K7.QJ JT.K76.J963.K865 Q54.QT93.AQT.T42 873.A4.8542.A973 | 1S-P-2S
