../bba/Hold_Up_3N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  3N-S       400          J4.T42.AQ6.QJ875 A953.93.J432.A62 KQ762.A87.K75.KT T8.KQJ65.T98.943 | 1N-P-3N
2     S  3N-S       630          J5.J93.AQ4.QJ964 K973.2.KT532.853 AQ4.A85.987.AK72 T862.KQT764.J6.T | 1N-P-3N
3     S  3N-S       400          KQ5.62.T53.KQT82 JT7.J85.KJ9842.A A3.A97.AQ7.J7653 98642.KQT43.6.94 | 1N-P-3N
4     S  3N-S       630          AK3.75.J75.KT832 QT64.96.QT96.Q54 9872.AJT.AK4.A76 J5.KQ8432.832.J9 | 1N-P-3N
5     S  3N-S       600          K4.T93.A8543.KJ6 Q952.752.QJ.Q854 AJ73.A4.K962.A73 T86.KQJ86.T7.T92 | 1N-P-3N
6     S  3N-S       400          J65.T65.A85.AK92 T4.J9.KJ763.JT64 AK973.A2.Q42.Q85 Q82.KQ8743.T9.73 | 1N-P-3N
7     S  3N-S       630          Q2.T42.AQ843.Q73 AJ98.J.JT95.T952 K753.A63.K72.AK6 T64.KQ9875.6.J84 | 1N-P-3D-P-3N
8     S  3N-S       400          K52.753.K865.A94 QJT7.64.Q.Q87532 A94.AJ8.A9743.K6 863.KQT92.JT2.JT | 1N-P-3N
9     S  3N-S       400          A82.84.K765.QJT8 J765.652.A82.K72 KQ93.AJ9.QJ.A954 T4.KQT73.T943.63 | 1N-P-3N
10    S  3N-S       600          J97.54.AJT83.AT3 K842.J63.62.KJ97 A63.A72.KQ975.Q5 QT5.KQT98.4.8642 | 1N-P-3N
11    S  3N-S       400          Q72.932.A986.KJ8 AJ96.J85.JT52.64 K54.A6.KQ74.AT73 T83.KQT74.3.Q952 | 1N-P-3N
12    S  3N-S       600          AT8.JT6.42.AQ942 K9642.92.AT3.T86 Q73.A8.KQ86.KJ75 J5.KQ7543.J975.3 | 1N-P-3N
13    S  3N-S       600          A32.74.KT652.A64 K854.632.87.K952 J6.AJ8.AQJ93.QJ3 QT97.KQT95.4.T87 | 1N-P-3N
14    S  3N-S       400          QJT.985.A632.A76 5.J42.KT87.K9532 AK72.AT.QJ54.J84 98643.KQ763.9.QT | 1N-P-3N
15    S  3N-S       600          832.62.AJ52.AKT5 AKJT6.98.T4.9862 Q975.AJ.KQ98.QJ4 4.KQT7543.763.73 | 1N-3H-3N
