../bba/Last_Train_GT2.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  3S-S                    K973.Q6.AQT94.94 T6.AJ94.KJ76.J83 AJ82.KT3.3.KQT75 Q54.8752.852.A62 | 1C-P-1D-P-1S-P-3S
2     S  4H-N                    84.AKT75.A643.64 AK75.Q4.J987.T97 Q2.J863.Q2.AKJ85 JT963.92.KT5.Q32 | 1C-P-1H-P-2H-P-4H
3     S  4H-N                    Q8.AT542.AJ8762. KJ42.KQJ.43.8762 A97.8763.K.KQJT3 T653.9.QT95.A954 | 1C-P-1H-P-2H-P-3D-P-3S-P-4C-P-4H
4     S  2S-N                    AK86.QT2.JT82.94 T5.KJ43.K653.J83 J943.A87.9.AKT76 Q72.965.AQ74.Q52 | 1C-P-1S-P-2S
5     S  3D-N                    J96.632.AQ73.A86 AQ84.J75.K54.T43 5.AK8.J986.KJ975 KT732.QT94.T2.Q2 | 1C-P-1D-P-2D-P-3D
6     S  3H-S                    QT76.QJ52.KQ862. 93.K764.A974.QJ3 AJ8.A983.J.KT854 K542.T.T53.A9762 | 1C-P-1D-P-1H-P-3H
7     S  4H-N                    5.AQ943.QJT94.T7 98762.7.K75.A863 AQ3.KJ62.3.KJ542 KJT4.T85.A862.Q9 | 1C-P-1H-P-2H-P-4H
8     S  2H-N                    76.KQ85.A863.Q96 K943.J3.KQ94.873 JT5.A974.5.AKJ54 AQ82.T62.JT72.T2 | 1C-P-1H-P-2H
9     S  4H-S                    J75.QT84.AQ9632. KQ83.97.KJ5.JT98 A92.A632.4.A7643 T64.KJ5.T87.KQ52 | 1C-P-1D-P-1H-P-4H
10    S  2H-N                    Q864.AT96.Q4.J73 AJ95.854.J832.Q5 T.KQJ2.A95.A8642 K732.73.KT76.KT9 | 1C-P-1H-P-2H
11    S  3H-N                    Q75.Q962.KQT4.87 AKT8.T74.J752.T9 J2.KJ83.96.AKQ43 9643.A5.A83.J652 | 1C-P-1H-P-3H
12    S  3H-S                    Q6.K854.AJT52.87 K973.T72.Q94.Q95 J82.A963.6.AKJ63 AT54.QJ.K873.T42 | 1C-P-1D-P-1H-P-3H
13    S  2S-N                    QJT6.KJ6.QJ63.J9 92.AT84.AT2.8642 K873.53.97.AKQ53 A54.Q972.K854.T7 | 1C-P-1S-P-2S
14    S  4H-N                    Q843.K654.KQJ.63 T76.AJ.T973.Q742 AJ.T873.A4.AJT98 K952.Q92.8652.K5 | 1C-P-1H-P-3H-P-3N-P-4H
