../bba/Minor_Suit_Opener_Mixed_Raise.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  3N-N                    853.K8.J82.QT752 K964.J654.KQ6.J8 A72.A72.A94.AK96 QJT.QT93.T753.43 | 1C-P-1N-P-2N-P-3C-P-3N
2     S  3N-S                    9.987.Q7532.AJ85 KQ63.QJ63.94.643 AT7.A42.AKT86.K2 J8542.KT5.J.QT97 | 1D-P-3D-P-3N
3     S  3N-S                    Q53.43.AJT92.Q84 K8.652.87543.AT2 AT92.AQJT.KQ6.K3 J764.K987..J9765 | 1D-P-3D-P-3N
4     S  3N-S                    KQ7.JT.QJ952.652 T982.AK96.63.T83 AJ54.52.AKT8.AQJ 63.Q8743.74.K974 | 1D-P-3D-P-3N
5     S  2D-S                    853.98.K9742.J83 JT76.K64.53.KQ95 A9.QJT5.AQJ8.AT7 KQ42.A732.T6.642 | 1D-P-P-X-XX-1H-2D
6     S  3N-N                    652.KQ8.JT.98753 Q987.965.76542.A KJT4.AJT7.A8.KQ4 A3.432.KQ93.JT62 | 1C-P-1N-P-2N-P-3C-P-3N
7     S  1C-S                    96.QT6.QJ7.T9643 Q743.72.AT632.82 AJ52.KJ93.K4.AK5 KT8.A854.985.QJ7 | 1C
8     S  3N-S                    T65.2.QJT53.AJT6 J73.J9543.97.Q32 AK2.AQ6.K642.K85 Q984.KT87.A8.974 | 1D-P-3D-P-3N
9     S  3N-S                    J9.J2.QT876.A982 AT42.Q763.J9.J65 KQ76.A9.AK532.K3 853.KT854.4.QT74 | 1D-P-3D-P-3N
10    S  3N-N                    AT5.J7.A9542.T65 K943.KQ62.T83.73 J.A983.KQJ7.AKQ4 Q8762.T54.6.J982 | 1D-P-3D-P-3H-P-3N
11    S  3N-S                    932.A2.832.AJ932 T75.KT87.QT95.54 AKJ4.QJ54.AJ.Q86 Q86.963.K764.KT7 | 1C-P-3C-P-3N
12    S  3N-S                    Q5.T52.A97643.32 T93.K93.85.Q9654 AKJ6.A874.KJ2.KT 8742.QJ6.QT.AJ87 | 1D-P-3D-P-3N
13    S  3N-S                    J83.87.754.AK432 A954.KJ62.JT8.97 KQ.AT.AK63.QJT86 T762.Q9543.Q92.5 | 1C-P-3C-P-3N
14    S  3D-S                    54.Q8.AJT42.Q975 AQJ3.J96.653.J83 KT87.A752.Q98.K4 962.KT43.K7.AT62 | 1D-P-3D
15    S  3D-S                    JT.JT6.98642.AK7 KQ7.A985.T7.6543 6432.KQ32.KQ3.Q2 A985.74.AJ5.JT98 | 1D-P-3D
16    S  5D-S                    943.J.J8643.A876 KQJ8.9852.T7.K95 AT75.AK43.AQ5.QT 62.QT76.K92.J432 | 1D-P-P-X-XX-1H-2H=1=-P-3S-P-5D | Strength cue bid
17    S  3N-S                    J9.QJ4.T98432.A7 K852.9832.Q.8643 Q643.AK.AKJ5.QT2 AT7.T765.76.KJ95 | 1D-P-3D-P-3N
18    S  3N-S                    Q6.964.K8643.QJ2 543.K85.J7.KT764 AKJT.AT73.AQ9.95 9872.QJ2.T52.A83 | 1D-P-3D-P-3N
19    S  3N-S                    QJ.964.QJ8.K9753 KT82.JT87.K973.8 A94.A32.A52.AQJT 7653.KQ5.T64.642 | 1C-P-3C-P-3N
20    S  3N-S                    874.J9.KQJ87.765 JT5.Q875.65.AT93 AK6.K632.A942.KJ Q932.AT4.T3.Q842 | 1D-P-3D-P-3N
21    S  3D-S                    854.K9.KJ654.742 J93.J764.A7.AT63 QT76.AQ53.Q93.K8 AK2.T82.T82.QJ95 | 1D-P-3D
22    S  3N-S                    KJ8.632.AJ952.32 T952.T98.Q8.QJ87 A7.AJ4.KT76.AKT4 Q643.KQ75.43.965 | 1D-P-3D-P-3N
23    S  3N-S                    T85.KT.KT762.QJ3 KQ92.Q63.Q43.T65 A.AJ98.AJ985.A92 J7643.7542..K874 | 1D-P-3D-P-3N
24    S  4D-S                    97.A54.K98532.73 Q8543.986.Q.J962 AK6.QJ7.JT64.AK4 JT2.KT32.A7.QT85 | 1D-P-4D
25    S  2D-S                    KQ3.JT4.87542.85 8754.765.A9.AQ96 A6.KQ9.KQJ63.K72 JT92.A832.T.JT43 | 1D-P-1N-P-2D
26    S  3N-N                    KT6.T84.QJ952.98 872.J753.KT.AJ52 A94.AK.A873.KT43 QJ53.Q962.64.Q76 | 1D-P-1N-P-2N-P-3D-P-3N
27    S  3N-S                    Q5.QJ8.Q9863.J97 JT43.T43.A7.Q652 AK9.A962.KJT4.KT 8762.K75.52.A843 | 1D-P-3D-P-3N
28    S  3C-S                    K4.T87.943.AJ632 T876.A943.AT6.T4 AQ95.KQ.J72.Q987 J32.J652.KQ85.K5 | 1C-P-3C
29    S  3N-N                    T3.A86.KJ5.JT863 842.KQT2.T764.A4 AKQJ.73.A32.KQ52 9765.J954.Q98.97 | 1C-P-3C-P-3S-P-3N
30    S  3N-S                    KQ2.54.Q72.Q9653 T864.QT2.K543.J4 AJ5.KJ76.AJ.AT82 973.A983.T986.K7 | 1C-P-3C-P-3N
31    S  3D-W                    64.63.Q72.Q98762 QJT7.J97.KT54.K4 AK5.AQT2.J.AJT53 9832.K854.A9863. | 1C-P-P-X-1H-2D-P-P-X-P-3C-3D
32    S  3N-S                    QJ8.J84.94.AJ752 954.A762.T862.43 AT62.93.AKQ.KQ96 K73.KQT5.J753.T8 | 1C-P-3C-P-3N
33    S  3C-S                    K9.J72.943.AT753 JT87.KT5.AJT5.92 AQ62.AQ84.87.Q86 543.963.KQ62.KJ4 | 1C-P-3C
34    S  5D-S                    Q87.85.J8742.A97 AKJ6.J764.953.J8 5.AKQ9.AKT6.KT64 T9432.T32.Q.Q532 | 1D-P-3D-P-5D
35    S  3C-S                    KJ6.T76.4.AJT986 AT94.KQ4.JT53.74 875.A92.KQ2.KQ32 Q32.J853.A9876.5 | 1C-P-3C
36    S  3D-S                    J95.73.Q9432.AJ8 Q743.KT954.86.T3 AKT.Q2.AT75.KQ72 862.AJ86.KJ.9654 | 1D-P-3D
37    S  5D-S                    T6.K76.Q7543.Q63 J9752.Q83.J.KT82 AQ.AJ.AKT862.J54 K843.T9542.9.A97 | 1D-P-3D-P-5D
38    S  3N-N                    64.982.K54.KT952 J875.AT765.732.J KQ32.Q3.AJT.AQ86 AT9.KJ4.Q986.743 | 1C-P-1N-P-2N-P-3N
39    S  3D-S                    Q97.K97.J9875.Q2 43.AT42.QT2.JT75 AKT2.Q5.AK63.K83 J865.J863.4.A964 | 1D-P-3D
40    S  4D-S                    632.Q6.AJ6543.98 AJ5.T982.72.KJ64 Q98.AK7.KQT8.AT2 KT74.J543.9.Q753 | 1D-P-4D
41    S  3D-S                    832.T54.A6542.Q2 KQ9.K973.Q97.743 JT4.AQ8.KJ83.AK6 A765.J62.T.JT985 | 1D-P-1N-P-2N-P-3D
42    S  3N-S                    76.82.KT962.AQ63 Q52.J753.QJ.KT95 AT84.AKQ.A753.J7 KJ93.T964.84.842 | 1D-P-3D-P-3N
43    S  3D-S                    J87.T.KT953.QJ72 T543.AK87.Q4.963 KQ9.9653.AJ76.AT A62.QJ42.82.K854 | 1D-P-3D
44    S  3C-S                    JT5.K93.43.AJT93 KQ9.7542.KQ97.52 A742.QJ.JT6.KQ64 863.AT86.A852.87 | 1C-P-3C
45    S  3D-S                    J9.J93.AQJ76.642 876.A764.T5.KJ97 AQT5.K85.K842.Q8 K432.QT2.93.AT53 | 1D-P-3D
46    S  3D-S                    QT.87.K9542.QJ65 K9853.QT92.T7.72 J7.A53.AQ86.AK94 A642.KJ64.J3.T83 | 1D-P-3D
47    S  5D-S                    8.Q76.AJ6532.Q32 J54.K53.84.KT654 KQT2.A982.KQ9.A9 A9763.JT4.T7.J87 | 1D-P-3D-P-3N-P-4D-P-4H-P-4S-P-5D
48    S  3C-S                    64.Q84.AQ4.98732 T73.A93.J973.KT6 AK85.JT52.85.AQ5 QJ92.K76.KT62.J4 | 1C-P-3C
49    S  3N-S                    T2.96.AQ864.QJ54 J75.K873.J.T9763 KQ63.AQJ.T752.AK A984.T542.K93.82 | 1D-P-3D-P-3N
50    S  1N-N                    T7.KT9.J9654.Q83 J832.87.QT8.AK64 AQ95.A632.K73.J7 K64.QJ54.A2.T952 | 1D-P-1N
51    S  1D-S                    865.J.JT754.KJ63 97.Q864.A82.T842 AJ43.AK52.Q63.A7 KQT2.T973.K9.Q95 | 1D
52    S  3N-S                    8.976.AT872.KT95 KQT5.T2.Q43.QJ74 A762.AK53.K96.A6 J943.QJ84.J5.832 | 1D-P-3D-P-3N
53    S  5C-S                    A3.943.A9.JT8762 752.A82.T7642.K4 KQ84.KQ.QJ.AQ953 JT96.JT765.K853. | 1C-P-3C-P-3N-P-4C-P-5C
54    S  3N-W                    JT.Q52.JT6.JT843 K832.K97.A542.62 A975.AJ43.K7.AQ7 Q64.T86.Q983.K95 | 1C-P-P-X-XX-1D-2C-2D-P-3N
55    S  3N-S                    AQ.Q62.JT6.T7542 T73.843.K9542.83 KJ84.AKJ7.Q8.KJ9 9652.T95.A73.AQ6 | 1C-P-3C-P-3N
56    S  3N-S                    JT3.652.AJ974.Q3 KQ54.A74.53.8652 A8.KQJ9.KQ62.K94 9762.T83.T8.AJT7 | 1D-P-3D-P-3N
57    S  1D-S                    T65.763.AJT75.96 J974.A9.62.JT872 K8.KJ85.K843.AKQ AQ32.QT42.Q9.543 | 1D
58    S  3N-S                    T.T93.AT962.QJ65 Q987.K864.KJ.743 AKJ3.AJ2.Q874.K9 6542.Q75.53.AT82 | 1D-P-3D-P-3N
59    S  3N-S                    97.Q53.AK873.974 Q852.K864.6.QT82 AK63.AJT2.J95.AJ JT4.97.QT42.K653 | 1D-P-3D-P-3N
60    S  3N-S                    832.852.Q8.AQT73 K6.9763.T9732.J8 AJT7.AKQT.A5.654 Q954.J4.KJ64.K92 | 1C-P-3C-P-3N
61    S  3D-S                    84.K7.K8765.KT87 QJ76.AT82.T3.Q92 AK3.QJ3.J942.J53 T952.9654.AQ.A64 | 1D-P-3D
62    S  3C-S                    K54.KT4.87.98762 AT632.9862.QT92. J97.AJ3.KJ4.AKQ4 Q8.Q75.A653.JT53 | 1C-P-1N-P-2N-P-3C
63    S  3N-W                    T7.QT7.T92.J8532 8653.654.J754.AK AQ92.AKJ9.K3.QT4 KJ4.832.AQ86.976 | 1C-P-P-X-XX-1D-2C-2D-P-3N
64    S  3C-S                    K53.A87.T6.98753 QT9.QT95.KQ83.JT A74.J64.AJ4.K642 J862.K32.9752.AQ | 1C-P-3C
65    S  2N-N                    QJT.J52.QT862.64 A654.KQ8.94.T875 K982.94.AK73.AKQ 73.AT763.J5.J932 | 1D-P-1N-P-2N
66    S  2N-N                    63.632.K9843.QJ8 7542.K97.76.KT54 KQJ9.AQ5.AQT2.32 AT8.JT84.J5.A976 | 1D-P-1N-P-2N
67    S  3N-N                    J9.964.932.AJ653 8764.QJ3.KQJ4.T2 KQ53.AK8.A5.K974 AT2.T752.T876.Q8 | 1C-P-1N-P-2N-P-3C-P-3N
68    S  3N-S                    76.T85.AQT983.T5 T82.Q63.K74.KJ92 AKJ4.KJ.J652.AQ3 Q953.A9742..8764 | 1D-P-3D-P-3N
69    S  3N-S                    Q63.K72.K8643.64 JT854.T6.J2.KT87 A.AJ94.AQT9.AJ52 K972.Q853.75.Q93 | 1D-P-3D-P-3N
70    S  3C-S                    A87.853.T6.AJ632 KT2.KQ62.9842.74 QJ4.AJ9.KJ7.QT85 9653.T74.AQ53.K9 | 1C-P-3C
71    S  2D-S                    Q97.43.Q9653.763 862.AQT8.A7.T985 AK5.962.KJT4.AKJ JT43.KJ75.82.Q42 | 1D-P-P-X-XX-1H-2D
72    S  3D-S                    K95.3.K8754.K987 Q63.K654.96.JT43 AJ72.A972.AQJ2.Q T84.QJT8.T3.A652 | 1D-P-3D
73    S  3D-S                    872.K6.AQ985.854 T53.7532.K3.AT92 AK96.AJ9.J764.J7 QJ4.QT84.T2.KQ63 | 1D-P-3D
74    S  3D-S                    Q97.K.QJ953.J542 AJ86.AJ65.64.987 KT52.Q932.KT8.AT 43.T874.A72.KQ63 | 1D-P-3D
75    S  4D-S                    2.72.AT9532.8432 JT54.QJT8.KQ6.J5 AK96.AK94.874.KQ Q873.653.J.AT976 | 1D-P-4D
76    S  3N-S                    T4.QT4.KQT85.Q87 J9873.J632.6.T32 Q65.A5.AJ94.AKJ5 AK2.K987.732.964 | 1D-P-3D-P-3N
77    S  3D-S                    753.K3.K8642.J97 Q82.A98.QT7.QT54 A964.QT54.AJ3.K6 KJT.J762.95.A832 | 1D-P-3D
78    S  3D-S                    T5.62.KT965.AJ62 A742.KJ97.43.QT4 Q986.AT5.AQ72.75 KJ3.Q843.J8.K983 | 1D-P-3D
79    S  2D-S                    96.J82.K9843.T83 Q872.Q96.76.AQ62 A54.AK43.AQJ5.J9 KJT3.T75.T2.K754 | 1D-P-P-X-XX-1S-2D
80    S  3D-S                    QT4.83.KQJ72.T73 J753.AK5.96.Q652 A98.T942.A543.A8 K62.QJ76.T8.KJ94 | 1D-P-3D
81    S  5D-S                    J64.KT.T9832.AT7 KQT7.A964.J5.852 3.QJ87.AKQ74.KJ9 A9852.532.6.Q643 | 1D-P-3D-P-5D
82    S  3N-S                    J8.T6.AK7.JT9853 QT6.KJ83.T952.Q7 K92.AQ75.Q4.AK64 A7543.942.J863.2 | 1C-P-3C-P-3N
83    S  1D-S                    3.J95.AT932.J743 QT987.83.875.K62 A654.AQ42.KQ4.A8 KJ2.KT76.J6.QT95 | 1D
84    S  3C-S                    T84.KJ8.A2.87643 A97.AQ96.T764.T2 QJ63.4.KQJ.KQJ95 K52.T7532.9853.A | 1C-P-3C
85    S  3D-S                    T.AT8.T9753.JT54 J63.964.Q86.AK62 KQ54.QJ7.AKJ2.Q9 A9872.K532.4.873 | 1D-P-P-X-XX-1S-3D
86    S  3C-S                    J2.Q73.JT8.AJ653 QT97.52.AK63.872 8543.AKJT.75.KQT AK6.9864.Q942.94 | 1C-P-3C
87    S  3N-S                    953.AJ.QJ954.875 JT872.9874.2.KT3 AK.KT3.K763.AQ96 Q64.Q652.AT8.J42 | 1D-P-3D-P-3N
88    S  3D-S                    86.T6.KQ543.AT95 KT73.QJ98.T9.K83 QJ54.AK72.A62.72 A92.543.J87.QJ64 | 1D-P-3D
89    S  3D-S                    42.96.AQT64.K752 QT9.AT75.K53.643 KJ53.KQ84.872.AJ A876.J32.J9.QT98 | 1D-P-3D
90    S  3N-S                    97.K6.J8542.K942 JT8.974.KT3.QJ86 AK43.AJ85.AQ6.75 Q652.QT32.97.AT3 | 1D-P-3D-P-3N
91    S  3N-S                    95.KJ2.AT982.842 K62.Q864.J4.KT96 AQ3.T7.KQ75.AQJ7 JT874.A953.63.53 | 1D-P-3D-P-3N
92    S  3C-S                    KQ8.85.876.A8753 J754.Q6432.J93.9 963.AJ7.AK5.KQJ2 AT2.KT9.QT42.T64 | 1C-P-3C
93    S  3D-S                    T6.Q9.96532.AK82 J953.T863.AJ.J65 KQ74.KJ4.K874.Q7 A82.A752.QT.T943 | 1D-P-3D
