..\bba\Opps_Bal_Unusual_2N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  4H-S       420          QJ943.T54.Q6.A75 K865.A82.852.864 A2.KQJ73.A743.32 T7.96.KJT9.KQJT9 | 1H-P-2H-P-P-3C-3H-P-4H
2     S  3C-W        50          AT87.K53.J763.75 5432.QT6.A852.Q6 KQ9.AJ872.4.K842 J6.94.KQT9.AJT93 | 1H-P-2H-P-P-3C
3     S  2H-S       140          9543.632.AK32.J2 A762.JT.875.A654 KQT8.AK875.6.873 J.Q94.QJT94.KQT9 | 1H-P-2H
4     S  2S-S       170          KQ2.987632.J7.K7 A63.QT5.Q863.532 JT987.AK.52.A864 54.J4.AKT94.QJT9 | 1S-P-2S
5     S  3C-W      -130          T53.KQJT87.J653. Q92.A43.84.A7643 AK876.62.K72.Q52 J4.95.AQT9.KJT98 | 1S-P-2S-P-P-3C
6     S  2H-S       140          KJT753.QJ8.2.J87 A4.965.AQ743.432 Q82.AKT72.865.K6 96.43.KJT9.AQT95 | 1H-P-2H
7     S  2H-S       140          A532.Q96.75.Q864 8764.K32.J832.A2 KJ9.AJT84.A64.73 QT.75.KQT9.KJT95 | 1H-P-2H
8     S  3S-S       170          Q762.AT962.87.63 J8.J7.KJ653.K874 AKT95.K843.42.A5 43.Q5.AQT9.QJT92 | 1S-P-2S-P-P-3C-3S
9     S  2S-S       110          T82.A752.532.K52 A6.JT64.K86.Q874 K9753.KQ83.A74.6 QJ4.9.QJT9.AJT93 | 1S-P-2S
10    S  2H-S       140          Q843.K83.Q86.542 J76.AQ5.743.K763 AKT5.JT962.J52.A 92.74.AKT9.QJT98 | 1H-P-2H
11    S  3H-S       -50          QT87.A97.732.Q43 KJ52.653.J84.A85 A63.KQJ82.K65.62 94.T4.AQT9.KJT97 | 1H-P-2H-P-P-3C-3H
12    S  3D-W      -110          KQT865.J73.J5.87 AJ97.K82.432.Q65 4.AT964.A76.A432 32.Q5.KQT98.KJT9 | 1H-P-2H-P-P-3D
13    S  2S-S       140          976.KT975.K3.K85 Q32.Q42.J72.Q742 AKJ54.AJ8.864.63 T8.63.AQT95.AJT9 | 1S-P-2S
14    S  3H-S       -50          K95.K96.7652.J62 AJ82.QT7.Q843.87 QT74.AJ532.A.Q53 63.84.KJT9.AKT94 | 1H-P-2H-P-P-3C-P-P-3H
15    S  3H-S       140          K964.K864.7542.J QT5.Q7.KQ83.5432 AJ73.AJT93.6.K86 82.52.AJT9.AQT97 | 1H-P-2H-P-P-3C-3H
16    S  2H-S       110          K762.K92.J72.652 QT83.AJ5.53.K843 AJ9.QT764.Q86.A7 54.83.AKT94.QJT9 | 1H-P-2H
