../bba/Play_Top_Tricks_NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2N-S       120          T76.94.AK852.J98 Q982.J863.T3.KQT AJ4.A7.QJ74.A652 K53.KQT52.96.743 | 1N-P-2N
2     S  1N-S       120          972.T42.AK3.9852 QJ.J8653.642.KQJ A86.AKQ7.987.AT6 KT543.9.QJT5.743 | 1N
3     S  3N-S       430          K84.97.AJ97.K864 J62.T85.8432.QJ5 AT75.A64.KQT6.A7 Q93.KQJ32.5.T932 | 1N-P-3N
4     S  3N-S       600          543.T4.AKT97.J85 Q92.QJ875.653.Q9 AT7.A932.Q4.AKT6 KJ86.K6.J82.7432 | 1N-P-2N-P-3N
5     S  1N-S       150          Q4.T9.AQ96.T9862 JT962.Q86.82.KQ4 A87.A43.KJT4.AJ5 K53.KJ752.753.73 | 1N
6     S  2N-S       150          765.AJ3.A52.T976 J432.875.QJ864.Q AT9.KQT6.97.AK42 KQ8.942.KT3.J853 | 1N-P-2N
7     S  3N-S       690          QJ3.76.AT93.AK86 54.KJ954.J542.Q7 AK98.AT32.KQ6.JT T762.Q8.87.95432 | 1N-P-3N
8     S  3N-S       400          762.JT4.AJ2.KT75 KQ85.73.KQT83.63 AT9.AKQ9.65.A942 J43.8652.974.QJ8 | 1N-P-2N-P-3N
9     S  3N-S       400          T76.85.AJ4.KJ742 K94.Q97.QT85.965 A852.A63.K92.AQ3 QJ3.KJT42.763.T8 | 1N-P-2N-P-3N
10    S  2N-S       120          QT9.T3.A52.QJT92 J873.Q65.KJ96.43 A64.A874.T3.AK76 K52.KJ92.Q874.85 | 1N-P-2N
11    S  3N-S       430          872.AT5.AQ8.QT87 JT93.93.K732.J65 A65.KQJ8.964.AK3 KQ4.7642.JT5.942 | 1N-P-3N
12    S  1N-S       120          874.973.AJT9.J85 KT2.KT642.62.Q62 A63.A85.KQ83.AT9 QJ95.QJ.754.K743 | 1N
13    S  3N-S       630          QJ7.AQ4.AT87.T75 T942.7632.J2.KQ6 AK85.KJ95.54.AJ8 63.T8.KQ963.9432 | 1N-P-3N
14    S  3N-S       400          Q7.862.AJT63.Q93 K432.K54.72.JT75 A95.A93.KQ9.A642 JT86.QJT7.854.K8 | 1N-P-2N-P-3N
15    S  2N-S       150          T5.A75.AJ876.T52 KJ872.QT94.5.K97 A63.K62.KQ3.A643 Q94.J83.T942.QJ8 | 1N-P-2N
16    S  1N-S       150          72.A96.A865.T652 J865.KT72.Q93.98 AKQ9.54.KT72.AJ4 T43.QJ83.J4.KQ73 | 1N
17    S  3N-S       400          765.8.A7654.KQ62 J2.KQ72.QT83.743 A4.AT64.KJ9.AJT9 KQT983.J953.2.85 | 1N-P-2N-P-3N
18    S  3N-S       600          853.942.AJ743.A7 QT74.J3.T82.KQ53 AK9.A87.KQ5.JT92 J62.KQT65.96.864 | 1N-P-2N-P-3N
19    S  3N-S       400          873.983.A743.A83 J92.QJT2.QT82.J6 AKT5.AK76.65.K95 Q64.54.KJ9.QT742 | 1N-P-2N-P-3N
20    S  3N-S       630          53.63.A985.KQ973 KQJ8.T7.Q763.JT2 A742.AKQ9.T4.A64 T96.J8542.KJ2.85 | 1N-P-2N-P-3N
21    S  3N-S       630          KQT.T76.AK65.T64 J65.Q93.T432.873 A92.AJ42.QJ7.AJ5 8743.K85.98.KQ92 | 1N-P-3N
22    S  3N-S       400          KQ2.964.A32.T973 T8765.KJ83.87.K6 A43.AT75.KQ65.A4 J9.Q2.JT94.QJ852 | 1N-P-2N-P-3N
23    S  3N-S       660          832.T5.AK54.AQ84 JT9654.9.9732.T6 A7.AK42.QT6.KJ75 KQ.QJ8763.J8.932 | 1N-P-3N
24    S  3N-S       430          KT.QJ7.AJT98.843 954.632.Q32.KQJT AQ83.AKT5.64.A75 J762.984.K75.962 | 1N-P-3N
25    S  3N-S       430          T7.J63.A976.AKJ6 KJ98654.T7.52.85 A32.A5.KQ43.QT74 Q.KQ9842.JT8.932 | 1N-P-3N
26    S  3N-S       630          T98.87.AKQT8.KT7 Q5.KQ3.432.Q8643 AJ63.AJ54.J95.AJ K742.T962.76.952 | 1N-P-3N
27    S  2N-S       150          6.A75.A9875.JT94 QJ93.K42.J4.7632 AT84.986.KT6.AKQ K752.QJT3.Q32.85 | 1N-P-2N
28    S  3N-S       660          94.86.AK54.AQJ87 KT52.752.T9632.6 AJ63.AQ9.QJ87.K5 Q87.KJT43..T9432 | 1N-P-3N
29    S  3N-S       660          QJ8.86.AQT5.AJ53 975.JT.7632.KT64 AK43.AQ97.K94.87 T62.K5432.J8.Q92 | 1N-P-3N
30    S  3N-S       430          93.A93.AK9.QJT74 52.J8765.Q8762.8 AT86.K4.JT43.AK5 KQJ74.QT2.5.9632 | 1N-P-3N
31    S  3N-S       630          T7.KQ8.AQ864.T84 KJ852.T65.32.KQ3 A63.A3.KJ97.AJ75 Q94.J9742.T5.962 | 1N-P-3N
32    S  3N-S       400          87.976.AKQ65.764 9642.J43.32.KJ93 AK53.AT5.J987.A2 QJT.KQ82.T4.QT85 | 1N-P-3N
33    S  3N-S       -50          T93.54.AQJ7.T542 QJ542.87632.3.KJ A7.AT9.KT54.AQ98 K86.KQJ.9862.763 | 1N-P-2N-P-3N
34    S  3N-S       660          853.62.AQJ7.AQ83 976.KQT.96432.74 AJ2.AJ43.KT8.KJT KQT4.9875.5.9652 | 1N-P-3N
35    S  3N-S       400          T9.854.A983.AJT4 84.QJ9763.K5.953 AK62.AT.J74.KQ72 QJ753.K2.QT62.86 | 1N-P-2N-P-3N
36    S  3N-S       660          KT9.85.A986.AQJ7 3.QJ6.K7532.T543 AJ62.AK92.J4.K86 Q8754.T743.QT.92 | 1N-P-3N
37    S  3N-S       600          T42.JT6.A6.KJ742 QJ73.K84.QJ87.T9 A96.A73.KT95.AQ6 K85.Q952.432.853 | 1N-P-3N
38    S  2N-S       150          J75.72.AKJ95.942 KT.KQT95..QT7653 A943.AJ6.QT73.AJ Q862.843.8642.K8 | 1N-P-2N
39    S  3N-S       690          73.K52.AK4.QJ765 JT65.983.Q7632.4 A9.AQT6.T98.AKT8 KQ842.J74.J5.932 | 1N-P-3N
40    S  2S-W        50          53.J7.AK95.J9762 J6.K9632.JT8.T54 A97.AT5.743.AKQ3 KQT842.Q84.Q62.8 | 1N-2S
41    S  1N-S       120          876.954.A3.K9854 T943.Q8.KT764.QT AKQ5.AT76.95.A62 J2.KJ32.QJ82.J73 | 1N
42    S  3N-S       630          T76.AK.A543.JT87 Q9843.Q853.Q2.64 AK5.JT62.T9.AKQ5 J2.974.KJ876.932 | 1N-P-3N
43    S  3N-S       460          J2.543.A986.AKQ5 86543.K.QT72.876 AKT9.A92.KJ3.JT4 Q7.QJT876.54.932 | 1N-P-3N
44    S  3N-S       630          T.T82.AKQJ4.K874 J62.Q64.9632.JT6 AK83.A3.T875.A53 Q9754.KJ975..Q92 | 1N-P-3N
45    S  3N-S       600          64.986.A82.AJ432 JT9.K.T9643.KT65 AK87.A72.KQJ7.97 Q532.QJT543.5.Q8 | 1N-P-2N-P-3N
46    S  6D-N       920          .932.AJ987652.AT T874.KQ5.4.KJ653 AJ96.AJ6.KQT.Q97 KQ532.T874.3.842 | 1N-P-6D
47    S  3N-S       660          JT8.A82.AQJ84.Q7 653.KQ9764.92.64 AKQ9.J3.KT7.AT85 742.T5.653.KJ932 | 1N-P-3N
48    S  2N-S       150          542.85.AT843.AJ7 JT9.KQ43.965.K54 A3.AT72.KQJ.Q963 KQ876.J96.72.T82 | 1N-P-2N
49    S  3N-S       400          J4.532.AKJT2.542 876.KJT8.53.KT73 A932.AQ9.Q87.AJ9 KQT5.764.964.Q86 | 1N-P-2N-P-3N
50    S  5D-N      -100          J87.T76.AQJ75.J7 K64.53.982.KQ954 A932.A2.KT63.AT6 QT5.KQJ984.4.832 | 1N-2H-3D-P-5D
51    S  3N-S       430          T4.52.A432.KQ542 K6532.64.KJ5.T97 A9.AKQT.T986.A63 QJ87.J9873.Q7.J8 | 1N-P-2N-P-3N
52    S  3N-S       630          J74.AT.AT87.QJ65 KQ92.J8642.Q42.7 A85.K73.K65.AKT8 T63.Q95.J93.9432 | 1N-P-3N
53    S  2N-S       150          T2.T92.AJ974.A43 KQJ985.54.632.96 A3.AJ87.KQT8.Q72 764.KQ63.5.KJT85 | 1N-P-2N
54    S  3N-S       460          76.A4.AQT86.A843 JT52.986.J9432.5 AKQ4.T72.K5.KJ76 983.KQJ53.7.QT92 | 1N-P-3N
55    S  3N-S       600          KT2.742.AJT3.J93 QJ83.95.Q72.7542 A976.A86.64.AKQ6 54.KQJT3.K985.T8 | 1N-P-2N-P-3N
56    S  3N-S       400          98.Q87.AKT97.943 763.K5.53.KQ7652 AJT2.AJ64.QJ4.AT KQ54.T932.862.J8 | 1N-P-2N-P-3N
57    S  2N-S       120          J7.J84.AK942.974 KQT964.Q532.75.2 A8.AT7.QJT3.AT65 532.K96.86.KQJ83 | 1N-P-2N
58    S  3N-S       600          75.852.A42.KQ432 QT3.96.KQ9875.95 AKJ8.A43.T6.AJ76 9642.KQJT7.J3.T8 | 1N-P-3N
59    S  3N-S       400          873.652.A742.A86 KT652.T7.K9.J952 AJ.AK84.T853.KQT Q94.QJ93.QJ6.743 | 1N-P-2N-P-3N
60    S  3N-S       630          J4.A95.AT875.K85 865.8743.J32.JT7 AK72.KQJT.964.A6 QT93.62.KQ.Q9432 | 1N-P-3N
61    S  3N-S       630          J9.863.A73.AQJT5 QT5.KJT74.QJ52.4 A743.AQ5.K94.K87 K862.92.T86.9632 | 1N-P-3N
62    S  2N-S       120          T74.T8.AQJ43.984 KQ9.J62.T85.QJT5 AJ86.A97.K72.A62 532.KQ543.96.K73 | 1N-P-2N
63    S  2N-S       120          T87.7.AQJ93.J865 K2.QJT53.862.KT9 AJ95.A62.K54.A42 Q643.K984.T7.Q73 | 1N-P-2N
64    S  3N-S       430          82.KQ3.AJ5.QJ765 KT4.74.KQ9832.T4 A765.A85.T74.AK8 QJ93.JT962.6.932 | 1N-P-3N
65    S  3N-S       460          T32.KJ.A865.KQJT J74.QT3.KJ732.43 AK95.A85.Q94.A87 Q86.97642.T.9652 | 1N-P-3N
66    S  3N-S       660          T76.Q8.AQJ93.AJ8 J5.J753.T62.T754 A32.A942.K74.KQ6 KQ984.KT6.85.932 | 1N-P-3N
67    S  2N-S       120          642.J85.A9743.A4 KQ3.K76.865.QT62 AJ8.A432.KQJT.97 T975.QT9.2.KJ853 | 1N-P-2N
68    S  3N-S       600          T9.942.AT753.A62 J653.QT876.J4.Q8 A842.AK3.K9.KT94 KQ7.J5.Q862.J753 | 1N-P-2N-P-3N
69    S  3N-S       660          T3.73.AK64.KJ865 76.KJ84.JT932.73 A852.A95.Q875.AQ KQJ94.QT62..T942 | 1N-P-3N
70    S  3N-S       460          Q2.K6.A974.KJ876 JT94.T5.KQ832.T4 AK75.AQ97.T5.A53 863.J8432.J6.Q92 | 1N-P-3N
71    S  3N-S       630          K8.96.A876.QT765 J42.JT873.QJT.92 AQ95.A52.542.AK3 T763.KQ4.K93.J84 | 1N-P-2N-P-3N
72    S  3N-S       400          J6.643.AT65.A963 Q8.QJT9752.J8.54 A43.A8.K942.KQJ7 KT9752.K.Q73.T82 | 1N-P-2N-P-3N
73    S  3N-S       460          Q9.T76.A63.AK876 JT8743.KQ2.752.T A65.A953.KQJ4.Q5 K2.J84.T98.J9432 | 1N-P-3N
74    S  3N-S       600          874.74.AK962.Q97 Q952.KQJT93.7.T5 A3.A65.J854.AKJ2 KJT6.82.QT3.8643 | 1N-P-3N
75    S  3D-N       -50          T7.Q9.A8765.J865 632.KJT832.KQJ2. A54.A754.93.AKQ9 KQJ98.6.T4.T7432 | 1N-P-P-2H-P-P-3D
76    S  3N-S       600          T.J85.AT862.A743 K875.92.KQ9.Q652 A42.AKQ6.543.KJ9 QJ963.T743.J7.T8 | 1N-P-2N-P-3N
77    S  3N-S       600          75.854.AJ743.A43 KQJT4.T32.96.752 A982.A96.KQ.KJ96 63.KQJ7.T852.QT8 | 1N-P-2N-P-3N
78    S  1N-S       120          953.943.AQJ.9853 KT8.86.98432.KQJ A642.AJ5.KT65.A4 QJ7.KQT72.7.T762 | 1N
79    S  3N-S       630          KQ.T72.AT754.753 J75.KQ83.92.QJ94 A863.A9.KQ63.AT6 T942.J654.J8.K82 | 1N-P-2N-P-3N
80    S  2N-S       120          JT2.976.AKJ83.64 K9875.KT82.6.KJ9 A6.AJ5.QT74.A732 Q43.Q43.952.QT85 | 1N-P-2N
81    S  3N-S       460          543.K.AK754.A653 Q8.9832.32.JT874 A972.AJ4.QT98.KQ KJT6.QT765.J6.92 | 1N-P-3N
82    S  3N-S       660          T9.KQJ.A9854.A84 K76.975.Q732.T53 AQ85.A863.K6.K76 J432.T42.JT.QJ92 | 1N-P-3N
83    S  1N-S       150          JT.965.AQ86.J852 432.842.KJ32.Q94 AKQ5.A3.T974.AT6 9876.KQJT7.5.K73 | 1N
84    S  3N-S       600          T92.854.AJ852.A9 J8753.K76.764.KQ AK6.AJ3.KQ9.T732 Q4.QT92.T3.J8654 | 1N-P-2N-P-3N
85    S  3N-S       660          4.985.AQ65.AQJT5 953.KQ63.T8432.7 AQ87.A42.KJ97.K8 KJT62.JT7..96432 | 1N-P-3N
86    S  6D-N       920          9.8.AKT98542.T98 T762.KQT954.J.Q4 A4.A762.Q73.AK65 KQJ853.J3.6.J732 | 1N-P-6D
87    S  3N-S       660          K9.KQ2.A975.Q843 J8654.74.K8432.7 AT73.AT93.J6.AK6 Q2.J865.QT.JT952 | 1N-P-3N
88    S  1N-S       120          J76.876.A876.Q86 K9543.KQ53.JT3.2 AT.AJT9.542.AKJ9 Q82.42.KQ9.T7543 | 1N
89    S  3N-S       400          J82.J3.AT84.K743 T95.T976.KQJ.QJ6 A74.AKQ2.96.AT92 KQ63.854.7532.85 | 1N-P-2N-P-3N
90    S  2N-S       150          94.72.AT54.AJT42 T53.QJ63.KQ63.93 AQJ7.A95.87.KQ75 K862.KT84.J92.86 | 1N-P-2N
91    S  3N-S       460          J94.K63.AQJ98.T6 Q7653.87.6432.J8 A2.AQT4.K75.A754 KT8.J952.T.KQ932 | 1N-P-3N
92    S  3N-S       630          973.63.AK3.KQJ74 652.Q97.Q76542.6 AQT8.AJ52.T9.AT8 KJ4.KT84.J8.9532 | 1N-P-3N
93    S  2N-S       150          J6.AT7.AT653.543 KQT2.9865.94.KJ7 A74.Q4.KQJ2.AT92 9853.KJ32.87.Q86 | 1N-P-2N
94    S  2N-S       150          T74.73.AQ2.KT963 KJ63.KT82.9873.7 A95.AJ64.54.AQJ2 Q82.Q95.KJT6.854 | 1N-P-2N
95    S  3N-S       600          765.J98.AQ654.Q5 JT32.7654..KJ962 A98.A3.KJT3.AT74 KQ4.KQT2.9872.83 | 1N-P-3N
96    S  3N-S       490          K.854.AQ854.A864 T97.KT72.9732.J5 AQJ4.A9.KT6.KT73 86532.QJ63.J.Q92 | 1N-P-3N
97    S  3N-S       430          42.QJ5.A84.AK743 KQT73.T64.J532.T AJ6.AK92.KT9.865 985.873.Q76.QJ92 | 1N-P-3N
98    S  1N-S       150          98.A97.A865.T653 6532.T3.K7432.KJ AJT.KQJ5.QT9.A98 KQ74.8642.J.Q742 | 1N
99    S  3N-S       400          632.T84.A52.KQ74 J98.Q75.KQT984.9 AKQ4.A962.73.A63 T75.KJ3.J6.JT852 | 1N-P-2N-P-3N
100   S  3N-S      -100          853.T.AT72.AJT97 KJ7.97.KQ986.432 A9.AJ43.J543.KQ5 QT642.KQ8652..86 | 1N-P-3N
101   S  3N-S       600          62.654.AJ654.K98 Q8543.Q.KT832.J6 AKT7.AT32.97.AQT J9.KJ987.Q.75432 | 1N-P-2N-P-3N
102   S  1N-S       210          2.T6.AQJT8654.Q6 KQ764.532..K7543 A853.A974.K32.A9 JT9.KQJ8.97.JT82 | 1N
103   S  3N-S       600          92.T73.AQT.K6432 Q84.QJ52.954.QJ9 AT6.A964.KJ82.A7 KJ753.K8.763.T85 | 1N-P-3N
104   S  3N-S       400          85.JT5.A95.KT842 KT762.Q987.J732. A93.A64.KQT4.A96 QJ4.K32.86.QJ753 | 1N-P-3N
105   S  3N-S       400          754.K82.AT92.JT6 2.T965.874.KQ954 AK93.AQ43.63.A82 QJT86.J7.KQJ5.73 | 1N-P-2N-P-3N
106   S  3N-S       660          98.J85.AJ5.AKT75 KQ2.643.8432.643 AT4.AKT2.KT7.QJ8 J7653.Q97.Q96.92 | 1N-P-3N
107   S  3N-S       400          432.T6.A6543.A92 KT.Q874.JT82.Q64 A765.AK32.KQ9.J8 QJ98.J95.7.KT753 | 1N-P-2N-P-3N
108   S  3N-S       600          9.Q75.AT43.QJT97 KJ542.K632.Q65.3 AQ.AT84.872.AK42 T8763.J9.KJ9.865 | 1N-P-3N
109   S  3N-S       660          K93.765.AJ743.AQ J874.K983.982.T7 AQT5.AQ2.KQT.865 62.JT4.65.KJ9432 | 1N-P-3N
110   S  3N-S       460          82.T9.AK864.Q952 KQJ7643.K.T7.T74 AT5.A843.Q53.AK6 9.QJ7652.J92.J83 | 1N-P-2N-P-3N
111   S  3N-S       660          92.63.A874.AKJ75 T853.Q9752.952.T AJ6.AJT4.KQ6.Q86 KQ74.K8.JT3.9432 | 1N-P-3N
112   S  3N-S       520          T9.A.AT975432.96 QJ5.8753.K.QT854 A832.KQJ2.QJ8.A2 K764.T964.6.KJ73 | 1N-P-2N-P-3N
113   S  3N-S       460          T2.A72.A9765.KQ6 QJ73.J95.J842.T8 AK64.K43.QT.AJ75 985.QT86.K3.9432 | 1N-P-3N
114   S  2N-S       150          75.43.AJ852.A754 JT3.JT6.T74.KQT3 A842.AK82.KQ9.96 KQ96.Q975.63.J82 | 1N-P-2N
115   S  3N-S       430          94.A76.AQJ74.JT7 QT52.95432.962.8 AK3.QJ8.KT83.A54 J876.KT.5.KQ9632 | 1N-2C-3N
116   S  3N-S       600          982.KT.AQ2.T9653 54.J9874.J876.QJ A73.AQ6.K93.A742 KQJT6.532.T54.K8 | 1N-P-3N
117   S  3N-S       600          96.93.AJT2.AT975 KJ542.J7652..Q64 A873.A84.KQ43.KJ QT.KQT.98765.832 | 1N-P-2N-P-3N
118   S  3N-S       430          T8.K86.AJ54.KJ64 QJ42.95.932.T853 A763.A74.KT8.AQ7 K95.QJT32.Q76.92 | 1N-P-3N
119   S  3N-S       600          94.64.A8543.KQ74 T853.JT95.KQ6.52 AK.A873.JT7.AJ93 QJ762.KQ2.92.T86 | 1N-P-2N-P-3N
