../bba/Responsive_Double_after_Overcall.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     W  3D-N                    T2.Q54.AQJ94.QJ8 K54.T962.K653.53 J93.AK83.T8.KT96 AQ876.J7.72.A742 | 1S-2D-2S-X-P-3C-P-3D
2     W  1S-N                    KJ652.K73.T.A432 43.T96.K876.QJT9 A9.QJ54.542.K865 QT87.A82.AQJ93.7 | 1D-1S
3     W  1S-N                    AKQ62.73.63.J732 43.865.AQT7.9864 T9.AQJ4.854.AQT5 J875.KT92.KJ92.K | 1D-1S
4     W  2N-N                    K3.KT964.A98.J84 J75.72.KJ74.Q973 AT64.83.T65.AKT2 Q982.AQJ5.Q32.65 | P-1H-P-1S-P-1N-P-2N
5     W  3H-W                    JT9.2.AJT74.AT75 872.AQ8.852.J432 KQ64.T953.9.KQ96 A53.KJ764.KQ63.8 | 1H-X-2H-P-P-X-P-2S-3H
6     W  2HX-W                   KT62.9.Q75.KJT95 J3.Q75.K642.6432 A754.T432.AT83.A Q98.AKJ86.J9.Q87 | 1H-P-2H-P-P-X
7     W  2D-N                    Q6.KJT75.Q543.QT 732.984.KT8.A863 A954.Q.AJ96.9742 KJT8.A632.72.KJ5 | 1C-1H-2C-X-P-2D
8     W  2S-N                    A8732.63.AQ85.T2 T96.A52.T942.QJ8 J4.KT9.KJ76.K954 KQ5.QJ874.3.A763 | 1H-1S-2H-X-P-2S
9     W  2S-W                    J4.QT.J953.AQJ32 KQ6.87632.Q86.54 975.AKJ5.K742.T9 AT832.94.AT.K876 | 1S-P-2S
10    W  3H-W                    A8652.J.853.AK32 943.K42.AJT9.T97 QJ.T63.K764.QJ84 KT7.AQ9875.Q2.65 | 1H-1S-2H-P-P-X-P-2S-P-P-3H
11    W  2S-N                    A9764.96.A63.Q74 QT8.KJ4.JT5.J532 J2.T83.K874.AK98 K53.AQ752.Q92.T6 | 1H-1S-2H-X-P-2S
12    W  4HX-W                   AKQ93.6.7432.Q85 J86542.K42.QJ5.9 T7.875.AKT8.K643 .AQJT93.96.AJT72 | 1H-1S-2H-X-P-3D-P-P-3H-4D-P-P-4H-X
13    W  3H-W                    AK754.75.A84.J64 QJT6.A43.J963.73 92.862.KQT5.AT52 83.KQJT9.72.KQ98 | 1H-1S-2H-P-P-X-P-2S-P-P-3H
14    W  1S-N                    KJ532.Q6.J74.A94 64.752.KT82.KT85 Q9.AK93.963.QJ72 AT87.JT84.AQ5.63 | 1D-1S
15    W  2H-N                    KQ854.J96.A73.32 J72.Q43.952.AT86 T.AT85.K864.KJ75 A963.K72.QJT.Q94 | 1C-1S-2C-X-P-2H
16    W  3D-N                    T652.Q2.AKQ93.T2 43.A93.J764.Q863 QJ97.JT5.85.AJ95 AK8.K8764.T2.K74 | 1H-P-2H-P-P-3D
