..\bba\Runout_after_1N_X.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2H-E      -140          9874.62.Q9642.96 T32.T9874.87.T32 AQJ6.Q3.K53.KQ75 K5.AKJ5.AJT.AJ84 | 1N-X=1=-P-2H | Cappelletti, strong
2     S  2S-E      -140          543.JT2.J8532.QJ JT972.94.Q964.85 K6.Q853.K7.AK763 AQ8.AK76.AT.T942 | 1N-X=1=-P-2S | Cappelletti, strong
3     S  4S-E      -650          T6.96.QJ9753.874 KJ8432.JT82..962 Q5.A73.AT86.KQ53 A97.KQ54.K42.AJT | 1N-X=1=-3C=2=-4S | Cappelletti, strong | 1N-3C transfer to diamonds
4     S  3D-E      -110          832.Q7.94.Q97543 654.9654.QT875.8 AJT.AJT8.J32.AJ6 KQ97.K32.AK6.KT2 | 1N-X=1=-2S=2=-P-3C=3=-X-P-3D | Cappelletti, strong | 1N-2S transfer to clubs | Automat
5     S  2S-E      -110          T85.KJ8.T7652.T7 6432.963.J8.9865 AQ7.QT.K93.KJ432 KJ9.A7542.AQ4.AQ | 1N-X=1=-P-2S | Cappelletti, strong
6     S  2S-E      -140          2.JT9.J965.T8432 KQT764.63.T7.J96 53.A754.AQ83.AQ7 AJ98.KQ82.K42.K5 | 1N-X=1=-P-2S | Cappelletti, strong
7     S  1NX-S      180          J865.653.Q.QT432 943.9842.9732.A8 AT2.KQJ7.A65.J95 KQ7.AT.KJT84.K76 | 1N-X=1= | Cappelletti, strong
8     S  4H-E      -420          97653.5.T7642.87 K8.KQ8632.98.J54 QT4.AJT4.AKJ.632 AJ2.97.Q53.AKQT9 | 1N-X=1=-2H-4H | Cappelletti, strong
9     S  2D-S       -50          J75.32.986.QT854 T986.K9.T42.J932 A42.T765.AKQ7.K6 KQ3.AQJ84.J53.A7 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D | Cappelletti, strong | SOS | Artificial
10    S  3C-S       130          T874.A2.4.JT9872 J65.QJT73.T832.3 AQ9.654.AJ76.A64 K32.K98.KQ95.KQ5 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
11    S  4H-E        50          AT954.8.98752.73 8.JT9653.QJ6.842 QJ32.AQ7.K43.KJ6 K76.K42.AT.AQT95 | 1N-X=1=-2H-4H | Cappelletti, strong
12    S  2S-E      -170          4.T732.98764.J42 KQT765.6.J52.T65 AJ93.Q854.AK.K93 82.AKJ9.QT3.AQ87 | 1N-X=1=-P-2S | Cappelletti, strong
13    S  2S-S      -100          6543.9.Q73.98632 72.K87652.K64.T7 KQJT9.JT3.AJ5.QJ A8.AQ4.T982.AK54 | 1N-X=1=-P-P-2S | Cappelletti, strong
14    S  2H-E       100          965.T2.K9654.T65 T4.A9753.73.9832 AK82.KJ64.AJ2.74 QJ73.Q8.QT8.AKQJ | 1N-X=1=-P-2H | Cappelletti, strong
15    S  2S-E      -110          T9.984.965.JT982 7432.K76.JT32.63 KJ6.AT52.A8.KQ75 AQ85.QJ3.KQ74.A4 | 1N-X=1=-P-2S | Cappelletti, strong
16    S  2D-N        90          962.JT4.A9643.95 8743.K73.8.T7432 AKT.A985.T75.KJ6 QJ5.Q62.KQJ2.AQ8 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
17    S  3C-N       -50          QT43.87.J7.Q6532 762.54.Q9654.J97 AJ8.KJ62.A82.KT4 K95.AQT93.KT3.A8 | 1N-X=1=-P-2D-P-P-3C | Cappelletti, strong
18    S  2C-S      -100          9432.43.Q8653.T2 T5.K762.K94.7654 K76.QJ5.T2.AKQJ9 AQJ8.AT98.AJ7.83 | 1N-X=1=-P-P-2C | Cappelletti, strong
19    S  3D-S       130          62.8.KJT983.T932 Q874.QJT7653.5.7 KT9.42.A742.AKJ5 AJ53.AK9.Q6.Q864 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
20    S  3CX-S     -200          8.T9.Q632.T98643 JT976.8763.AJ8.7 K52.AQJ.9754.KQ2 AQ43.K542.KT.AJ5 | 1N-X=1=-2S=2=-P-3C=3=-P-P-X | Cappelletti, strong | 1N-2S transfer to clubs | Automat
21    S  2S-E       100          T3.QJ5.JT762.J93 8764.K86.95.T764 AJ952.AT4.Q3.KQ2 KQ.9732.AK84.A85 | 1N-X=1=-P-2S | Cappelletti, strong
22    S  3C-S       110          97.6.8652.JT8763 Q63.JT873.JT4.Q5 K8542.Q95.A3.AK4 AJT.AK42.KQ97.92 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
23    S  2H-E      -110          AT63.542.2.J9653 942.QT986.754.T4 KQ8.K73.KT963.KQ J75.AJ.AQJ8.A872 | 1N-X=1=-P-2H | Cappelletti, strong
24    S  3D-S       -50          5.965.JT8742.J52 JT932.Q872.53.Q3 874.AKJ.AK9.T764 AKQ6.T43.Q6.AK98 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
25    S  2S-E      -110          8.Q943.962.T7532 QJ942.T7.854.J64 KT65.AK85.Q3.KQ9 A73.J62.AKJT7.A8 | 1N-X=1=-P-2S | Cappelletti, strong
26    S  2S-S       110          98652.62.3.K8643 T3.KJT53.QT87.T5 AQ7.A84.K9654.Q2 KJ4.Q97.AJ2.AJ97 | 1N-X=1=-2H-X-2S | Cappelletti, strong
27    S  3D-N       -50          92.984.K9842.Q98 J854.T7.J.JT7652 AT73.KJ32.A65.K4 KQ6.AQ65.QT73.A3 | 1N-X=1=-P-2C-P-P-2D-3C-3D | Cappelletti, strong
28    S  2S-E      -140          T9.T987.J7.KT432 Q8532.Q3.T982.86 AJ4.K2.A6543.QJ7 K76.AJ654.KQ.A95 | 1N-X=1=-P-2S | Cappelletti, strong
29    S  3C-S      -100          T92.J6.T8.QJ8642 753.T952.97432.T AKJ84.Q83.AQ6.97 Q6.AK74.KJ5.AK53 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
30    S  4C-E      -130          J852.84.T96542.7 T763.K3.J.Q86542 K9.AT972.873.AKJ AQ4.QJ65.AKQ.T93 | 1N-X=1=-3C=2=-4C | Cappelletti, strong | 1N-3C transfer to diamonds
31    S  1NX-S     -200          75.32.QT42.T8764 T86.J976.J83.K93 J93.AT54.AK7.QJ5 AKQ42.KQ8.965.A2 | 1N-X=1= | Cappelletti, strong
32    S  1NXX-S    -200          97.982.Q92.KT842 JT84.J74.J84.J93 62.KQ65.AT73.AQ5 AKQ53.AT3.K65.76 | 1N-X=1=-P-P-XX=2= | Cappelletti, strong | SOS
33    S  2HX-E      100          8543.3.QT764.Q73 T97.T9754.83.985 AQ2.KJ862.92.AJ6 KJ6.AQ.AKJ5.KT42 | 1N-X=1=-P-2H-P-P-X | Cappelletti, strong
34    S  3S-E        50          Q.7543.87543.753 97543.T86.KT2.QJ KJ86.92.AJ9.AK86 AT2.AKQJ.Q6.T942 | 1N-X=1=-P-P-XX=2=-P-2D-2S-P-3D=3=-P-3S | Cappelletti, strong | SOS | Limit raise or better in !S
35    S  3D-N       110          KJ3.32.JT632.964 8654.QT865.7.T87 AQ2.974.AQ8.KQ32 T97.AKJ.K954.AJ5 | 1N-X=1=-P-2H-P-P-3D | Cappelletti, strong
36    S  2C-E      -130          865.54.T8763.T42 9732.Q2.52.J9863 KT4.KJT97.J94.AK AQJ.A863.AKQ.Q75 | 1N-X=1=-P-2C | Cappelletti, strong
37    S  1NX-S      380          873.43.A9654.T95 J642.975.T32.Q32 AK9.AT86.KQ8.864 QT5.KQJ2.J7.AKJ7 | 1N-X=1= | Cappelletti, strong
38    S  3C-N       110          9.932.8542.AJ874 T8642.J75.Q63.93 KQJ53.AK6.J7.QT5 A7.QT84.AKT9.K62 | 1N-X=1=-P-2S-P-P-3C | Cappelletti, strong
39    S  2S-E       100          T9.T3.T643.KJT72 8642.976.J8.Q963 KQ75.AQ84.A52.54 AJ3.KJ52.KQ97.A8 | 1N-X=1=-P-2S | Cappelletti, strong
40    S  3H-E      -170          J8653..832.JT764 QT4.T9632.QJ96.3 A92.K875.KT5.AK8 K7.AQJ4.A74.Q952 | 1N-X=1=-2H-P-2S-P-P-3H | Cappelletti, strong
41    S  3C-S       110          Q2.842.T5.KT9543 J8763.T9.98643.Q KT4.A53.AQJ2.J86 A95.KQJ76.K7.A72 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
42    S  2D-E      -110          9874.74.64.JT974 J3.T653.KJT875.3 AK52.AJ9.A32.852 QT6.KQ82.Q9.AKQ6 | 1N-X=1=-P-2D | Cappelletti, strong
43    S  3D-N       110          T3.K43.87432.Q82 Q7542.T97.6.JT43 AK9.J86.AJT9.K75 J86.AQ52.KQ5.A96 | 1N-X=1=-P-2S-P-P-3D | Cappelletti, strong
44    S  2S-E      -170          43.T93.J9762.T63 KT862.62.K43.985 A5.AJ84.T8.KQJ42 QJ97.KQ75.AQ5.A7 | 1N-X=1=-P-P-2C-X-P-2S | Cappelletti, strong
45    S  2H-S      -100          3.T9862.53.Q9853 J872.K53.764.T64 AT54.AQ.AQ98.J72 KQ96.J74.KJT2.AK | 1N-X=1=-2D-P-2H | Cappelletti, strong
46    S  3DX-S      470          95.95.J76543.J86 KQT86.6432.T.QT4 J42.AQJT8.982.AK A73.K7.AKQ.97532 | 1N-X=1=-3C=2=-P-3D=3=-P-P-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
47    S  2S-E      -110          KT4.T94.97642.T2 J97532.A5.85.985 Q8.Q76.AJT.AK764 A6.KJ832.KQ3.QJ3 | 1N-X=1=-P-2S | Cappelletti, strong
48    S  2H-E       100          QJ2.864.JT842.73 843.T952.53.T864 KT96.QJ3.AKQ6.J5 A75.AK7.97.AKQ92 | 1N-X=1=-P-2H | Cappelletti, strong
49    S  2S-E      -170          5.532.J962.QT843 QJ9876.9.T543.65 AKT4.KT74.Q8.KJ2 32.AQJ86.AK7.A97 | 1N-X=1=-P-2S | Cappelletti, strong
50    S  2S-E        50          QJ8.8432.8.QT972 T764.JT7.T952.K6 A93.K6.AQJ74.J84 K52.AQ95.K63.A53 | 1N-X=1=-P-2S | Cappelletti, strong
51    S  2HX-E     -870          J753..85432.QT75 62.986543.K9.642 AKT4.QJT.QT6.AJ9 Q98.AK72.AJ7.K83 | 1N-X=1=-P-2H-P-P-X | Cappelletti, strong
52    S  2C-S        90          954.8.QT653.J932 Q732.JT64.J94.64 K86.A97.87.AKQ85 AJT.KQ532.AK2.T7 | 1N-X=1=-P-P-2C | Cappelletti, strong
53    S  3S-S       170          AT653.3.3.JT9873 982.JT85.J742.Q4 KQJ.KQ972.A65.65 74.A64.KQT98.AK2 | 1N-X=1=-2H-P-2S-P-3C-P-3S | Cappelletti, strong
54    S  5C-E       100          T64.Q9742.T9642. 875..Q7.QT765432 J2.KT863.A85.AK9 AKQ93.AJ5.KJ3.J8 | 1N-X=1=-2D-5C | Cappelletti, strong
55    S  3D-E       100          AJ7.964.8.T87532 T32.832.JT632.J6 9864.Q75.AQ95.AK KQ5.AKJT.K74.Q94 | 1N-X=1=-2S=2=-P-3C=3=-X-P-3D | Cappelletti, strong | 1N-2S transfer to clubs | Automat
56    S  2D-N        90          JT7.543.Q8654.72 843.J97.972.JT84 K962.KQ.AJT.K953 AQ5.AT862.K3.AQ6 | 1N-X=1=-P-P-XX=2=-P-2D | Cappelletti, strong | SOS
57    S  4C-S       150          9.842.2.K9876543 T8652.976.Q653.2 J74.AQ53.AKJ4.QT AKQ3.KJT.T987.AJ | 1N-X=1=-2S=2=-P-3C=3=-X-P-3S-P-P-4C | Cappelletti, strong | 1N-2S transfer to clubs | Automat
58    S  3S-S       170          98542.7.KQT9872. J3.8532.5.T98753 A76.J94.AJ6.AK64 KQT.AKQT6.43.QJ2 | 1N-X=1=-2H-P-2S-P-3D-P-3S | Cappelletti, strong
59    S  3S-E      -170          .T842.9763.KT762 QJ9764.93.J42.J9 K5.AK765.KT5.Q83 AT832.QJ.AQ8.A54 | 1N-X=1=-P-2S-P-P-X-P-3H-P-P-3S | Cappelletti, strong
60    S  2DX-S     -500          86.T953.72.T9653 J752.Q2.KT98.J42 AK4.J76.AJ654.Q7 QT93.AK84.Q3.AK8 | 1N-X=1=-P-P-2D-P-P-X | Cappelletti, strong
61    S  2H-E      -140          8543.QJ.T8.86432 J976.A9432.6.J97 AK2.T85.KQ532.K5 QT.K76.AJ974.AQT | 1N-X=1=-P-P-2D-P-P-2H | Cappelletti, strong
62    S  2D-E      -130          T6.543.976.Q9876 A754.72.JT543.42 KQ98.K986.K8.KJ5 J32.AQJT.AQ2.AT3 | 1N-X=1=-P-2D | Cappelletti, strong
63    S  2S-E      -140          T96.7.8764.T9762 QJ5432.654.QJ.J5 K8.AJ92.AK32.843 A7.KQT83.T95.AKQ | 1N-X=1=-P-P-XX=2=-P-2C=3=-2S | Cappelletti, strong | SOS | Artificial
64    S  3N-E       200          9542.864.9.98764 T876.QT.QT654.KT AJ3.AJ95.J732.AJ KQ.K732.AK8.Q532 | 1N-X=1=-P-2N-P-3N | Cappelletti, strong
65    S  4H-W      -420          T64.6.9742.T8632 K73.QJ9.Q863.975 Q985.AT42.AJ5.KJ AJ2.K8753.KT.AQ4 | 1N-X=1=-P-P-XX=2=-P-2C=3=-2N-P-3H-P-4H | Cappelletti, strong | SOS | Artificial
