../bba/Scrambling_2NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     W  2H-W                    7632.K85.Q985.62 98.964.AJ63.K874 KQT5.32.KT42.AQT AJ4.AQJT7.7.J953 | 1H-P-2H
2     W  2S-W                    QJ4.A7.J5432.T73 9732.T9643.8.AQ4 A.KJ85.AQT6.8652 KT865.Q2.K97.KJ9 | 1S-P-2S
3     W  2H-W                    J93.65.Q7542.KJ5 Q862.AT43.8.9864 KT54.KJ.A93.A732 A7.Q9872.KJT6.QT | 1H-P-2H
4     W  2S-W                    T64.9876.A5.J982 J53.KT5.KQ972.T6 Q.AQ42.T864.KQ53 AK9872.J3.J3.A74 | 1S-P-2S
5     W  2S-W                    JT52.T63.654.Q73 A93.4.KJ82.JT964 8.AJ87.AQ93.K852 KQ764.KQ952.T7.A | 1S-P-2S
6     W  4S-W                    95.98642.93.KQ63 KT63.J7.KT84.752 4.AK53.Q765.AJ94 AQJ872.QT.AJ2.T8 | 1S-P-2S-P-3S-P-4S
7     W  3S-W                    QT64.T63.J9854.5 J87.984.AQ.J7642 A.AQJ5.KT62.QT83 K9532.K72.73.AK9 | 1S-P-2S-X-P-3D-3S
8     W  2H-W                    JT5.963.Q873.T87 K732.752.AT62.J9 A864.Q4.J94.AKQ3 Q9.AKJT8.K5.6542 | 1H-P-2H
9     W  2H-W                    AT7.K52.Q7643.T5 J83.JT63.5.KJ632 Q542.7.AJT9.AQ98 K96.AQ984.K82.74 | 1H-P-2H
10    W  2H-W                    7532.Q54.KQ7.984 JT4.A87.J92.Q753 A986.3.A643.AJT6 KQ.KJT962.T85.K2 | 1H-P-2H
11    W  3H-W                    J2.982.T952.AJ43 K95.K754.J4.9875 AQT4.T.AK83.QT62 8763.AQJ63.Q76.K | 1H-P-2H-X-P-3C-3H
12    W  2SX-W                   T932.QT9.T96.K54 K875.752.J32.Q72 .A863.AKQ87.A983 AQJ64.KJ4.54.JT6 | 1S-P-2S-X
13    W  2S-W                    J97.QJ943.A9.T63 K643.865.76.K852 8.AT72.QJ32.AQ94 AQT52.K.KT854.J7 | 1S-P-2S
14    W  2S-W                    85.QT.987543.T64 9764.J96.QT.A732 Q2.K832.AKJ.KQ85 AKJT3.A754.62.J9 | 1S-P-2S
15    W  2S-W                    T954.432.9.AT752 732.AT75.Q654.K9 A.KQJ9.JT73.QJ84 KQJ86.86.AK82.63 | 1S-P-2S
16    W  2H-W                    9873.T7.Q654.KT2 654.KQ62.873.J86 AJT2.83.AJ2.AQ53 KQ.AJ954.KT9.974 | 1H-P-2H
17    W  2S-W                    432.JT752.AQ75.5 Q865.984.83.A982 9.AK63.K964.KT64 AKJT7.Q.JT2.QJ73 | 1S-P-2S
18    W  4S-W                    6.T63.T8764.KT65 T52.A82.K93.Q742 K9.QJ97.A52.AJ98 AQJ8743.K54.QJ.3 | 1S-P-2S-P-3S-P-4S
19    W  4S-W                    72.T97.53.KQ7432 AT95.Q853.J96.T8 J4.AK42.Q87.A965 KQ863.J6.AKT42.J | 1S-P-2S-P-4S
20    W  2S-W                    64.T6.9862.KQ754 AJT8.J754.J54.T9 Q5.AQ92.KT73.A86 K9732.K83.AQ.J32 | 1S-P-2S
21    W  2H-W                    A653.T85.9.T8654 QJ9.Q764.JT53.97 KT72.K.KQ82.AQ32 84.AJ932.A764.KJ | 1H-P-2H
22    W  2S-W                    T84.854.QJ85.863 Q92.KQJ2.9.JT754 J5.AT73.AT73.AQ9 AK763.96.K642.K2 | 1S-P-2S
23    W  4H-W                    T953.4.AT7432.QJ KJ2.9875.QJ.8432 A764.3.K865.AKT5 Q8.AKQJT62.9.976 | 1H-P-2H-P-4H
24    W  2S-W                    A5.J654.954.6432 J982.QT.T862.KJ9 K6.A987.QJ7.AT75 QT743.K32.AK3.Q8 | 1S-P-2S
25    W  2H-W                    93.J32.8763.J985 854.AQT.QT2.7432 KJT6.87.AK95.KQ6 AQ72.K9654.J4.AT | 1H-P-2H
26    W  4H-W                    T652.T543.QT83.T KQJ8.972.J.Q9753 A974.6.K962.AKJ8 3.AKQJ8.A754.642 | 1H-P-2H-P-4H
27    W  2S-W                    J932..JT982.Q874 K76.QJ7654.3.K92 8.AK93.Q764.AJT6 AQT54.T82.AK5.53 | 1S-P-2S
28    W  2S-W                    543.986.QJT9865. Q92.QT53.3.AJ652 J8.K742.AK72.K43 AKT76.AJ.4.QT987 | 1S-P-2S
29    W  2H-W                    AJT54.Q97.932.95 2.T863.J4.KQ8642 K963.5.AK65.AJT3 Q87.AKJ42.QT87.7 | 1H-P-2H
30    W  2S-W                    K95.J9765.K43.98 J843.Q.A8652.642 A.KT82.JT97.KQJ5 QT762.A43.Q.AT73 | 1S-P-2S
31    W  2H-W                    K8763.J52.Q3.T82 Q4.K873.94.J9543 AJT9.6.KJT8.KQ76 52.AQT94.A7652.A | 1H-P-2H
32    W  3H-W                    3.T986.JT2.T7652 QT92.Q52.965.KQ3 KJ87.3.AKQ3.AJ98 A654.AKJ74.874.4 | 1H-P-2H-X-P-3C-P-P-3H
33    W  3S-W                    T3.86543.97.8532 KQ9.T7.K8532.764 54.AQJ9.AJT.AQT9 AJ8762.K2.Q64.KJ | 1S-P-2S-X-P-3H-3S
34    W  4H-W                    A954.9.8762.9843 8763.KJ7.A94.765 KJT2.A8.Q53.KQJ2 Q.QT65432.KJT.AT | 1H-P-2H-P-4H
35    W  2H-W                    9832.62.865.A942 4.Q984.JT2.QJT76 KQJ7.JT.AQ43.K53 AT65.AK753.K97.8 | 1H-P-2H
36    W  4H-W                    762.8.KQ6542.T76 8.AJT.T97.QJ9432 KQJ3.76.AJ83.A85 AT954.KQ95432..K | 1H-P-2H-P-4D=1=-P-4H | Splinter
37    W  2H-W                    QT63.96.QT93.T92 742.KT85.KJ654.7 KJ85.A7.A87.K864 A9.QJ432.2.AQJ53 | 1H-P-2H
38    W  4H-W                    Q9432.7.AT732.62 K865.QT65.98.J84 AJT7.K9.KJ64.A53 .AJ8432.Q5.KQT97 | 1H-P-2H-P-4H
39    W  2S-W                    864.K87.Q8543.73 J95.T32.J6.AQT86 AK.J964.AT9.K542 QT732.AQ5.K72.J9 | 1S-P-2S
40    W  2S-W                    JT.T875.T984.K63 A72.K962.Q63.852 96.AJ43.A75.AJT7 KQ8543.Q.KJ2.Q94 | 1S-P-2S
41    W  2H-W                    Q75.T62.864.Q754 KJ94.985.753.KJ9 A863.J3.KQ2.A632 T2.AKQ74.AJT9.T8 | 1H-P-2H
