../bba/Slam_After_Major_Fit.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  6H-S                    KT2.AQJ7.KT32.43 J53.9.976.KJT876 AQ8.T8652.AQ54.A 9764.K43.J8.Q952 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6D=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !D king
2     S  7H-S                    A76.K87.QJ72.A64 KT3.Q3.T854.T987 QJ.AJT9642.A.KQ5 98542.5.K963.J32 | 1H-P-3N-P-4C-P-4H-P-4N-P-5C=1=-P-5N=2=-P-6C=3=-P-7H | A=0/5 or 3/5 | King ask by 5NT | K=0
3     S  6H-S                    AQT.AT73.J96.AK4 9762.K6.832.Q653 KJ.QJ984.AK54.92 8543.52.QT7.JT87 | 1H-P-2N=1=-P-3N-P-4C-P-4H-P-4N-P-5D=2=-P-5S-P-6D=3=-P-6H | Jacoby 2NT | A=1/5 or 4/5 | !H queen and !D king
4     S  6S-S                    KQ6.AK852.A96.J3 42.J96.J8.KQ7542 AJT95.Q3.KT5.AT8 873.T74.Q7432.96 | 1S-P-2H-P-2N-P-3S-P-3N-P-4D-P-4H-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
5     S  6S-S                    KJT87.J732.Q7.KQ 4.QT8.K8.J987532 AQ9652.A4.A652.A 3.K965.JT943.T64 | 1S-P-2N=1=-P-3C=2=-P-4S-P-4N-P-5D=3=-P-6S | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5
6     S  6S-S                    KQ62.A86.Q4.J965 J9.97532.J963.Q7 AT843.KJ4.A8.AK2 75.QT.KT752.T843 | 1S-P-2N=1=-P-3S-P-4H-P-4N-P-5S=2=-P-5N=3=-P-6C=4=-P-6S | Jacoby 2NT | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=0
7     S  6S-S                    AK5.632.A86.A953 42.QJ7.JT74.KT72 QJT86.KT9.KQ5.QJ 973.A854.932.864 | 1S-P-2C-P-2N-P-3S-P-3N-P-4C-P-4D-P-4N-P-5C=1=-P-6S | A=0/5 or 3/5
8     S  4S-S                    KJ62.AK72.AQJ.T3 T5.Q964.42.J9865 AQ973.53.963.AK4 84.JT8.KT875.Q72 | 1S-P-2N=1=-P-4S | Jacoby 2NT
9     S  6H-S                    J.AK5.AQJ6.JT543 A752.J43.K832.98 QT3.QT762.97.AKQ K9864.98.T54.762 | 1H-P-2C-P-2N-P-3H-P-4C-P-4D-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
10    S  6S-S                    KJ8.K83.AQJ7.A82 42.JT752.96.QJ54 AQT73.A.K43.K973 965.Q964.T852.T6 | 1S-P-2D-P-2N-P-3S-P-4N-P-5C=1=-P-5N=2=-P-6D=3=-P-6S | A=0/5 or 3/5 | King ask by 5NT | K=1
11    S  4S-S                    J753.T62.K94.AQ7 9.J8.AT83.KJ8654 AKQ86.AK94.QJ.T9 T42.Q753.7652.32 | 1S-P-3S-P-3N-P-4S
12    S  4S-S                    KJ5.Q76.KQ9.J982 T97.T543.JT865.5 Q8643.A2.A3.AK74 A2.KJ98.742.QT63 | 1S-P-1N=1=-P-3C-P-3S-P-4C-P-4D-P-4S | Forcing 1NT
13    S  6S-S                    AK5.AQ93.J5.KQ96 97.J84.T873.A542 QJT43.KT5.AK9.73 862.762.Q642.JT8 | 1S-P-2C-P-2N-P-3S-P-4D-P-4H-P-4S-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
14    S  6S-S                    AJ983.2.KJ98.K62 6.K6543.A63.9853 KQ742.AJ.Q2.AQJ7 T5.QT987.T754.T4 | 1S-P-4H=1=-P-4N-P-5D=2=-P-6S | Splinter | A=1/5 or 4/5
15    S  4H-S                    AKJ6.KQT.97.K873 QT42.8.J8632.QT4 97.A7654.KQ5.A92 853.J932.AT4.J65 | 1H-P-1S-P-1N-P-4H
16    S  6S-S                    QT8.T82.A85.AQ86 764.KQ64.63.J973 AKJ532.A9.KQ97.5 9.J753.JT42.KT42 | 1S-P-1N=1=-P-3S-P-4N-P-5C=2=-P-6S | Forcing 1NT | A=0/5 or 3/5
17    S  6S-S                    T642.AQJ3.AK93.K 95.T952.5.J98764 AQJ87.76.Q876.A5 K3.K84.JT42.QT32 | 1S-P-2N=1=-P-4S-P-4N-P-5S=2=-P-6S | Jacoby 2NT | A=2/5 or 5/5, Q(S)=1
18    S  6H-S                    A3.754.AK85.JT32 QT986.96.9763.76 K74.KQJT3.QJ.AK9 J52.A82.T42.Q854 | 1H-P-1N=1=-P-3N-P-6H | Forcing 1NT
19    S  4S-S                    AKQ.2.JT97.AJT87 92.K984.863.6532 J8754.AJT3.KQ.K4 T63.Q765.A542.Q9 | 1S-P-2C-P-2H-P-3S-P-4S
20    S  6C-S                    QJ5.K873.A93.KQ4 K97.642.J842.T53 AT862.AQ.K7.AJ98 43.JT95.QT65.762 | 1S-P-3N-P-4C-P-4D-P-4N-P-5D=1=-P-6C | A=1/5 or 4/5
21    S  4H-S                    A83.KQ3.QJ5.A875 KQ97.42.T9642.62 T2.AJ876.A87.KJT J654.T95.K3.Q943 | 1H-P-2C-P-2N-P-3H-P-4C-P-4D-P-4H
22    S  6H-S                    AJ2.Q874.KQ53.84 K7643.J32.86.KQ2 Q9.AKT95.AT.AJ93 T85.6.J9742.T765 | 1H-P-2N=1=-P-3H-P-3S-P-4C-P-4N-P-5D=2=-P-6H | Jacoby 2NT | A=1/5 or 4/5
23    S  6S-S                    QJ7.AJ7.AJ4.T643 983.T92.KT65.K52 AK654.KQ3.72.AQ7 T2.8654.Q983.J98 | 1S-P-3N-P-4C-P-4D-P-4N-P-5S=1=-P-5N=2=-P-6C=3=-P-6S | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=0
24    S  3N-S                    Q95.876.A.AKQ876 JT3.2.Q98764.JT2 AK4.AQJ43.K2.953 8762.KT95.JT53.4 | 1N-P-3N
25    S  6H-S                    AKJ6.Q97.Q87.AJ6 QT8743.2.T432.T7 .AJT64.AKJ6.Q953 952.K853.95.K842 | 1H-P-2C-P-3D-P-3H-P-3N-P-4C-P-4D-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
26    S  4H-N                    AJ8.K8642.KQ3.K5 53.J93.965.QJT62 KT764.Q75.A72.A4 Q92.AT.JT84.9873 | 1S-P-2H-P-4H
27    S  6S-S                    KT82.AQT64.8.AK8 43.93.AJT43.J965 AQJ76.J7.K6.QT32 95.K852.Q9752.74 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-6S | Jacoby 2NT | A=1/5 or 4/5
28    S  6S-S                    QT82.A6.J9.KJ764 .QT74.AT7653.982 AKJ54.K852.K2.A3 9763.J93.Q84.QT5 | 1S-P-2N=1=-P-3S-P-4C-P-4D-P-4N-P-5C=2=-P-5S-P-6S | Jacoby 2NT | A=0/5 or 3/5
29    S  6H-S                    AQ8.K84.9762.A74 9543.5.AT8.Q9865 KT2.AQJT97.K53.K J76.632.QJ4.JT32 | 1H-P-3N-P-4C-P-4H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
30    S  4S-S                    AT3.95.AK752.QJ5 K.J87632.984.K94 J8754.AKT4.QJ.A3 Q962.Q.T63.T8762 | 1S-P-2D-P-3H-P-3S-P-4S
31    S  4S-S                    AK7.KJ865.Q94.K2 52.QT.JT875.J654 QT9643.94.AK6.A7 J8.A732.32.QT983 | 1S-P-2H-P-2S-P-3S-P-4C-P-4S
32    S  5S-S                    Q862.KJ8.Q75.AQ4 54.43.KJ942.J985 AKJ73.A975.8.KT7 T9.QT62.AT63.632 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4C-P-4S-P-4N-P-5D=3=-P-5S | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5
33    S  4S-S                    7532.T73.AJ9.AJ3 T.J9865.K8753.92 KQJ96.AQ.QT6.KQ6 A84.K42.42.T8754 | 1S-P-3S-P-3N-P-4C-P-4H-P-4S
34    S  6S-S                    AT3.K6.AQ9832.K4 762.AJT8732..T62 KJ984.4.KJ5.AJ53 Q5.Q95.T764.Q987 | 1S-P-2D-3H-X-P-4H=1=-P-4N-P-5H=2=-P-6S | Limit raise or better in !S | A=2/5 or 5/5, Q(S)=0
35    S  6H-S                    A.AQ4.J93.AKJT95 QT753.T9.T865.86 K86.J8732.AKQ2.Q J942.K65.74.7432 | 1H-P-2C-P-3D-P-3H-P-3N-P-4C-P-4D-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
36    S  5S-S                    KJ6.KQ63.54.KQ62 T4.JT2.A9873.AT5 AQ532.A4.KQJT.J4 987.9875.62.9873 | 1S-P-2C-P-3D-P-3S-P-3N-P-4C-P-4D-P-4N-P-5S=1= | A=2/5 or 5/5, Q(S)=1
37    S  4S-S                    QT4.A72.J43.AQJ5 82.K985.A762.T63 AK963.63.KQT9.K2 J75.QJT4.85.9874 | 1S-P-2C-P-3D-P-3S-P-3N-P-4C-P-4D-P-4S
38    S  4H-S                    QT5.KJ82.K6.AQJ5 J843.Q74.AT5.K76 AK.A9653.Q43.T84 9762.T.J9872.932 | 1H-P-2N=1=-P-4H | Jacoby 2NT
39    S  4H-S                    KQT6.AKJ.K986.42 A43.6.J752.QT986 J75.QT753.AQT.AJ 982.9842.43.K753 | 1H-P-1S-P-1N-P-4H
40    S  6S-S                    KQ83.Q86.A52.AT5 92.K32.T96.KJ973 AJT754.AT5.KQ.Q6 6.J974.J8743.842 | 1S-P-2N=1=-P-3S-P-3N-P-4N-P-5C=2=-P-5N=3=-P-6C=4=-P-6S | Jacoby 2NT | A=0/5 or 3/5 | King ask by 5NT | K=0
41    S  6S-S                    KT64.AQJ.Q4.AQ63 73.972.T85.KT985 AQJ95.T83.AJ96.J 82.K654.K732.742 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4D-P-4H-P-4S-P-4N-P-5S=3=-P-6S | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(S)=1
42    S  6H-S                    K4.T83.J62.AQ976 T763.62.A94.T843 AQ98.AKQ74.K85.J J52.J95.QT73.K52 | 1H-P-1N=1=-P-2S-P-4H-P-4N-P-5D=2=-P-6H | Forcing 1NT | A=1/5 or 4/5
43    S  6S-S                    KQJT.K4.QJ7.AK97 986.Q63.K963.T32 A7542.A982.A8.J6 3.JT75.T542.Q854 | 1S-P-2N=1=-P-4S-P-4N-P-5C=2=-P-5N=3=-P-6C=4=-P-6S | Jacoby 2NT | A=0/5 or 3/5 | King ask by 5NT | K=0
44    S  6H-S                    KQ754.AK6.A97.Q4 J9.J7.QT65.K7632 A82.Q85432.K4.A9 T63.T9.J832.JT85 | 1H-P-1S-P-2H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
45    S  4S-S                    K94.Q63.KQ865.T6 73.JT95.973.Q943 AQJ865.AK.J2.KJ2 T2.8742.AT4.A875 | 1S-P-1N=1=-P-3S-P-4S | Forcing 1NT
46    S  6H-N                    K65.AKJT7.A76.86 Q43.93.J854.K932 AJ987.854.KT.AQT T2.Q62.Q932.J754 | 1S-P-2H-P-3H-P-3N-P-4H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
47    S  4H-S                    AT.AQJ6.KJ5.KJT7 Q872.T8.T9864.86 J953.K9732.A7.A2 K64.54.Q32.Q9543 | 1H-P-2N=1=-P-4H | Jacoby 2NT
