../bba/Spiral_Raise.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  4S-N                    AJ53.953.KJT5.K4 82.A72.A963.Q862 Q974.KQJ8.Q87.AT KT6.T64.42.J9753 | 1D-P-1S-P-3S-P-3N-P-4S
2     S  4H-N                    Q97.QJ52.T3.AK84 T853.A4.Q9874.96 AK2.KT76.KJ.T532 J64.983.A652.QJ7 | 1C-P-1H-P-2H-P-3H-P-4H
3     S  2H-N                    QT74.AJT5.85.A65 J965.87.J93.KQ94 K32.K962.AQ72.J2 A8.Q43.KT64.T873 | 1D-P-1H-P-2H
4     S  4H-N                    QJ8.8543.AKJ.QT5 K2.AJT2.T953.864 743.KQ76.762.AK3 AT965.9.Q84.J972 | 1C-P-1H-P-2H-P-4H
5     S  4H-N                    K53.AQ92.A853.85 T94.KJ7.Q94.QJ64 A87.T863.KJ2.A72 QJ62.54.T76.KT93 | 1C-P-1H-P-2H-P-4H
6     S  4H-N                    T74.AJ72.A75.K72 J95.865.62.AT984 A63.KT43.K943.QJ KQ82.Q9.QJT8.653 | 1D-P-1H-P-2H-P-3H-P-4H
7     S  4S-N                    A832.A75.753.AJ8 J95.QJ6.K42.KT73 KQ76.KT98.AT9.Q4 T4.432.QJ86.9652 | 1D-P-1S-P-2S-P-4S
8     S  4S-N                    K952.754.K98.AKT J3.T632.75.Q9643 AQ74.QJ8.AJT4.72 T86.AK9.Q632.J85 | 1D-P-1S-P-2S-P-3S-P-4S
9     S  4H-N                    QJ9.KJ75.K8.KT85 743.T9.QT96.A743 K86.A643.A542.Q9 AT52.Q82.J73.J62 | 1D-P-1H-P-2H-P-4H
10    S  4S-N                    AT32.K53.AJ3.J63 8.QT942.KT64.972 KQ94.A86.97.KQ54 J765.J7.Q852.AT8 | 1C-P-1S-P-2S-P-3S-P-4S
11    S  3H-N                    T972.QT42.AQ.A64 84.95.KT32.KT832 AK3.A763.J876.J9 QJ65.KJ8.954.Q75 | 1D-P-1H-P-2H-P-3H
12    S  2H-N                    632.KQ95.K64.K52 AKT4.832.J8.8764 J75.AJ74.T975.AQ Q98.T6.AQ32.JT93 | 1D-P-1H-P-2H
13    S  3N-N                    A85.JT86.QT75.KJ Q32.AQ73.J84.987 J94.K42.A.AQT632 KT76.95.K9632.54 | 1C-P-1H-P-2C-P-2N-P-3H-P-3N
14    S  4H-N                    AJT.J532.Q4.A842 87.A84.T6532.Q63 Q942.K976.AKJ.75 K653.QT.987.KJT9 | 1D-P-1H-P-2H-P-4H
15    S  4H-N                    AT3.QT87.A7.KT42 QJ62.A6.T543.853 974.KJ53.QJ.AQ76 K85.942.K9862.J9 | 1C-P-1H-P-2H-P-4H
16    S  4H-N                    T93.AK76.KQT9.84 KQ76.932.842.JT7 A52.QT85.J5.AK65 J84.J4.A763.Q932 | 1C-P-1H-P-3H-P-3N-P-4H
17    S  3S-N                    AK94.982.A62.853 76.J543.J973.AK2 T853.AK6.KT4.Q76 QJ2.QT7.Q85.JT94 | 1C-P-1S-P-2S-P-3S
18    S  4H-N                    AJT5.AT95.84.K84 Q96.764.QT97.Q97 K74.QJ83.A63.A62 832.K2.KJ52.JT53 | 1C-P-1H-P-2H-P-4H
19    S  2H-N                    KT7.Q765.52.AQ53 9852.K94.QJ83.K2 A63.AJ83.K94.T64 QJ4.T2.AT76.J987 | 1C-P-1H-P-2H
20    S  4H-N                    KJ5.AT76.JT.Q982 763.854.AQ3.K753 AQ9.KJ93.9862.AT T842.Q2.K754.J64 | 1D-P-1H-P-3H-P-3N-P-4H
21    S  2N-S                    QJ73.AJ6.KT98.97 84.KQ75.J652.Q42 K62.T932.A.AJ653 AT95.84.Q743.KT8 | 1C-P-1S-P-1N-P-2N
22    S  4S-N                    AKT5.J95.AT2.J98 96.Q72.J987.A743 J742.A63.K4.KQ65 Q83.KT84.Q653.T2 | 1C-P-1S-P-2S-P-3S-P-4S
23    S  4H-N                    A92.KJ95.J72.A74 K84.T8.K86.JT632 T763.A764.AQ4.K8 QJ5.Q32.T953.Q95 | 1D-P-1H-P-2H-P-4H
24    S  4S-S                    K943.QJ32.Q85.AJ J7.A874.T742.QT5 AQ52.965.A3.K982 T86.KT.KJ96.7643 | 1C-P-1H-P-1S-P-4S
25    S  4H-N                    AKT.J752.AJ94.84 8542.93.Q72.AK63 QJ63.KQ86.K3.QJT 97.AT4.T865.9752 | 1C-P-1H-P-2H-P-3H-P-4H
26    S  4S-N                    KQ96.QJ5.Q5.QT96 T75.A863.KT8.J85 AJ84.T72.AJ74.K3 32.K94.9632.A742 | 1D-P-1S-P-2S-P-3S-P-4S
27    S  4H-N                    AQ32.J754.A62.Q7 K865.KT9.Q84.J95 JT4.Q832.KJ7.AK2 97.A6.T953.T8643 | 1C-P-1H-P-2H-P-4H
28    S  3N-N                    Q87.QJT3.Q8.AQ84 J43.98.KT4.KT763 AT92.A72.AJ532.5 K65.K654.976.J92 | 1D-P-1H-P-1S-P-3N
29    S  4H-N                    AQ96.J974.K2.K98 54.K6.T7653.QT74 J832.AQ82.Q4.A62 KT7.T53.AJ98.J53 | 1C-P-1H-P-2H-P-4H
30    S  2H-N                    K87.T985.KQ2.K87 A9632.K3.843.643 T54.AJ42.AT7.AJ9 QJ.Q76.J965.QT52 | 1C-P-1H-P-2H
31    S  4H-N                    AK73.A632.T52.Q3 86.J4.K987.T9764 QT5.KQT5.QJ3.A82 J942.987.A64.KJ5 | 1C-P-1H-P-2H-P-4H
32    S  3S-S                    K972.AK74.85.J42 QT5.963.KJ32.K87 J643.Q52.AT96.AQ A8.JT8.Q74.T9653 | 1D-P-1H-P-1S-P-3S
33    S  3H-N                    J98.KJ92.AT2.KJ5 QT73.Q8.984.Q976 A52.A754.KJ63.T3 K64.T63.Q75.A842 | 1D-P-1H-P-2H-P-3H
34    S  2H-N                    987.AQ63.KQ63.98 J643.T98.A95.J74 KT5.K742.84.AK32 AQ2.J5.JT72.QT65 | 1C-P-1H-P-2H
35    S  4H-N                    J97.AK76.A98.975 6543.T54.KQJ.J84 AK2.J983.643.AQ6 QT8.Q2.T752.KT32 | 1C-P-1H-P-2H-P-3H-P-4H
36    S  2N-S                    KJ52.KT6.A854.32 AT4.943.KJ76.QT5 Q98.AQ72.9.KJ987 763.J85.QT32.A64 | 1C-P-1S-P-1N-P-2N
37    S  2S-S                    KJ43.QJ95.93.A76 AQ2.T743.J85.K42 9875.A86.AKQ.JT3 T6.K2.T7642.Q985 | 1C-P-1H-P-1S-P-2S
38    S  4S-N                    K964.A73.52.AJ52 T5.J42.KQT8.9874 AJ82.Q865.A96.KT Q73.KT9.J743.Q63 | 1D-P-1S-P-2S-P-4S
39    S  4S-N                    KJ42.764.K8.KQJ9 83.QT82.AT94.873 AT97.KJ53.Q75.A6 Q65.A9.J632.T542 | 1D-P-1S-P-3S-P-3N-P-4S
40    S  4S-N                    A963.AJ6.K984.82 K8.QT52.QJ72.JT7 QJT4.974.A65.AK5 752.K83.T3.Q9643 | 1C-P-1S-P-2S-P-3S-P-4S
41    S  4S-N                    KQ85.A72.KT85.J6 AJ.T43.Q942.T943 T974.KQ5.AJ3.Q52 632.J986.76.AK87 | 1C-P-1S-P-2S-P-4S
42    S  4S-N                    A753.Q65.Q83.A62 J.T843.A976.J953 T982.AK92.KT4.K4 KQ64.J7.J52.QT87 | 1D-P-1S-P-2S-P-3S-P-4S
43    S  4S-N                    KQ76.KT3.QT43.Q8 93.742.A975.9643 AT84.A96.K82.K75 J52.QJ85.J6.AJT2 | 1C-P-1S-P-2S-P-3S-P-4S
44    S  2H-N                    Q82.K432.A72.Q73 KJ96.T987.Q43.A5 AT3.QJ65.KT.KJT4 754.A.J9865.9862 | 1C-P-1H-P-2H
45    S  4S-N                    AQJ7.642.AJ7.JT2 8.J753.Q982.Q754 K632.KQ9.T5.A963 T954.AT8.K643.K8 | 1C-P-1S-P-2S-P-3S-P-4S
46    S  2S-N                    AJT2.T53.Q64.KJ7 96.K642.KT3.Q982 KQ43.Q87.AJ72.43 875.AJ9.985.AT65 | 1D-P-1S-P-2S
47    S  4S-N                    A854.JT3.87.AK62 QJ97.A2.JT94.J54 KT32.Q654.AK6.Q8 6.K987.Q532.T973 | 1D-P-1S-P-2S-P-4S
48    S  4S-N                    KJ93.K74.A4.J873 Q4.AQ6.T532.Q962 A765.J85.QJ98.A4 T82.T932.K76.KT5 | 1D-P-1S-P-2S-P-4S
49    S  2S-N                    A953.J32.A94.Q63 Q8.KQ8.JT82.T987 J642.T74.KQ.AK54 KT7.A965.7653.J2 | 1C-P-1S-P-2S
50    S  2H-N                    Q96.AJ54.KT3.JT7 AK4.873.Q942.983 J52.KQ62.85.AK62 T873.T9.AJ76.Q54 | 1C-P-1H-P-2H
51    S  2H-N                    J64.AQ95.A72.JT8 AQ8.T74.543.K642 T32.K632.KT6.AQ3 K975.J8.QJ98.975 | 1C-P-1H-P-2H
52    S  3S-S                    Q743.AT72.J7.KJT J5.Q93.A942.Q753 A986.J84.KT5.A94 KT2.K65.Q863.862 | 1C-P-1H-P-1S-P-3S
53    S  2H-N                    Q53.AJ87.Q43.QT6 JT76.Q52.9852.KJ A98.KT93.J6.A854 K42.64.AKT7.9732 | 1C-P-1H-P-2H
54    S  4H-N                    Q42.AJ87.83.AQ94 T9.632.A62.JT853 A653.K54.QJ975.K KJ87.QT9.KT4.762 | 1D-P-1H-P-1S-P-3N-P-4H
55    S  3N-N                    KQ42.QT86.AT98.8 A5.532.7542.K973 983.KJ4.K.AQT642 JT76.A97.QJ63.J5 | 1C-P-1H-P-2C-P-2N-P-3H-P-3N
56    S  3H-N                    T52.KQT4.KQ.Q872 Q96.52.AJT8.9653 A87.J976.632.AK4 KJ43.A83.9754.JT | 1C-P-1H-P-2H-P-3H
