../bba/Spiral_Raise_Revisited.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2N-S       150          AJT.A753.J98.K43 Q962.KQ4.Q63.652 8.962.AKT2.AJT98 K7543.JT8.754.Q7 | 1C-P-1H-P-1N-P-2N
2     S  3N-S      -100          AKT5.QT92.64.A72 J82.8653.AJ52.Q4 93.AKJ.T93.KJ986 Q764.74.KQ87.T53 | 1C-P-1H-P-1N-P-3N
3     S  2S-N       140          KQT4.K76.75.K943 975.A943.QJ83.JT AJ86.J5.AT42.Q76 32.QT82.K96.A852 | 1D-P-1S-P-2S
4     S  4S-S       620          KQJ3.J974.KQ3.82 8764.T8.JT5.AQ76 AT95.AKQ.92.JT94 2.6532.A8764.K53 | 1C-P-1H-P-1S-P-3S-P-4S
5     S  3N-S       600          QT65.K75.KQ5.Q84 AJ74.93.A86.T765 K98.AQJ8.43.KJ32 32.T642.JT972.A9 | 1C-P-1S-P-1N-P-2N-P-3S-P-3N
6     S  3S-N       170          AQJ2.J32.A73.J74 K54.654.K85.A853 T973.AKQ7.Q6.QT6 86.T98.JT942.K92 | 1C-P-1S-P-2S-P-3S
7     S  4S-N       620          A852.A54.73.KJ94 KJ7.JT72.QJ8.Q73 Q963.K6.A952.AT6 T4.Q983.KT64.852 | 1D-P-1S-P-2S-P-3S-P-4S
8     S  4S-N       420          QT86.AT8.Q9.KJ96 42.J432.7432.AT5 AK53.Q76.A86.872 J97.K95.KJT5.Q43 | 1C-P-1S-P-2S-P-3S-P-4S
9     S  2N-N       120          AJ65.Q973.A7.T52 K32.AT42.54.Q973 87.KJ8.KQJ862.K8 QT94.65.T93.AJ64 | 1D-P-1H-P-2D-P-2N
10    S  3N-S       600          AK86.KT94.J93.JT QT7.85.T86.Q9743 52.A62.AK72.K862 J943.QJ73.Q54.A5 | 1D-P-1H-P-1N-P-2N-P-3N
11    S  1N-S       120          Q432.AKJ6.43.J96 KJT.8742.A952.T3 76.QT9.QJ8.AK875 A985.53.KT76.Q42 | 1C-P-1H-P-1N
12    S  3N-N       600          AJ95.743.A743.Q6 KQT3.Q8.Q982.T42 762.AJT.J.AKJ987 84.K9652.KT65.53 | 1C-P-1S-P-2C-P-2N-P-3N
13    S  3S-N       140          KT83.K73.985.AQ6 J9.Q962.J76.K843 AQ42.J85.AT43.J7 765.AT4.KQ2.T952 | 1D-P-1S-P-2S-P-3S
14    S  2N-S       150          A42.Q763.AJ4.Q83 T853.K85.QT97.74 Q7.A94.832.AKJ95 KJ96.JT2.K65.T62 | 1C-P-1H-P-1N-P-2N
15    S  4H-N       620          KQ3.J843.A73.QJT A965.52.KQ2.8654 874.AKQ7.JT86.A9 JT2.T96.954.K732 | 1D-P-1H-P-2H-P-3H-P-4H
16    S  3N-N       400          J76.AKQ9.52.QJ63 KQT.T862.976.T95 A432.743.KQJ3.K8 985.J5.AT84.A742 | 1D-P-1H-P-1S-P-3N
17    S  2N-S       150          K643.AT32.K95.Q7 J852.K54.Q76.A94 AQ.Q86.T42.KJT53 T97.J97.AJ83.862 | 1C-P-1H-P-1N-P-2N
18    S  2N-N       120          JT8.KQT3.AJ73.94 432.972.KQ5.QJT6 AKQ7.J65.62.K752 965.A84.T984.A83 | 1C-P-1H-P-1S-P-2N
19    S  2N-S       150          Q42.K643.AK2.J93 KT75.Q9.QT63.864 J63.AJ7.J874.KQT A98.T852.95.A752 | 1D-P-1H-P-1N-P-2N
20    S  2H-N       140          A87.QJ62.KJT.T32 962.K93.9632.AJ8 QJ3.A875.AQ7.974 KT54.T4.854.KQ65 | 1C-P-1H-P-2H
21    S  1N-N       120          A86.QJT6.A53.876 97.K93.KT72.A953 KT54.A42.9864.KQ QJ32.875.QJ.JT42 | 1D-P-1H-P-1S-P-1N
22    S  4S-N       450          AK65.J62.K543.Q9 942.Q94.AJT9.J76 QJ73.K753.8.AK43 T8.AT8.Q762.T852 | 1C-P-1S-P-2S-P-3S-P-4S
23    S  3N-N       600          K42.A943.A985.J9 QT9.JT8.QJT7.532 AJ75.Q75.6.KQ764 863.K62.K432.AT8 | 1C-P-1H-P-1S-P-3N
24    S  4H-N       450          KQT4.K743.K642.Q 875.J86.AJT9.874 32.AQT2.Q3.AT963 AJ96.95.875.KJ52 | 1C-P-1H-P-2H-P-4H
25    S  2S-N       170          K987.AT2.KT3.J98 QJT4.QJ6.94.KT75 A653.K98.AJ865.Q 2.7543.Q72.A6432 | 1D-P-1S-P-2S
26    S  2N-S       120          983.AK93.AT8.T96 A754.52.K973.K43 KQ2.Q76.J65.A875 JT6.JT84.Q42.QJ2 | 1C-P-1H-P-1N-P-2N
27    S  3N-N       430          876.AK76.K84.KT3 T92.Q5.Q9765.Q96 AJ43.T94.AT3.AJ8 KQ5.J832.J2.7542 | 1C-P-1H-P-1S-P-2N-P-3H-P-3N
28    S  3N-S       630          K72.AJT4.62.AJ83 JT53.653.T9.KT65 AQ8.972.KQJ87.Q9 964.KQ8.A543.742 | 1D-P-1H-P-1N-P-3N
29    S  2N-S       150          QJ72.AQ8.T93.KT5 864.743.AK42.J86 AT5.KJT6.QJ65.Q4 K93.952.87.A9732 | 1D-P-1S-P-1N-P-2N
30    S  4H-N       450          KJ96.A872.A42.T7 Q842.T96.QJ85.QJ AT5.KJ53.K9.K653 73.Q4.T763.A9842 | 1C-P-1H-P-2H-P-3H-P-3S=1=-P-4D=2=-P-4H | Cue bid, a !S stopper | Cue bid, a !D stopper
31    S  5D-S       600          AQT4.AKT.T643.75 85.J742.Q7.K9864 K63.86.AK982.AT2 J972.Q953.J5.QJ3 | 1D-P-1S-P-1N-P-3D-P-5D
32    S  3H-N       170          K74.A976.A63.Q98 963.T542.KT87.A5 AJ.QJ83.J2.KJ643 QT852.K.Q954.T72 | 1C-P-1H-P-2H-P-3H
33    S  3N-S       400          AT97.JT63.K6.A93 Q52.A97.754.J754 K43.KQ4.QJT98.Q6 J86.852.A32.KT82 | 1D-P-1H-P-1N-P-3N
34    S  2N-N       150          KQ3.AT93.J64.K65 874.542.AKT8.432 AJ65.J86.72.AQJT T92.KQ7.Q953.987 | 1C-P-1H-P-1S-P-2N
35    S  2N-S       150          KT53.T964.AQ.Q97 9762.QJ8.T73.K42 4.A32.KJ52.AJT53 AQJ8.K75.9864.86 | 1C-P-1H-P-1N-P-2N
36    S  3N-S      -100          AJ5.A764.JT7.KT4 QT84.T52.A842.52 K62.QJ3.95.AQ987 973.K98.KQ63.J63 | 1C-P-1H-P-1N-P-3N
37    S  3N-S       630          KQJ.JT84.KQT7.85 A863.KQ72.954.T7 T9.A93.863.AKQJ3 7542.65.AJ2.9642 | 1C-P-1H-P-1N-P-2N-P-3H-P-3N
38    S  4H-N       420          A854.T983.AQ.QT5 QJ32.J2.872.K976 76.AKQ7.KJT96.43 KT9.654.543.AJ82 | 1D-P-1H-P-2H-P-3H-P-4H
39    S  3N-S       600          9873.Q62.AK.KJ76 T2.K753.JT7.A983 AQ6.A984.Q862.Q4 KJ54.JT.9543.T52 | 1D-P-1S-P-1N-P-2N-P-3S-P-3N
40    S  3N-S       400          AJ9.T864.Q9.AQ97 T84.Q932.JT86.KT K52.AK5.A743.865 Q763.J7.K52.J432 | 1D-P-1H-P-1N-P-3N
41    S  2S-N       140          AQT7.954.AJ53.97 K64.K872.T7.KT84 J932.A63.862.AQJ 85.QJT.KQ94.6532 | 1C-P-1S-P-2S
42    S  4H-N       620          KJ64.J984.AJ5.QT T752.T5.KT2.AK53 A3.AQ72.Q8.J9876 Q98.K63.97643.42 | 1C-P-1H-P-2H-P-3H-P-4H
43    S  4H-N       420          AJ5.K632.Q65.Q93 QT872.974.T94.A5 6.AT85.AK8.JT864 K943.QJ.J732.K72 | 1C-P-1H-P-2H-P-3H-P-4H
44    S  2N-S       150          QJ82.AJ76.A432.8 94.T982.KQ98.QT4 A73.Q53.T5.AK963 KT65.K4.J76.J752 | 1C-P-1H-P-1N-P-2N
45    S  3N-S       600          AT87.KQ6.95.A964 J64.8732.AJ2.J83 Q95.AJT.KQ873.T5 K32.954.T64.KQ72 | 1D-P-1S-P-1N-P-3N
46    S  2H-N       110          Q532.J985.QJT.AJ AT96.32.74.KT987 J87.AKT6.A852.53 K4.Q74.K963.Q642 | 1D-P-1H-P-2H
47    S  4S-N       650          Q643.952.KJ.AK84 T87.JT743.A98.T9 AK52.K.T642.QJ63 J9.AQ86.Q753.752 | 1D-P-1S-P-2S-P-3S-P-4S
48    S  2N-S       150          862.QT32.AKQT.T6 QT3.KJ94.J64.J74 K94.A86.852.AQ53 AJ75.75.973.K982 | 1C-P-1H-P-1N-P-2N
49    S  4H-N       450          AJ9.QT53.A764.QT QT53.K7.QT532.65 76.A964.J.AKJ873 K842.J82.K98.942 | 1C-P-1H-P-4H
50    S  4H-N       620          KJ5.JT84.QJ92.AJ A96.73.KT75.8654 T732.AK65.A84.KT Q84.Q92.63.Q9732 | 1D-P-1H-P-2H-P-3H-P-4H
51    S  1N-S       150          A742.Q52.A7.J842 Q65.T43.JT42.K76 J93.AKJ9.KQ65.93 KT8.876.983.AQT5 | 1D-P-1S-P-1N
52    S  2S-S       170          JT65.KQ75.J4.KJT 974.83.KT92.AQ96 KQ32.AJ2.A8763.4 A8.T964.Q5.87532 | 1D-P-1H-P-1S-P-2S
53    S  3N-N       600          AQJT.T98.J74.AJ8 9753.A743.6.QT65 K42.K2.AQT853.93 86.QJ65.K92.K742 | 1D-P-1S-P-2D-P-3N
54    S  2N-S       120          T86.AJ92.KQJT.54 KQ72.T763.A8.983 A94.KQ4.763.QJ76 J53.85.9542.AKT2 | 1C-P-1H-P-1N-P-2N
55    S  2N-S       180          J652.K53.A54.AJ2 T873.J62.KQ96.Q7 AK9.AQT7.8.98543 Q4.984.JT732.KT6 | 1C-P-1S-P-1N-P-2N
56    S  4S-S       420          QJ5.KJ72.J7.AJ85 T872.T9.AT953.62 AK64.A43.82.K943 93.Q865.KQ64.QT7 | 1C-P-1H-P-1S-P-2N-P-3H-P-4S
57    S  4H-N       450          AK8.T854.54.AQ63 J753.A62.T8.J987 Q92.KJ93.AK732.4 T64.Q7.QJ96.KT52 | 1D-P-1H-P-2H-P-4H
58    S  3N-S       630          KJT.Q986.K765.A9 A982.A7.QT4.5432 64.K43.AJ3.KQT76 Q753.JT52.982.J8 | 1C-P-1H-P-1N-P-3N
59    S  2N-S       150          AK8.A763.832.Q83 JT9.Q4.KJ75.9754 Q53.JT8.AT9.AJT6 7642.K952.Q64.K2 | 1C-P-1H-P-1N-P-2N
60    S  4S-S       650          AT43.AQT6.5.QJ84 .9832.K862.A9632 QJ85.K74.AQJ73.T K9762.J5.T94.K75 | 1D-P-1H-P-1S-P-4S
61    S  3N-S      -200          KQT6.K54.J62.AT6 8532.Q932.AK7.82 AJ4.J86.83.KQJ75 97.AT7.QT954.943 | 1C-P-1S-P-1N-P-3N
62    S  2N-S       150          QT43.KT92.QT3.KQ K976.J75.KJ62.95 J82.A83.A97.AT74 A5.Q64.854.J8632 | 1C-P-1H-P-1N-P-2N
63    S  3N-S       630          AK86.KT2.42.K962 Q5.J963.JT3.T874 T43.87.AK865.AQJ J972.AQ54.Q97.53 | 1D-P-1S-P-1N-P-3N
64    S  4S-S       450          AK54.A642.JT5.T9 QJ2.T9.AQ86.8653 9763.KQ5.4.AKJ72 T8.J873.K9732.Q4 | 1C-P-1H-P-1S-P-3S-P-4S
65    S  4H-N       420          A74.A965.J985.A8 Q862.Q82.72.QJ95 J3.KJT3.AK63.643 KT95.74.QT4.KT72 | 1D-P-1H-P-2H-P-4H
66    S  3N-N       600          KT4.A763.AJ83.74 A532.QT4.K652.83 QJ.KJ5.97.KQJ652 9876.982.QT4.AT9 | 1C-P-1H-P-2C-P-3N
67    S  3S-N       -50          AK86.AJT.T832.63 95.K752.J54.AJT5 J72.864.AKQ97.Q9 QT43.Q93.6.K8742 | 1D-P-1S-P-1N-P-3D-P-3S
68    S  2S-N       140          KT94.K85.A432.J3 Q63.76.Q98.KT976 J752.AT93.K7.A84 A8.QJ42.JT65.Q52 | 1C-P-1S-P-2S
69    S  2N-S       150          J93.AQ85.J6.A954 AQT8.T642.K3.JT3 K76.K93.Q952.KQ7 542.J7.AT874.862 | 1D-P-1H-P-1N-P-2N
70    S  3N-N       400          J942.A873.A.AT97 T86.942.K43.J853 AKQ.Q65.QT7652.4 753.KJT.J98.KQ62 | 1D-P-1H-P-2D-P-3N
71    S  1N-N       120          A83.K875.AT5.764 J52.T63.872.AQT9 KQ74.AJ4.QJ6.J83 T96.Q92.K943.K52 | 1C-P-1H-P-1S-P-1N
72    S  3N-N       400          JT6.A832.AQ85.72 52.KT96.T962.QT6 AK73.QJ4.7.KJ984 Q984.75.KJ43.A53 | 1C-P-1H-P-1S-P-2N-P-3H-P-3N
73    S  1N-N       120          KJ9.QJ42.8763.A7 T74.T6.KQ54.KJ53 AQ82.K73.A92.964 653.A985.JT.QT82 | 1C-P-1H-P-1S-P-1N
74    S  3N-S       600          AKJT.964.KQ65.93 Q53.75.JT42.K652 876.AQT3.93.AQJ4 942.KJ82.A87.T87 | 1C-P-1S-P-1N-P-3N
75    S  3N-S       400          AQT3.Q74.QJ3.QT5 872.K853.A2.9876 KJ4.AJ96.K865.J4 965.T2.T974.AK32 | 1D-P-1S-P-1N-P-3N
76    S  3S-N       140          AJ64.Q72.QT6.K86 73.965.AJ42.Q753 KQT9.AK43.853.94 852.JT8.K97.AJT2 | 1D-P-1S-P-2S-P-3S
77    S  2N-S       150          983.T962.AJT.AQ7 A742.74.843.KT95 KJT.K53.KQ97.J83 Q65.AQJ8.652.642 | 1D-P-1H-P-1N-P-2N
78    S  3N-N       430          KQ94.Q742.QT.A32 T62.AT93.84.J875 J5.KJ5.AKJ752.96 A873.86.963.KQT4 | 1D-P-1H-P-2D-P-3N
79    S  2N-N       150          JT5.9754.KJ6.AKT K2.K32.T984.J854 AQ83.AJ6.52.Q962 9764.QT8.AQ73.73 | 1C-P-1H-P-1S-P-2N
