../bba/Spiral_Raises_with_3.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  3C-S                    K985.K93.JT64.A6 T632.J65.A832.KT AQJ.Q82.K.Q97543 74.AT74.Q975.J82 | 1C-P-1S-P-2C-P-3C
2     S  3N-N                    K76.9653.AKQ3.75 QJ83.742.9754.K2 A52.AK8.6.QJT864 T94.QJT.JT82.A93 | 1C-P-1H-P-2C-P-3N
3     S  1N-N                    532.A985.A54.K53 K976.J7.Q9872.86 AQ84.K62.6.AJT74 JT.QT43.KJT3.Q92 | 1C-P-1H-P-1S-P-1N
4     S  3N-N                    KQ84.A864.K96.J2 632.T2.Q732.AQT5 A97.KJ3.J.K98764 JT5.Q975.AT854.3 | 1C-P-1H-P-2C-P-3N
5     S  3N-N                    KJ6.J632.Q2.AJT9 984.AQT.K73.7652 A72.K75.AJT965.3 QT53.984.84.KQ84 | 1D-P-1H-P-2D-P-3N
6     S  1N-S                    AQJ3.J73.K643.52 986.Q854.AJ82.T8 542.AKT9.T.KQ964 KT7.62.Q975.AJ73 | 1C-P-1S-P-1N
7     S  3N-N                    KJ64.AJ3.53.AT82 98.T76.AK74.J754 QT3.KQ9.QJT962.Q A752.8542.8.K963 | 1D-P-1S-P-2D-P-3N
8     S  4H-N                    AKJ.AJ82.T8.9852 T743.T54.52.KQ74 9852.K63.AQJ63.A Q6.Q97.K974.JT63 | 1D-P-1H-P-1S-P-3N-P-4H
9     S  3N-N                    J86.J852.QT.AKQ4 Q4.74.A9763.J965 AK75.AQT.J8542.3 T932.K963.K.T872 | 1D-P-1H-P-1S-P-3N
10    S  3N-N                    J543.K843.AQ43.Q KT76.JT2.KT97.J5 A82.Q96.5.AKT983 Q9.A75.J862.7642 | 1C-P-1H-P-2C-P-3N
11    S  3N-S                    7532.KQ7.KJ54.A9 AQ.643.Q976.T762 KJT.A852.8.KQJ53 9864.JT9.AT32.84 | 1C-P-1S-P-1N-P-2N-P-3S-P-3N
12    S  3N-S                    A872.KQ7.Q852.J5 K53.82.AT963.973 J96.A943.J.AK842 QT4.JT65.K74.QT6 | 1C-P-1S-P-1N-P-2N-P-3S-P-3N
13    S  4D-S                    Q76.A963.T9.AJ84 KT98.J8.K62.T765 AJ2.KT7.AQ8543.2 543.Q542.J7.KQ93 | 1D-P-1H-P-2D-P-3D-P-4D
14    S  3N-S                    T974.K92.K4.KQT4 K83.J84.763.AJ62 AQJ.T763.AQ982.8 652.AQ5.JT5.9753 | 1D-P-1S-P-1N-P-2N-P-3S-P-3N
15    S  3H-N                    AK8.J852.T653.K7 Q74.KT73.QJ98.63 JT92.AQ9.2.AQJ85 653.64.AK74.T942 | 1C-P-1H-P-1S-P-2N-P-3H
16    S  3N-N                    T854.KT5.AJ.KJ62 Q97.A97.T75.AT43 KJ6.J83.KQ9864.Q A32.Q642.32.9875 | 1D-P-1S-P-2D-P-3N
17    S  3H-N                    T85.AJ54.KT74.K7 KQ6.QT98.Q983.T6 942.K62.A.AQJ842 AJ73.73.J652.953 | 1C-P-1H-P-2C-P-2N-P-3H
18    S  3N-S                    8762.AJT.82.AK86 A9.652.QT5.T9753 KJT.K843.AJ976.J Q543.Q97.K43.Q42 | 1D-P-1S-P-1N-P-3N
19    S  3N-N                    AQ73.T84.A432.Q3 KJ5.KJ9.Q865.982 986.A52.7.AKJ765 T42.Q763.KJT9.T4 | 1C-P-1S-P-2C-P-3N
20    S  4S-N                    AK73.J63.AJ7.864 Q52.954.KQ95.JT2 J86.AQ82.2.AQ973 T94.KT7.T8643.K5 | 1C-P-1S-P-1N-P-3N-P-4S
21    S  2N-N                    AQ93.QJT9.T75.Q6 KT2.8654.AQJ6.T9 654.A72.K.AJ8754 J87.K3.98432.K32 | 1C-P-1H-P-2C-P-2N
22    S  2N-N                    Q76.J983.AJ3.KT6 J92.KT6.Q9742.J7 A83.A42.6.A98532 KT54.Q75.KT85.Q4 | 1C-P-1H-P-2C-P-2N
23    S  4D-S                    9854.A32.84.AK92 AJ2.KQT4.75.T543 QT7.J87.AKJT63.Q K63.965.Q92.J876 | 1D-P-1S-P-2D-P-3D-P-4D
24    S  3N-N                    QJT.KQT2.K94.Q64 543.75.AT32.AT93 K876.AJ8.QJ765.K A92.9643.8.J8752 | 1D-P-1H-P-1S-P-3N
25    S  3S-N                    KQJ9.T84.KQ3.972 83.752.AJT9.KQ84 T62.AKJ9.7.AJT53 A754.Q63.86542.6 | 1C-P-1S-P-1N-P-2N-P-3S
26    S  3N-N                    K43.A732.AT92.85 QJ95.QJ9.J643.Q6 A86.K86.7.AK9732 T72.T54.KQ85.JT4 | 1C-P-1H-P-2C-P-2N-P-3H-P-3N
27    S  3N-N                    KT9.KQ65.A2.9743 8632.92.JT.A8652 AJ74.AJT.Q9864.J Q5.8743.K753.KQT | 1D-P-1H-P-1S-P-2N-P-3H-P-3N
