../bba/We_X_Opps_Preempt.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     E  5C-N                    K9.T7.J4.AKQT873 3.KQJ8652.T93.J2 QJ52.A3.AK82.965 AT8764.94.Q765.4 | 3H-X-4H-5C
2     E  4H-N                    AK8.T76543.862.9 Q9.92.74.AQ87654 JT63.AJ.AKQ3.KJT 7542.KQ8.JT95.32 | 3C-3N-P-4H
3     E  3DX-E                   K3.A976.972.QJ83 64.4.AQJ8643.T92 AJ98.KJ52.T.AK74 QT752.QT83.K5.65 | 3D-X
4     E  3SX-E                   KJ96.QJ76.643.72 AQT7432.2.Q52.T4 .A983.AKT97.AQJ9 85.KT54.J8.K8653 | 3S-X
5     E  3N-S                    T4.K9875.J87.A93 KQJ9762..T52.JT4 A5.QJT4.AKQ4.K75 83.A632.963.Q862 | 3S-3N
6     E  3DX-E                   KQ943.5.542.AQ52 6.T96.AQJ9763.J3 AJT7.AK42.K.KT86 852.QJ873.T8.974 | 3D-X
7     E  3N-N                    92.KJT84.64.AQJ5 T8.AQ97632.J.T72 AKQJ3..A953.K964 7654.5.KQT872.83 | 3H-3S-P-3N
8     E  4S-E                    T8.QT8.KQ43.J963 AQJ97632.9.T8.Q4 5.AJ32.A765.AK72 K4.K7654.J92.T85 | 4S
9     E  4H-N                    Q.J7643.873.K875 J74..AQT96542.J2 KT52.AKQ9.J.AT63 A9863.T852.K.Q94 | 4D-X-P-4H
10    E  3H-N                    943.AKT95.942.T5 75.8.KQJT853.J96 AKQT.Q32.76.AKQ7 J862.J764.A.8432 | 3D-X-P-3H
11    E  4S-E                    764.A7.QT96.K854 AQJT9853.84.8.J6 K2.QT63.KJ4.AQT7 .KJ952.A7532.932 | 4S
12    E  4SX-E                   Q6.Q9762.KJ4.KQ2 AKT87432.J3..973 J9.AK5.AQ98.AJ86 5.T84.T76532.T54 | 4S-X
13    E  4SX-E                   9.K98732.54.QT94 KQJ86532.Q65..85 A4.AT4.KT73.AKJ3 T7.J.AQJ9862.762 | 4S-X
14    E  4D-E                    KQ9654.K864..Q52 3.T3.AKJ7432.T83 T.AQ52.QT95.AKJ9 AJ872.J97.86.764 | 3D-P-4D
15    E  4H-N                    AJ3.K972.962.JT4 KQT9864.J4.QT7.7 72.AT86.AJ53.KQ6 5.Q53.K84.A98532 | 3S-X-P-4H
16    E  3H-N                    A5.QJ65.T863.654 9.98.Q52.AQJT972 KJ43.AT72.AKJ4.3 QT8762.K43.97.K8 | 3C-X-P-3H
17    E  4SX-E                   653.Q3.762.AQT85 KQJT984.T.J9.643 A.AJ95.KQT4.KJ72 72.K87642.A853.9 | 3S-X-4S-P-P-X
18    E  5DX-E                   Q87.AKT963.5.JT9 6.J8.KQJT97432.2 AKT2.Q754.A.AQ84 J9543.2.86.K7653 | 5D-X
19    E  4CX-E                   Q52.KT74.642.QJ4 T4.2.Q5.AK987653 AKJ8.AQJ93.AJ73. 9763.865.KT98.T2 | 4C-X
20    E  5D-N                    QT83.3.QJ654.653 4.KQJ98542..QJ94 AJ95.A6.K72.AKT8 K762.T7.AT983.72 | 4H-X-P-5D
21    E  4CX-N                   654.64.QT2.AKJ75 AQJ9872.T73.953. K3.AK85.KJ87.T43 T.QJ92.A64.Q9862 | 3S-X-P-4C-P-P-X
22    E  3CX-E                   AQ53.QJ76.A763.8 K84.5.J2.KQ97532 T.AK98.KQ84.AJT4 J9762.T432.T95.6 | 3C-P-P-X
23    E  3N-S                    86.932.T8752.874 KQT9532.84.Q3.J6 AJ4.AQ75.AK96.AQ 7.KJT6.J4.KT9532 | 3S-3N
24    E  5D-S                    94.K6.AJT97.T875 T53.QT4..KQJ9642 AKQ2.A973.K5432. J876.J852.Q86.A3 | 3C-3D-P-4D-P-5D
25    E  3CX-E                   93.AK3.AJT8.J875 J.54.Q65.KQT9643 AK65.QJ62.943.A2 QT8742.T987.K72. | 3C-X
26    E  3N-S                    T8.52.K72.AT8543 AK96432.43.J853. QJ5.AQT8.AQT4.KQ 7.KJ976.96.J9762 | 3S-3N
27    E  3SX-E                   QT863.KQJ.Q982.2 AKJ9752.976..J63 4.AT82.AK76.KQT9 .543.JT543.A8754 | 3S-X
28    E  3N-S                    98642.KJ53.85.A9 53.4.KQJT943.J43 AK.AT96.A72.KQ65 QJT7.Q872.6.T872 | 3D-3N
29    E  4H-N                    83.KT54.KQJ3.A86 KQT9752.62.6.Q72 A6.QJ83.AT54.KJ3 J4.A97.9872.T954 | 3S-X-P-4H
30    E  4C-N                    KQJ.764.852.J654 864.T83.AKT9643. A953.AKQ2.Q7.A98 T72.J95.J.KQT732 | 3D-X-P-4C
31    E  4H-N                    T84.KQJ6.KJ93.J8 AQJ9752.T83.5.63 3.A942.AQ42.AKQ4 K6.75.T876.T9752 | 3S-X-P-4H
32    E  4C-N                    J963.KQ.J7.A7543 42.J87.AQ98543.6 AQ75.AT92.62.KJT KT8.6543.KT.Q982 | 3D-X-P-4C
33    E  3N-S                    T753.962.Q74.T87 962.AQJT753.3.65 AK.K84.AJT2.AKQ4 QJ84..K9865.J932 | 3H-3N
34    E  4D-N                    543.Q5.QJ975.J97 986.8.3.AK865432 AKJT.AJ43.KT64.Q Q72.KT9762.A82.T | 4C-X-P-4D
35    E  4C-N                    92.876.T984.KT63 AKT6543.J.J32.94 QJ.AQ9.AQ75.AQJ5 87.KT5432.K6.872 | 3S-X-P-4C
36    E  3N-S                    T862.4.KJT.98743 4.AQJT872.86.T65 AJ93.K53.Q2.AKQJ KQ75.96.A97543.2 | 3H-3N
37    E  4CX-E                   Q64.QJ75.742.K54 73.982.9.AQJ9763 KT95.AKT3.AQJ6.2 AJ82.64.KT853.T8 | 3C-X-4C-P-P-X
38    E  3CX-E                   KT8.J943.96.J875 72.7.532.AKT9643 A943.AKQ8.AKQT.2 QJ65.T652.J874.Q | 3C-X
39    E  4S-E                    8.AT98652.8654.5 KQ97632.3.J9.KT9 J54.KQJ4.AQ.AQ43 AT.7.KT732.J8762 | 3S-P-4S
40    E  4S-E                    T8.KT632.JT9.T65 AK976432.854.4.Q Q5.AQJ.KQ52.AK87 J.97.A8763.J9432 | 4S
41    E  4S-E                    QJ5.A72.K54.K743 AKT98763.T8.T3.T .KJ954.A762.AQ82 42.Q63.QJ98.J965 | 4S
42    E  3N-S                    763.9.AT8732.T74 J8.KQT7653.J5.Q6 AQT9.A42.Q9.AK98 K542.J8.K64.J532 | 3H-3N
43    E  3N-S                    KJ864.KQT74.K42. 52.95.QT.KQJ6543 AQT3.AJ3.A5.A982 97.862.J98763.T7 | 3C-3N
44    E  3N-S                    QT75..AQJ9652.T4 982.AQJ7632.3.76 AK4.KT94.K4.AKJ5 J63.85.T87.Q9832 | 3H-3N
45    E  4S-N                    QJ874.T2.AT.QT86 T5.AQJ7643.6.J75 A932.98.QJ54.AK9 K6.K5.K98732.432 | 3H-X-P-4S
46    E  4H-E                    K7.98.AQ875.J876 T85.KQJT743.JT.5 QJ32.52.K62.AKQ9 A964.A6.943.T432 | 3H-X-4H
47    E  4CX-E                   KQJ.T642.AQ98.JT 83.J7.65.AK97652 AT54.AKQ3.J73.83 9762.985.KT42.Q4 | 3C-X-4C-X
48    E  4S-S                    J97.KJ654.AKJ8.5 Q6.AQ98732.3.T62 AKT52..T954.AK83 843.T.Q762.QJ974 | 3H-3S-P-4S
49    E  3N-N                    AQ.T984.KQJ8.Q72 T5.3.T97.AKT9654 K962.KQJ2.A64.J8 J8743.A765.532.3 | 3C-X-P-3N
50    E  3N-N                    AJ64.K43.93.AJ93 Q8.AQT8652.T84.2 9753.97.AKQJ.KQT KT2.J.7652.87654 | 3H-X-P-3N
51    E  4S-N                    A874.Q76.Q75.543 .853.J94.KQJT972 QJT2.AKJT.AK32.6 K9653.942.T86.A8 | 3C-X-P-3S-P-4S
52    E  5C-N                    52.J953.KJ.J9753 KT3.2.AQ975432.2 AQ96.KQ87.6.KQ64 J874.AT64.T8.AT8 | 4D-X-P-5C
53    E  4HX-E                   974.JT96.A65.Q54 .KQ75432.9872.A9 KJ82.A.KQJ4.K732 AQT653.8.T3.JT86 | 4H-X
54    E  4H-N                    A983.K98753.3.98 KQT7642.QT.J4.63 J5.AJ64.AQ92.AK4 .2.KT8765.QJT752 | 3S-X-P-4H
55    E  3N-S                    QJ964.T95.QT3.84 K85.AQ76432.862. AT73.KJ.KJ54.AK2 2.8.A97.QJT97653 | 3H-3N
56    E  4H-N                    AK84.J9752.K6.Q8 Q5.8.AQT5432.T97 J632.AKQ6.J8.K54 T97.T43.97.AJ632 | 3D-X-4D-4H
57    E  4S-N                    KJT953.54.T94.Q8 .KQJ9862.J732.92 A874.A3.AKQ.AT64 Q62.T7.865.KJ753 | 3H-3N-P-4S
58    E  5C-E                    K8.JT876.AKJ3.T4 32..42.AKQ987532 AQT5.AKQ2.QT75.6 J9764.9543.986.J | 5C
59    E  4DX-E                   A96.K852.KT9.Q62 32.J.AQ86432.T73 KJ87.AQT6.J.A985 QT54.9743.75.KJ4 | 3D-X-4D-X
60    E  5D-N                    76.K654.95432.KQ J54.AQJT872..987 AQ83..AQJ86.A432 KT92.93.KT7.JT65 | 3H-X-4H-P-P-X-P-5D
61    E  3HX-E                   KT75.JT97.KJ2.AT .AKQ8643.T87.942 AQ62..AQ43.Q8765 J9843.52.965.KJ3 | 3H-X
62    E  3D-E                    QT2.QT97632.5.Q6 763.8.AKQ8632.T5 AK.KJ5.T974.AKJ4 J9854.A4.J.98732 | 3D
63    E  3N-S                    T97.J8654.973.JT 853..AQT8542.Q64 AK6.AQT2.KJ.AK82 QJ42.K973.6.9753 | 3D-3N
64    E  3DX-E                   Q53.Q8.AJ973.JT5 A74.73.KQT8542.2 KJ62.AJ65.6.AKQ6 T98.KT942..98743 | 3D-X
65    E  3N-S                    764.AKJ.986.JT86 J82.2.KQJT743.75 AKT9.863.A2.AKQ3 Q53.QT9754.5.942 | 3D-3N
66    E  4S-E                    943.JT3.Q92.KQ62 AQJT765.92.J83.J K.K854.AK74.AT87 82.AQ76.T65.9543 | 3S-X-4S
67    E  6C-N                    Q875.T8.8.AKQ865 .63.KQJT9643.J94 AK64.AKJ7.A2.T73 JT932.Q9542.75.2 | 4D-X-P-6C
68    E  4D-E                    T72.AJT4.J9.QT63 83.653.AK765432. AKJ4.Q9.QT8.AKJ7 Q965.K872..98542 | 4D
69    E  4DX-E                   87432.KQ6.Q.JT76 96.2.AKT96432.92 AKJT.A43.J7.AK85 Q5.JT9875.85.Q43 | 4D-X
70    E  4DX-E                   KQ6.K9.KT64.T985 T.Q4.AQ87532.643 A852.A753..AKQ72 J9743.JT862.J9.J | 3D-X-4D-X
71    E  4S-N                    KJT8632.J6.T7.93 Q5.T2.65.KQT8654 97.AK87.AQJ3.AJ7 A4.Q9543.K9842.2 | 3C-3N-P-4S
72    E  5D-N                    3.632.KJT54.K653 J.KQJT98754.Q3.4 A642.A.9872.AQJT KQT9875..A6.9872 | 4H-X-P-5D
73    E  3N-S                    K854.Q973.74.T93 JT9.6.AQJT632.65 A3.AK42.K95.KQ42 Q762.JT85.8.AJ87 | 3D-3N
74    E  3N-N                    Q982.K87.A654.QJ AKT7643.Q.87.732 .A932.KQJ92.A985 J5.JT654.T3.KT64 | 3S-X-P-3N
75    E  4S-E                    Q3.KJT82.64.8743 AKT98764..73.Q95 2.AQ94.AKQ8.KT62 J5.7653.JT952.AJ | 4S
76    E  3H-E                    A76.JT.KJ875.QJ7 K4.KQ98763.6.542 8.A542.AQ42.AK83 QJT9532..T93.T96 | 3H
