#,Date,Board,North,South,East,West,EPBot1 Result,EPBot1 Score, IMPs  or MPs,Par Result, EPBot1  Par Score,Vs. Par,DD Bidding,DD Play,
1,2024.09.27,1,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,3N S+2,460,-1,We missed best contract,-,
2,2024.09.27,2,EPBot1,EPBot3,EPBot2,EPBot4,4S W -1,50,0.00%,3S EW,-140,5,They overbid - undoubled,-,
3,2024.09.27,3,EPBot1,EPBot3,EPBot2,EPBot4,4S E +2,-680,0.00%,5S EW,-650,-1,We missed sacrifice,-1,
4,2024.09.27,4,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,3N NS+2,660,0,Par was bid,-,
5,2024.09.27,5,EPBot1,EPBot3,EPBot2,EPBot4,4DX W -2,300,0.00%,3S NS,140,4,They overbid - doubled,-,
6,2024.09.27,6,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,3H NS,140,-1,We missed best contract,+1,
7,2024.09.27,7,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,5D NS,600,-10,We missed game,-1,
8,2024.09.27,8,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
9,2024.09.27,9,EPBot1,EPBot3,EPBot2,EPBot4,3N S -1,-50,0.00%,5C NS,400,-10,We missed game,+1,
10,2024.09.27,10,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
11,2024.09.27,11,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-50,0.00%,3SX NS-1,-100,2,They missed double,+1,
12,2024.09.27,12,EPBot1,EPBot3,EPBot2,EPBot4,3C S -1,-100,0.00%,1S EW+2,-140,1,We overbid - undoubled,+1,
13,2024.09.27,13,EPBot1,EPBot3,EPBot2,EPBot4,5S S =,650,0.00%,4S NS+1,650,0,Par was bid,-,
14,2024.09.27,14,EPBot1,EPBot3,EPBot2,EPBot4,3C N +1,130,0.00%,5DX NS-2,-300,10,They missed game,+2,
15,2024.09.27,15,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N NS+1,630,0,Par was bid,-,
16,2024.09.27,16,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS+1,430,-1,Par was bid,-1,
17,2024.09.27,17,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-50,0.00%,2H EW,-110,2,They missed partial,-,
18,2024.09.27,18,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,6HX EW-5,1100,-10,We missed small slam,+1,
19,2024.09.27,19,EPBot1,EPBot3,EPBot2,EPBot4,2H W =,-110,0.00%,3D S,110,-6,We missed partial,-,
20,2024.09.27,20,EPBot1,EPBot3,EPBot2,EPBot4,2S S +1,140,0.00%,4S NS+1,650,-11,We missed game,-2,
21,2024.09.27,21,EPBot1,EPBot3,EPBot2,EPBot4,5H N -1,-100,0.00%,5CX EW-3,500,-12,We overbid - undoubled,-,
