#,Date,Board,North,South,East,West,EPBot1 Result,EPBot1 Score, IMPs  or MPs,Par Result, EPBot1  Par Score,Vs. Par,DD Bidding,DD Play,
1,2024.09.29,1,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,3N S+2,460,-1,We missed best contract,-,
2,2024.09.29,2,EPBot1,EPBot3,EPBot2,EPBot4,4S W -1,50,0.00%,3S EW,-140,5,They overbid - undoubled,-,
3,2024.09.29,3,EPBot1,EPBot3,EPBot2,EPBot4,4S E +1,-650,0.00%,5S EW,-650,0,We missed sacrifice,-,
4,2024.09.29,4,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,3N NS+2,660,0,Par was bid,-,
5,2024.09.29,5,EPBot1,EPBot3,EPBot2,EPBot4,4DX W -2,300,0.00%,3S NS,140,4,They overbid - doubled,-,
6,2024.09.29,6,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,3H NS,140,-2,We missed best contract,-,
7,2024.09.29,7,EPBot1,EPBot3,EPBot2,EPBot4,1N S +2,150,0.00%,5D NS,600,-10,We missed game,-,
8,2024.09.29,8,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
9,2024.09.29,9,EPBot1,EPBot3,EPBot2,EPBot4,3N S -2,-100,0.00%,5C NS,400,-11,We missed game,-,
10,2024.09.29,10,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
11,2024.09.29,11,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-100,0.00%,3SX NS-1,-100,0,They missed double,-,
12,2024.09.29,12,EPBot1,EPBot3,EPBot2,EPBot4,3C S -2,-200,0.00%,1S EW+2,-140,-2,We overbid - undoubled,-,
13,2024.09.29,13,EPBot1,EPBot3,EPBot2,EPBot4,5S S =,650,0.00%,4S NS+1,650,0,Par was bid,-,
14,2024.09.29,14,EPBot1,EPBot3,EPBot2,EPBot4,3C N -1,-50,0.00%,5DX NS-2,-300,6,They missed game,-,
15,2024.09.29,15,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N NS+1,630,0,Par was bid,-,
16,2024.09.29,16,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
17,2024.09.29,17,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-50,0.00%,2H EW,-110,2,They missed partial,-,
18,2024.09.29,18,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,6HX EW-5,1100,-10,We missed small slam,-,
19,2024.09.29,19,EPBot1,EPBot3,EPBot2,EPBot4,2H W =,-110,0.00%,3D S,110,-6,We missed partial,-,
20,2024.09.29,20,EPBot1,EPBot3,EPBot2,EPBot4,2S S +3,200,0.00%,4S NS+1,650,-10,We missed game,-,
21,2024.09.29,21,EPBot1,EPBot3,EPBot2,EPBot4,5H N -1,-100,0.00%,5CX EW-3,500,-12,We overbid - undoubled,-,
22,2024.09.29,22,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,1N NS,90,0,Par was bid,-,
23,2024.09.29,23,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,2N NS,120,0,They missed partial,-,
24,2024.09.29,24,EPBot1,EPBot3,EPBot2,EPBot4,3D S +2,150,0.00%,4S NS+1,450,-7,We missed game,-,
25,2024.09.29,25,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,4S NS,420,0,Par was bid,-,
26,2024.09.29,26,EPBot1,EPBot3,EPBot2,EPBot4,4S S +3,710,0.00%,7S NS,2210,-17,We missed grand slam,-,
27,2024.09.29,27,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,1N NS+1,120,0,Par was bid,-,
28,2024.09.29,28,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-200,0.00%,1S EW+2,-140,-2,We overbid - undoubled,-,
29,2024.09.29,29,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,1S NS+2,140,-1,We missed best contract,-,
30,2024.09.29,30,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
31,2024.09.29,31,EPBot1,EPBot3,EPBot2,EPBot4,5H S +2,710,0.00%,7N NS,2220,-17,We missed grand slam,-,
32,2024.09.29,32,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
33,2024.09.29,33,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
34,2024.09.29,34,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,7HX EW-5,1100,-10,We missed small slam,-,
35,2024.09.29,35,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,4S NS,420,0,Par was bid,-,
36,2024.09.29,36,EPBot1,EPBot3,EPBot2,EPBot4,6N S =,1440,0.00%,6N NS,1440,0,Par was bid,-,
37,2024.09.29,37,EPBot1,EPBot3,EPBot2,EPBot4,4S S -1,-100,0.00%,4CX EW-3,500,-12,We overbid - undoubled,-,
38,2024.09.29,38,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
39,2024.09.29,39,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,680,0.00%,7CX EW-5,1400,-12,We missed small slam,-,
40,2024.09.29,40,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,6C NS,920,-10,We missed small slam,-,
41,2024.09.29,41,EPBot1,EPBot3,EPBot2,EPBot4,1N S =,90,0.00%,1N S,90,0,Par was bid,-,
42,2024.09.29,42,EPBot1,EPBot3,EPBot2,EPBot4,1N S -1,-100,0.00%,3H NS,140,-6,We missed partial,-,
43,2024.09.29,43,EPBot1,EPBot3,EPBot2,EPBot4,2N S -2,-100,0.00%,4C NS,130,-6,We missed partial,-,
44,2024.09.29,44,EPBot1,EPBot3,EPBot2,EPBot4,2H S +1,140,0.00%,3N NS+1,630,-10,We missed game,-,
45,2024.09.29,45,EPBot1,EPBot3,EPBot2,EPBot4,3C S +1,130,0.00%,3N N+1,630,-11,We missed game,-,
46,2024.09.29,46,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,4H NS+1,450,-2,We missed best contract,-,
47,2024.09.29,47,EPBot1,EPBot3,EPBot2,EPBot4,3N S +3,690,0.00%,6N NS,1440,-13,We missed small slam,-,
48,2024.09.29,48,EPBot1,EPBot3,EPBot2,EPBot4,6C N -1,-50,0.00%,6C S,920,-14,We wrong-side contract,-,
49,2024.09.29,49,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N N+2,460,-1,We wrong-side contract,-,
50,2024.09.29,50,EPBot1,EPBot3,EPBot2,EPBot4,1N S +1,120,0.00%,5C NS,600,-10,We missed game,-,
51,2024.09.29,51,EPBot1,EPBot3,EPBot2,EPBot4,4SX E -2,500,0.00%,3D NS+1,130,9,They overbid - doubled,-,
52,2024.09.29,52,EPBot1,EPBot3,EPBot2,EPBot4,5D W -1,100,0.00%,3C EW+1,-130,6,They overbid - undoubled,-,
53,2024.09.29,53,EPBot1,EPBot3,EPBot2,EPBot4,2S S =,110,0.00%,3C EW,-110,6,They missed partial,-,
54,2024.09.29,54,EPBot1,EPBot3,EPBot2,EPBot4,2S E +1,-140,0.00%,4C NS,130,-7,We missed partial,-,
55,2024.09.29,55,EPBot1,EPBot3,EPBot2,EPBot4,1N S -2,-200,0.00%,1S EW+2,-140,-2,We overbid - undoubled,-,
56,2024.09.29,56,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-50,0.00%,3H NS,140,-5,We overbid - undoubled,-,
57,2024.09.29,57,EPBot1,EPBot3,EPBot2,EPBot4,2N S -1,-50,0.00%,1H NS+2,140,-5,We missed partial,-,
58,2024.09.29,58,EPBot1,EPBot3,EPBot2,EPBot4,2S S -1,-100,0.00%,2C EW,-90,0,We overbid - undoubled,-,
59,2024.09.29,59,EPBot1,EPBot3,EPBot2,EPBot4,3S E =,-140,0.00%,4CX NS-1,-100,-1,We missed sacrifice,-,
