#,Date,Board,North,South,East,West,**South** Result,**South** Score, IMPs  or MPs,Par Result, **South**  Par Score,Vs. Par,DD Bidding,DD Play,
1,2024.09.26,1,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,4S NS,420,0,We missed game,+2,
2,2024.09.26,2,EPBot1,EPBot3,EPBot2,EPBot4,6H N =,1430,0.00%,6H NS,1430,0,Par was bid,-,
3,2024.09.26,3,EPBot1,EPBot3,EPBot2,EPBot4,5H N =,450,0.00%,6H NS,980,-11,We missed small slam,-1,
4,2024.09.26,4,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,6D NS,1370,-12,We missed small slam,-,
5,2024.09.26,5,EPBot1,EPBot3,EPBot2,EPBot4,4H N +2,680,0.00%,6N S,1440,-13,We missed small slam,+1,
6,2024.09.26,6,EPBot1,EPBot3,EPBot2,EPBot4,3N N =,400,0.00%,3N N,400,0,Par was bid,-,
7,2024.09.26,7,EPBot1,EPBot3,EPBot2,EPBot4,3N N +2,660,0.00%,6N NS,1440,-13,We missed small slam,-1,
8,2024.09.26,8,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+2,460,-1,Par was bid,-1,
9,2024.09.26,9,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,4S NS,420,0,We missed best contract,+1,
10,2024.09.26,10,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,4H NS,620,0,We missed best contract,+1,
11,2024.09.26,11,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,1H NS+2,140,7,We missed partial,+2,
12,2024.09.26,12,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,3N NS+2,660,-1,We missed best contract,-1,
13,2024.09.26,13,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
14,2024.09.26,14,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,6D NS,920,-10,We missed small slam,+2,
15,2024.09.26,15,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,3N S+1,630,0,We missed game,+1,
16,2024.09.26,16,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,6N N,990,-11,We missed small slam,-2,
17,2024.09.26,17,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,3N NS+2,460,0,Par was bid,-,
18,2024.09.26,18,EPBot1,EPBot3,EPBot2,EPBot4,5H N +1,680,0.00%,6H NS,1430,-13,We missed small slam,-,
19,2024.09.26,19,EPBot1,EPBot3,EPBot2,EPBot4,6D S -1,-50,0.00%,4S N+1,450,-11,We overbid - undoubled,+1,
20,2024.09.26,20,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,4S NS+1,650,-1,We missed best contract,-,
21,2024.09.26,21,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,6H NS,1430,-13,We missed small slam,+1,
22,2024.09.26,22,EPBot1,EPBot3,EPBot2,EPBot4,6D S =,920,0.00%,6N NS,990,-2,We missed best contract,-,
23,2024.09.26,23,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,4H NS+1,650,-2,We missed best contract,-,
24,2024.09.26,24,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,6S NS,980,-11,We missed small slam,-1,
25,2024.09.26,25,EPBot1,EPBot3,EPBot2,EPBot4,4S S +2,480,0.00%,6S NS,980,-11,We missed small slam,-,
26,2024.09.26,26,EPBot1,EPBot3,EPBot2,EPBot4,6H N +1,1460,0.00%,7N NS,2220,-13,We missed grand slam,-,
27,2024.09.26,27,EPBot1,EPBot3,EPBot2,EPBot4,6H N =,980,0.00%,6H NS,980,0,Par was bid,-,
28,2024.09.26,28,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N NS+1,630,0,Par was bid,-,
29,2024.09.26,29,EPBot1,EPBot3,EPBot2,EPBot4,4S N +2,680,0.00%,4S NS+1,650,1,Par was bid,+1,
30,2024.09.26,30,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,3N NS+2,460,-1,Par was bid,-1,
31,2024.09.26,31,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N S+2,660,-1,Par was bid,-1,
32,2024.09.26,32,EPBot1,EPBot3,EPBot2,EPBot4,5D S =,400,0.00%,4S NS+1,450,-2,We missed best contract,-,
33,2024.09.26,33,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,6S NS,980,-11,We missed small slam,-1,
34,2024.09.26,34,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
35,2024.09.26,35,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,7D NS,1440,-14,We missed grand slam,-2,
36,2024.09.26,36,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,7C NS,2140,-17,We missed grand slam,-2,
37,2024.09.26,37,EPBot1,EPBot3,EPBot2,EPBot4,4S N +1,650,0.00%,4H NS,620,1,Par was bid,+1,
38,2024.09.26,38,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,6N NS,990,-11,We missed small slam,-2,
39,2024.09.26,39,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N S+1,630,0,Par was bid,-,
40,2024.09.26,40,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,4H NS+1,450,-1,We missed best contract,-,
41,2024.09.26,41,EPBot1,EPBot3,EPBot2,EPBot4,3N N =,400,0.00%,3N N+1,430,-1,Par was bid,-1,
42,2024.09.26,42,EPBot1,EPBot3,EPBot2,EPBot4,5C S =,600,0.00%,3N S,600,0,Par was bid,-,
43,2024.09.26,43,EPBot1,EPBot3,EPBot2,EPBot4,6N S -1,-50,0.00%,3N NS+2,460,-11,We overbid - undoubled,-,
44,2024.09.26,44,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N NS,600,0,Par was bid,-,
45,2024.09.26,45,EPBot1,EPBot3,EPBot2,EPBot4,4H N +1,650,0.00%,3N NS+2,660,0,We missed best contract,-,
46,2024.09.26,46,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,6N NS,990,-11,We missed small slam,-2,
47,2024.09.26,47,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,3N NS+1,630,1,Par was bid,+1,
48,2024.09.26,48,EPBot1,EPBot3,EPBot2,EPBot4,5S N +1,480,0.00%,6N N,990,-11,We missed small slam,+1,
49,2024.09.26,49,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N N+1,430,0,We wrong-side contract,+1,
50,2024.09.26,50,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,3N N+1,630,-1,We wrong-side contract,-,
51,2024.09.26,51,EPBot1,EPBot3,EPBot2,EPBot4,4S N +1,450,0.00%,4S NS+1,450,0,Par was bid,-,
52,2024.09.26,52,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N S,600,1,Par was bid,+1,
53,2024.09.26,53,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N N+1,630,0,We wrong-side contract,+1,
54,2024.09.26,54,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,4H NS+1,450,-1,We missed best contract,+1,
55,2024.09.26,55,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,630,0.00%,4H NS+1,650,-1,We missed best contract,-,
56,2024.09.26,56,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
57,2024.09.26,57,EPBot1,EPBot3,EPBot2,EPBot4,3N N =,400,0.00%,4H N,420,-1,We missed best contract,-,
58,2024.09.26,58,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,4H NS+1,650,-2,We missed best contract,-1,
59,2024.09.26,59,EPBot1,EPBot3,EPBot2,EPBot4,3N S +3,490,0.00%,7H NS,1510,-14,We missed grand slam,-,
60,2024.09.26,60,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N NS+2,660,-1,Par was bid,-1,
61,2024.09.26,61,EPBot1,EPBot3,EPBot2,EPBot4,5S N =,650,0.00%,4S NS+1,650,0,Par was bid,-,
62,2024.09.26,62,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,6C NS,920,-10,We missed small slam,-,
63,2024.09.26,63,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,600,0.00%,4H NS,620,-1,We missed best contract,-,
64,2024.09.26,64,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,6C NS,920,-10,We missed small slam,-,
65,2024.09.26,65,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,4H NS,420,1,Par was bid,+1,
66,2024.09.26,66,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,630,0.00%,3N NS,600,1,Par was bid,+1,
67,2024.09.26,67,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,4H NS+1,450,0,Par was bid,-,
68,2024.09.26,68,EPBot1,EPBot3,EPBot2,EPBot4,4S N =,620,0.00%,3N NS+2,660,-1,We missed best contract,-1,
69,2024.09.26,69,EPBot1,EPBot3,EPBot2,EPBot4,3N N =,600,0.00%,3N NS+1,630,-1,Par was bid,-1,
70,2024.09.26,70,EPBot1,EPBot3,EPBot2,EPBot4,3N N +2,460,0.00%,7N NS,1520,-14,We missed grand slam,-2,
71,2024.09.26,71,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,4H NS+1,650,-1,We missed best contract,-,
72,2024.09.26,72,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,6C NS,920,-10,We missed small slam,-1,
73,2024.09.26,73,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,6N NS,990,-11,We missed small slam,-2,
74,2024.09.26,74,EPBot1,EPBot3,EPBot2,EPBot4,6C S +1,1390,0.00%,7HX EW-7,2000,-12,We missed grand slam,-,
75,2024.09.26,75,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
76,2024.09.26,76,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,650,0.00%,4H NS+1,650,0,Par was bid,-,
77,2024.09.26,77,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,4S N+1,650,-1,We missed best contract,-,
78,2024.09.26,78,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS,400,0,Par was bid,-,
79,2024.09.26,79,EPBot1,EPBot3,EPBot2,EPBot4,4S N +1,650,0.00%,4S NS,620,1,Par was bid,+1,
80,2024.09.26,80,EPBot1,EPBot3,EPBot2,EPBot4,5C S =,400,0.00%,6C NS,920,-11,We missed small slam,-1,
81,2024.09.26,81,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,480,0.00%,6H NS,980,-11,We missed small slam,-,
82,2024.09.26,82,EPBot1,EPBot3,EPBot2,EPBot4,4S S -1,-100,0.00%,6N NS,1440,-17,We missed small slam,-2,
83,2024.09.26,83,EPBot1,EPBot3,EPBot2,EPBot4,3N S =,400,0.00%,3N NS,400,0,Par was bid,-,
84,2024.09.26,84,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,4H NS+1,650,-1,We missed best contract,-,
85,2024.09.26,85,EPBot1,EPBot3,EPBot2,EPBot4,6D S =,1370,0.00%,6H S,1430,-2,We missed best contract,-,
86,2024.09.26,86,EPBot1,EPBot3,EPBot2,EPBot4,6H N =,980,0.00%,7N NS,1520,-11,We missed grand slam,-1,
87,2024.09.26,87,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,630,0.00%,3N NS+2,660,-1,Par was bid,-1,
88,2024.09.26,88,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,6S NS,980,-11,We missed small slam,-1,
89,2024.09.26,89,EPBot1,EPBot3,EPBot2,EPBot4,3N N +1,430,0.00%,3N NS+1,430,0,Par was bid,-,
90,2024.09.26,90,EPBot1,EPBot3,EPBot2,EPBot4,3N N =,600,0.00%,3N N+1,630,-1,Par was bid,-1,
91,2024.09.26,91,EPBot1,EPBot3,EPBot2,EPBot4,4S N +1,450,0.00%,4S NS+1,450,0,Par was bid,-,
92,2024.09.26,92,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,3N NS+1,630,0,Par was bid,-,
93,2024.09.26,93,EPBot1,EPBot3,EPBot2,EPBot4,4S N +1,650,0.00%,4S NS+1,650,0,Par was bid,-,
94,2024.09.26,94,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,4S NS+1,450,-1,We missed best contract,-,
95,2024.09.26,95,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,630,0.00%,6D NS,1370,-12,We missed small slam,-,
96,2024.09.26,96,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,6H NS,980,-11,We missed small slam,-,
97,2024.09.26,97,EPBot1,EPBot3,EPBot2,EPBot4,3N S +1,430,0.00%,4H NS+1,450,-1,We missed best contract,-,
98,2024.09.26,98,EPBot1,EPBot3,EPBot2,EPBot4,4H N +1,650,0.00%,4H NS+1,650,0,Par was bid,-,
99,2024.09.26,99,EPBot1,EPBot3,EPBot2,EPBot4,6H N -1,-50,0.00%,6N S,990,-14,We missed small slam,-,
100,2024.09.26,100,EPBot1,EPBot3,EPBot2,EPBot4,6S S =,1430,0.00%,6S NS,1430,0,Par was bid,-,
101,2024.09.26,101,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,660,0.00%,6N NS,1440,-13,We missed small slam,-1,
102,2024.09.26,102,EPBot1,EPBot3,EPBot2,EPBot4,3N S +2,460,0.00%,6C NS,920,-10,We missed small slam,+1,
