#,Date,Board,North,South,East,West,**South** Result,**South** Score, IMPs  or MPs,Par Result, **South**  Par Score,Vs. Par,DD Bidding,DD Play,
1,2024.09.25,1,EPBot1,EPBot3,EPBot2,EPBot4,5HX S =,650,0.00%,4HX NS-1,-100,13,We overbid - doubled,+2,
2,2024.09.25,2,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-100,0.00%,3D W+1,-130,1,We overbid - undoubled,+1,
3,2024.09.25,3,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,480,0.00%,7CX EW-3,800,-8,We missed small slam,-,
4,2024.09.25,4,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,680,0.00%,6SX EW-3,800,-3,We missed small slam,-,
5,2024.09.25,5,EPBot1,EPBot3,EPBot2,EPBot4,5H E -1,50,0.00%,5S NS,650,-12,We missed game,-2,
6,2024.09.25,6,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,5HX NS-3,-500,14,They missed game,+2,
7,2024.09.25,7,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,5DX EW-2,500,3,They missed sacrifice,-,
8,2024.09.25,8,EPBot1,EPBot3,EPBot2,EPBot4,5D E -1,50,0.00%,4HX NS-1,-100,4,They overbid - undoubled,-,
9,2024.09.25,9,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,480,0.00%,6H NS,980,-11,We missed small slam,-,
10,2024.09.25,10,EPBot1,EPBot3,EPBot2,EPBot4,5HX W -1,200,0.00%,4S NS,620,-9,They overbid - doubled,-2,
11,2024.09.25,11,EPBot1,EPBot3,EPBot2,EPBot4,5H E +1,-480,0.00%,4SX NS-2,-300,-5,They overbid - undoubled,-2,
12,2024.09.25,12,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-100,0.00%,4S EW,-420,8,They missed game,-,
13,2024.09.25,13,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,4D EW,-130,13,They missed double,+2,
14,2024.09.25,14,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,7HX EW-4,800,-8,We missed small slam,-1,
15,2024.09.25,15,EPBot1,EPBot3,EPBot2,EPBot4,5D E -1,50,0.00%,4SX EW-1,100,-2,We missed double,-,
16,2024.09.25,16,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,4SX EW-1,200,6,They missed sacrifice,+1,
17,2024.09.25,17,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,5DX EW-2,300,3,They missed sacrifice,-,
18,2024.09.25,18,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,4S EW,-420,14,They missed game,+1,
19,2024.09.25,19,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,2S NS+1,140,7,We overbid - undoubled,+1,
20,2024.09.25,20,EPBot1,EPBot3,EPBot2,EPBot4,4SX E =,-790,0.00%,4SX EW-1,200,-14,Par was bid,-1,
21,2024.09.25,21,EPBot1,EPBot3,EPBot2,EPBot4,4H S -2,-200,0.00%,4HX NS-1,-200,0,They missed double,-1,
22,2024.09.25,22,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,4NX EW-1,200,6,We wrong-side contract,+2,
23,2024.09.25,23,EPBot1,EPBot3,EPBot2,EPBot4,6H E -1,100,0.00%,3N E+2,-660,13,They overbid - undoubled,-,
24,2024.09.25,24,EPBot1,EPBot3,EPBot2,EPBot4,5DX W =,-550,0.00%,5SX NS-2,-300,-6,We doubled making contract,-,
25,2024.09.25,25,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-50,0.00%,6HX NS-4,-800,13,They missed small slam,+1,
26,2024.09.25,26,EPBot1,EPBot3,EPBot2,EPBot4,5C S =,600,0.00%,5HX EW-1,200,9,They missed sacrifice,-,
27,2024.09.25,27,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,3NX E-1,100,8,We overbid - undoubled,+1,
28,2024.09.25,28,EPBot1,EPBot3,EPBot2,EPBot4,3HX S =,730,0.00%,3N EW,-400,15,We overbid - doubled,+2,
29,2024.09.25,29,EPBot1,EPBot3,EPBot2,EPBot4,5DX E +1,-950,0.00%,5HX NS-1,-200,-13,We doubled making contract,-1,
30,2024.09.25,30,EPBot1,EPBot3,EPBot2,EPBot4,5SX S -1,-100,0.00%,5DX EW-1,100,-5,We overbid - doubled,-,
31,2024.09.25,31,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,4SX EW-1,100,11,They missed sacrifice,-,
32,2024.09.25,32,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,4H NS+1,450,0,Par was bid,-,
33,2024.09.25,33,EPBot1,EPBot3,EPBot2,EPBot4,4SX S -1,-100,0.00%,5SX NS-2,-300,5,They missed game,-,
34,2024.09.25,34,EPBot1,EPBot3,EPBot2,EPBot4,3C W =,-110,0.00%,5D EW,-400,7,They missed game,+1,
35,2024.09.25,35,EPBot1,EPBot3,EPBot2,EPBot4,5H E =,-650,0.00%,6SX NS-3,-500,-4,We missed sacrifice,+1,
36,2024.09.25,36,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,5S EW,-650,15,They missed game,+1,
37,2024.09.25,37,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,5SX NS-1,-200,13,They missed game,-,
38,2024.09.25,38,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,4H NS,420,0,Par was bid,-,
39,2024.09.25,39,EPBot1,EPBot3,EPBot2,EPBot4,5SX E =,-850,0.00%,5NX NS-2,-500,-8,We doubled making contract,-,
40,2024.09.25,40,EPBot1,EPBot3,EPBot2,EPBot4,4H S -2,-100,0.00%,4C EW,-130,1,They missed double,-,
41,2024.09.25,41,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,5HX NS-1,-100,11,They missed game,+1,
42,2024.09.25,42,EPBot1,EPBot3,EPBot2,EPBot4,4S S +3,710,0.00%,6N N,1440,-12,We missed small slam,+1,
43,2024.09.25,43,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-50,0.00%,4HX NS-1,-100,2,They missed double,-,
44,2024.09.25,44,EPBot1,EPBot3,EPBot2,EPBot4,5CX S -1,-200,0.00%,7CX NS-3,-800,12,They missed small slam,-,
45,2024.09.25,45,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,650,0.00%,5SX NS-1,-200,13,They missed game,+1,
46,2024.09.25,46,EPBot1,EPBot3,EPBot2,EPBot4,4H S -2,-100,0.00%,3N EW+1,-430,8,They missed double,+2,
47,2024.09.25,47,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,5H NS,650,0,They missed sacrifice,-,
48,2024.09.25,48,EPBot1,EPBot3,EPBot2,EPBot4,4S E +1,-650,0.00%,7HX NS-6,-1400,13,They missed small slam,+1,
49,2024.09.25,49,EPBot1,EPBot3,EPBot2,EPBot4,4S E +2,-480,0.00%,6N EW,-990,11,They missed small slam,-,
50,2024.09.25,50,EPBot1,EPBot3,EPBot2,EPBot4,4H E -2,100,0.00%,3N EW+2,-460,11,They missed game,+1,
51,2024.09.25,51,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,5NX NS-2,-300,13,They missed game,+1,
52,2024.09.25,52,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,650,0.00%,5HX NS-1,-200,13,They missed game,+1,
53,2024.09.25,53,EPBot1,EPBot3,EPBot2,EPBot4,5HX E -1,100,0.00%,5HX EW-1,100,0,Par was bid,-,
54,2024.09.25,54,EPBot1,EPBot3,EPBot2,EPBot4,4S S -1,-50,0.00%,3S NS,140,-5,We overbid - undoubled,-,
55,2024.09.25,55,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,4SX EW-1,200,9,They missed sacrifice,-,
56,2024.09.25,56,EPBot1,EPBot3,EPBot2,EPBot4,5H E -1,50,0.00%,3S NS,140,-3,They overbid - undoubled,-2,
57,2024.09.25,57,EPBot1,EPBot3,EPBot2,EPBot4,4SX S +1,690,0.00%,6CX EW-1,200,10,They doubled making contract,-,
58,2024.09.25,58,EPBot1,EPBot3,EPBot2,EPBot4,5D W =,-600,0.00%,5SX NS-2,-500,-3,They wrong-side contract,-1,
59,2024.09.25,59,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,5SX NS-1,-100,11,They missed game,-,
60,2024.09.25,60,EPBot1,EPBot3,EPBot2,EPBot4,4S S +2,680,0.00%,4S NS+1,650,1,Par was bid,+1,
61,2024.09.25,61,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-100,0.00%,2H NS+1,140,-6,We overbid - undoubled,-,
62,2024.09.25,62,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-50,0.00%,3H NS,140,-5,We overbid - undoubled,-,
63,2024.09.25,63,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,3S EW,-140,13,They missed double,+1,
64,2024.09.25,64,EPBot1,EPBot3,EPBot2,EPBot4,5SX E =,-850,0.00%,6HX NS-1,-100,-13,We doubled making contract,-,
65,2024.09.25,65,EPBot1,EPBot3,EPBot2,EPBot4,5SX S -1,-100,0.00%,5CX EW-2,300,-9,We overbid - doubled,-,
66,2024.09.25,66,EPBot1,EPBot3,EPBot2,EPBot4,4S E =,-420,0.00%,5HX NS-1,-200,-6,We missed sacrifice,-,
67,2024.09.25,67,EPBot1,EPBot3,EPBot2,EPBot4,4S E +2,-680,0.00%,6HX NS-4,-800,3,They missed small slam,-1,
68,2024.09.25,68,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,650,0.00%,5S NS,650,0,They missed sacrifice,-,
69,2024.09.25,69,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,2N EW,-120,12,We overbid - undoubled,+2,
70,2024.09.25,70,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,3N NS+2,460,0,We missed best contract,-,
71,2024.09.25,71,EPBot1,EPBot3,EPBot2,EPBot4,4S S +2,680,0.00%,6CX EW-2,500,5,They missed sacrifice,+1,
72,2024.09.25,72,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,450,0.00%,4S NS+1,450,0,Par was bid,-,
73,2024.09.25,73,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,6HX NS-2,-300,12,They missed game,-,
74,2024.09.25,74,EPBot1,EPBot3,EPBot2,EPBot4,4H S +2,680,0.00%,7CX EW-4,1100,-9,We missed small slam,+1,
75,2024.09.25,75,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,420,0.00%,4HX NS-1,-100,11,They missed double,+1,
76,2024.09.25,76,EPBot1,EPBot3,EPBot2,EPBot4,5C E =,-400,0.00%,5C EW,-400,0,Par was bid,-,
77,2024.09.25,77,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,620,0.00%,2S NS+1,140,10,We overbid - undoubled,+1,
78,2024.09.25,78,EPBot1,EPBot3,EPBot2,EPBot4,4SX S -3,-500,0.00%,3N EW+2,-460,-1,We overbid - doubled,-,
79,2024.09.25,79,EPBot1,EPBot3,EPBot2,EPBot4,4S E +2,-480,0.00%,5S EW,-450,-1,We missed sacrifice,-1,
80,2024.09.25,80,EPBot1,EPBot3,EPBot2,EPBot4,3N W =,-600,0.00%,6HX NS-3,-500,-3,We missed sacrifice,+2,
81,2024.09.25,81,EPBot1,EPBot3,EPBot2,EPBot4,4H S -1,-50,0.00%,5C EW,-400,8,They missed game,+1,
82,2024.09.25,82,EPBot1,EPBot3,EPBot2,EPBot4,4SX S =,790,0.00%,3NX EW-1,100,12,We overbid - doubled,+1,
83,2024.09.25,83,EPBot1,EPBot3,EPBot2,EPBot4,4H S +1,450,0.00%,4H NS+1,450,0,Par was bid,-,
84,2024.09.25,84,EPBot1,EPBot3,EPBot2,EPBot4,4S S +1,650,0.00%,5NX EW-1,200,10,They missed game,-,
85,2024.09.25,85,EPBot1,EPBot3,EPBot2,EPBot4,5D E -1,50,0.00%,3N W+1,-430,10,They overbid - undoubled,-1,
86,2024.09.25,86,EPBot1,EPBot3,EPBot2,EPBot4,4S S =,420,0.00%,4S NS,420,0,Par was bid,-,
87,2024.09.25,87,EPBot1,EPBot3,EPBot2,EPBot4,4H S =,620,0.00%,4SX EW-1,200,9,They missed sacrifice,-,
