/Users/adavidbailey/Practice-Bidding-Scenarios/bba/Game_Overcalls.pbn
board declarer contract score  par     | notes
    2     S      5HX      650         | 
    1     S       4H     -100         | 
    2     S       4H      480         | 
    3     S       4H      680         | 
    4     E       5H       50         | 
    5     S       4H      420         | 
    6     S       4S      620         | 
    7     E       5D       50         | 
    8     S       4H      480         | 
    9     W      5HX      200         | 
   10     E       5H     -480         | 
   11     S       4H     -100         | 
   12     S       4H      650         | 
   13     S       4S      450         | 
   14     E       5D       50         | 
   15     S       4H      450         | 
   16     S       4S      420         | 
   17     S       4H      620         | 
   18     S       4S      420         | 
   19     E      4SX     -790         | 
   20     S       4H     -200         | 
   21     S       4S      450         | 
   22     E       6H      100         | Blackwood 0314, for !h
   23     W      5DX     -550         | 1x-(y)-2z forcing
   24     S       4H      -50         | 
   25     S       5C      600         | 
   26     S       4S      420         | 
   27     S      3HX      730         | 
   28     E      5DX     -950         | 
   29     S      5SX     -100         | 
   30     S       4H      620         | 
   31     S       4H      450         | 
   32     S      4SX     -100         | 
   33     W       3C     -110         | 1x-(y)-2z forcing
   34     E       5H     -650         | 
   35     S       4H      620         | 
   36     S       4S      620         | 
   37     S       4H      420         | 
   38     E      5SX     -850         | 
   39     S       4H     -100         | 
   40     S       4H      450         | 
   41     S       4S      710         | Limit raise or better in !s
   42     S       4H      -50         | 
   43     S      5CX     -200         | 
   44     S       4S      650         | 
   45     S       4H     -100         | 
   46     S       4H      650         | 
   47     E       4S     -650         | 
   48     E       4S     -480         | Limit raise or better in !s
   49     E       4H      100         | 
   50     S       4H      450         | 
   51     S       4H      650         | 
   52     E      5HX      100         | Limit raise or better in !h
   53     S       4S      -50         | 
   54     S       4H      620         | 
   55     E       5H       50         | 
   56     S      4SX      690         | 
   57     W       5D     -600         | 
   58     S       4S      420         | 
   59     S       4S      680         | 
   60     S       4H     -100         | 
   61     S       4H      -50         | 
   62     S       4H      620         | 
   63     E      5SX     -850         | 
   64     S      5SX     -100         | 
   65     E       4S     -420         | Limit raise or better in !s
   66     E       4S     -680         | 
   67     S       4S      650         | 
   68     S       4S      620         | 
   69     S       4H      450         | 
   70     S       4S      680         | 
   71     S       4S      450         | 
   72     S       4H      420         | 
   73     S       4H      680         | 
   74     S       4H      420         | 
   75     E       5C     -400         | 
   76     S       4S      620         | 
   77     S      4SX     -500         | 
   78     E       4S     -480         | 
   79     W       3N     -600         | 
   80     S       4H      -50         | 
   81     S      4SX      790         | 
   82     S       4H      450         | 
   83     S       4S      650         | 
   84     E       5D       50         | 
   85     S       4S      420         | 
   86     S       4H      620         | 
   87     S       4S      450         | 
   88     S       4S      -50         | 
   89     S       4S      650         | 
   90     S       4H      -50         | 
   91     W      6DX      100         | 
   92     S       4S      650         | 
   93     S       5C      400         | 
   94     S       4S     -200         | 
   95     S       4H      -50         | 
   96     S       5S      450         | 1x-(y)-2z forcing
   97     S       4H     -100         | 
   98     S       4H      420         | 
   99     E       5H     -650         | 
  100     S       4H      650         | 
  101     N      5HX      750         | Michaels cuebid
  102     S       4S      650         | 
  103     S       4S      -50         | 
  104     S       4S      420         | 
  105     S      4SX     -500         | 
  106     S       4S      420         | 
  107     S       4S     -100         | 
  108     S       5H     -300         | 
  109     S       4S      420         | 
  110     S       4H     -100         | 
  111     S       4H      420         | 
  112     E       4S     -450         | Limit raise or better in !s
  113     S       4H      620         | 
  114     S       4S      -50         | 
  115     W       4S     -650         | 
  116     S       4H      620         | 
  117     W       5D     -600         | 
  118     S       4S     -100         | 
  119     E       5D     -400         | 
  120     S      5SX      650         | 
  121     E       5H     -650         | 
  122     E       5C     -420         | 
  123     W       6H       50         | 
  124     S       4H      650         | 
  125     S       4S      450         | 
  126     S       4S     -200         | 
  127     E      5DX      200         | 
  128     S       4H      450         | 
  129     S       3S      170         | 
  130     S       4H      -50         | 
  131     S       4H      650         | 
  132     S       4H      680         | 
  133     S       4H      420         | 
  134     S       4H      620         | 
  135     S       4S      450         | 
  136     S       4S      420         | 
  137     S      4SX      790         | Limit raise or better in !h
  138     S       4H      480         | 
  139     E       4S     -420         | Limit raise or better in !s
  140     S       4H      650         | 
  141     S       4H      480         | 
  142     S       4S      620         | 
  143     S       4S      -50         | 
  144     S       4S      480         | 
  145     S       4S      620         | 
  146     S       4H      420         | 
  147     S       4S      650         | 
  148     E       5C     -420         | 
  149     S       4S      420         | 
  150     S       4S      680         | 
  151     S       4H      420         | 
  152     E       4S      100         | 
  153     E       5H      100         | 
  154     S       4S      450         | 
  155     E       5C     -400         | 
  156     S       4H      620         | 
  157     S      5HX     -100         | 
  158     W       4S     -450         | 
  159     S       4H      420         | 
  160     S       4S     -100         | 
  161     S       4S     -200         | 
  162     S       4H      420         | 
  163     S      3SX      930         | 
  164     S       4S      650         | 
  165     S       4H      450         | 
  166     E       5H      200         | 
  167     S       4H      420         | 
  168     S       4S      420         | 
  169     S      4SX     -200         | 
  170     S       4H     -100         | 
  171     S      4SX     -200         | 
  172     S       7H     2210         | Blackwood 0314, for !h | King ask by 5nt
