/Users/adavidbailey/Practice-Bidding-Scenarios/bba/Rule_of_16_17.pbn
board declarer contract score  par     | notes
    1     N       3N      400         | 
    2     N       2N      150         | 
    3     N       2N      120         | Stayman
    4     N       2N      150         | Stayman
    5     N       2N     -100         | Stayman
    6     N       2N      -50         | 
    7     N       3S      140         | Stayman
    8     N       4H      -50         | Stayman
    9     N       2N      150         | Stayman
   10     N       2N      120         | 
   11     N       3N      -50         | Stayman
   12     N       3N      600         | 
   13     N       3N     -100         | 
   14     N       2N      120         | Stayman
   15     N       3N     -100         | 
   16     N       2N      120         | Stayman
   17     N       3N      400         | 
   18     N       3N      600         | Stayman
   19     N       3N      -50         | 
   20     N       2N      120         | Stayman
   21     N       3N      600         | 
   22     N       4S      -50         | Stayman
   23     N       4H     -100         | Stayman
   24     N       2N      150         | Stayman
   25     N       2N      120         | Stayman
   26     N       2N      120         | Stayman
   27     N       2N      120         | Stayman
   28     N       3H      170         | Stayman
   29     N       2N     -100         | 
   30     N       2N      120         | 
   31     N       2N      120         | Stayman
   32     N       3N      400         | 
   33     N       2N      120         | Stayman
   34     N       3N      600         | 
   35     N       2N      120         | 
   36     N       4H      620         | Stayman
   37     N       2N      120         | Stayman
   38     N       3N      400         | Stayman
   39     N       2N      120         | 
   40     N       2N      150         | Stayman
   41     N       2N      120         | Stayman
   42     N       3S      140         | Stayman
   43     N       2N      120         | 
   44     N       2N      120         | 
   45     N       3N     -100         | 
   46     N       4H      -50         | Stayman
   47     N       2N      150         | Stayman
   48     N       2N      120         | 
   49     N       3N      400         | Stayman
   50     N       3N      600         | Stayman
   51     N       2N      120         | 
   52     N       2N      120         | Stayman
   53     N       2N      120         | Stayman
   54     N       2N      120         | Stayman
   55     N       3N     -100         | 
   56     N       2N      150         | 
   57     N       3N     -100         | 
   58     W      3CX      200         | 
   59     N       2N      120         | 
   60     N       2N      120         | 
   61     N       2N      120         | Stayman
   62     W      3HX      100         | Stayman
   63     N       3N     -100         | 
   64     N       2N      120         | 
   65     N       3S      170         | Stayman
   66     N       3N     -100         | 
   67     N       3S      140         | Stayman
   68     N       2N      120         | 
   69     N       2N      150         | Stayman
   70     N       2N      150         | 
   71     N       2N      120         | 
   72     N       2N      120         | Stayman
   73     N       2N      150         | 
   74     N       3N     -100         | 
   75     N       2N      120         | 
   76     N       3H      140         | Stayman
   77     N       3H      140         | Stayman
   78     N       2N      150         | Stayman
   79     N       2N      120         | Stayman
   80     W       3H      100         | 
   81     W      3HX     -530         | 
   82     N       2N      120         | Stayman
   83     N       2N      120         | Stayman
   84     N       4H      620         | Stayman
   85     N       3N     -100         | 
   86     N       2N      120         | Stayman
   87     N       2N      150         | Stayman
   88     N       2N      120         | 
   89     N       2N      150         | 
   90     N       2N      150         | Stayman
   91     N       2N      120         | Stayman
   92     N       3S      170         | Stayman
   93     N       2N      120         | Stayman
   94     N       3N      400         | Stayman
   95     N       2N      150         | Stayman
   96     N       2N      150         | Stayman
   97     N       2N      120         | Stayman
   98     N       2N      120         | Stayman
   99     N       2N      120         | Stayman
  100     N       3N     -100         | Stayman
  101     N       2N      150         | Stayman
  102     N       3N      400         | 
  103     N       2N      120         | Stayman
  104     N       2N      120         | 
  105     N       2N      120         | 
  106     N       2N      120         | Stayman
  107     N       4H      420         | Stayman
  108     N       2N      120         | Stayman
  109     N       4S     -100         | Stayman
  110     N       3S      140         | Stayman
  111     N       2N      150         | Stayman
  112     N       2N      120         | Stayman
  113     N       3S      140         | Stayman
  114     N       2N     -100         | Stayman
  115     N       2N      120         | 
  116     N       2N      150         | 
  117     N       3N      600         | Stayman
  118     N       2N      120         | Stayman
  119     N       2N      120         | 
  120     N       4S      420         | Stayman
  121     N       2N      150         | Stayman
  122     N       2N      120         | 
  123     N       2N      150         | Stayman
  124     N       2D      110         | Stayman
  125     N       2N      120         | 
  126     N       2N      120         | 
  127     N       3N      600         | 
  128     N       3N      400         | 
  129     N       2N      120         | Stayman
  130     N       3N      600         | 
  131     N       3N      -50         | 
  132     N       3N     -100         | Stayman
  133     N       3H      170         | Stayman
  134     N       2N      120         | 
  135     N       3N     -100         | 
  136     N       4S      420         | Stayman
  137     N       4H      -50         | Stayman
  138     N       3N     -100         | Stayman
  139     W       3H      150         | 
  140     N       3S      170         | Stayman
  141     N       2N      120         | Stayman
  142     N       2N      120         | 
  143     N       4H     -100         | Stayman
  144     N       2N      120         | Stayman
  145     N       2N      120         | Stayman
  146     N       2N     -100         | Stayman
  147     N       2N      120         | 
  148     N       2D       90         | Stayman
  149     N       2N      150         | Stayman
  150     N       2N      150         | Stayman
  151     N       4S      620         | Stayman
  152     N       3N     -100         | 
  153     N       2N      150         | Stayman
  154     N       2N      120         | 
  155     N       3N      400         | Stayman
  156     N       2N      120         | Stayman
  157     N       2N      150         | Stayman
  158     N       2N      120         | 
  159     N       3N      600         | 
  160     N       3N      -50         | 
  161     N       2N      120         | Stayman
  162     N       2N      150         | 
  163     N       3N      400         | Stayman
  164     N       4S     -100         | Stayman
  165     N       2N      120         | Stayman
  166     N       2N      150         | 
  167     N       2N      120         | Stayman
  168     N       2N      120         | Stayman
  169     N       2N      150         | Stayman
  170     N       3N      600         | 
  171     N       3N      400         | 
  172     N       2N      150         | 
  173     N       3S      140         | Stayman
  174     N       2N      120         | Stayman
  175     N       2N      150         | 
  176     N       3H      140         | Stayman
  177     N       2N      150         | Stayman
  178     N       3N      600         | 
  179     N       2N      120         | Stayman
  180     W      3HX     -730         | 
  181     N       4S      620         | Stayman
  182     N       2N      120         | Stayman
  183     N       3N     -100         | Stayman
  184     N       4S      420         | Stayman
  185     N       4S      420         | Stayman
  186     N       4H      620         | Stayman
  187     N       2N      150         | 
  188     N       2N      120         | Stayman
  189     N       2N      120         | 
  190     N       2N      120         | Stayman
  191     N       2N      120         | 
  192     N       2N      150         | 
  193     N       2N      120         | 
  194     N       2N      120         | Stayman
  195     N       3N     -100         | 
  196     N       2N      150         | Stayman
  197     N       2N      150         | Stayman
  198     N       3N      -50         | 
  199     N       4H     -100         | Stayman
  200     N       3N      400         | 
  201     N       2N      120         | 
  202     N       2N      120         | Stayman
  203     N       2N      150         | 
  204     N       4S      620         | Stayman
  205     N       2N      150         | 
  206     N       3N      -50         | Stayman
  207     N       2N      120         | 
  208     N       2N      120         | Stayman
  209     N       2N      120         | 
  210     N       3N     -100         | Stayman
  211     N       2N      120         | Stayman
  212     N       2N      120         | Stayman
  213     N       2N      120         | 
  214     N       2N      120         | 
  215     N       4H      620         | Stayman
  216     N       2N      120         | Stayman
  217     N       2N      150         | 
  218     N       3H      140         | Stayman
