ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
1,2024.08.26,1,-,-,-,-,-,0,0.00,"7S NS",-,-," ",-
2,2024.08.26,2,-,-,-,-,-,0,0.00,"7N NS",-,-," ",-
3,2024.08.26,3,-,-,-,-,-,0,0.00,"2C EW",-,-," ",-
4,2024.08.26,4,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
5,2024.08.26,5,-,-,-,-,-,0,0.00,"2S NS+1",-,-," ",-
6,2024.08.26,6,-,-,-,-,-,0,0.00,"1S NS+2",-,-," ",-
7,2024.08.26,7,-,-,-,-,-,0,0.00,"2D NS+1",-,-," ",-
8,2024.08.26,8,-,-,-,-,-,0,0.00,"6D NS",-,-," ",-
9,2024.08.26,9,-,-,-,-,-,0,0.00,"3SX NS-1",-,-," ",-
10,2024.08.26,10,-,-,-,-,-,0,0.00,"7N NS",-,-," ",-
11,2024.08.26,11,-,-,-,-,-,0,0.00,"2NX EW-1",-,-," ",-
12,2024.08.26,12,-,-,-,-,-,0,0.00,"3N NS+2",-,-," ",-
13,2024.08.26,13,-,-,-,-,-,0,0.00,"6N NS",-,-," ",-
14,2024.08.26,14,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
15,2024.08.26,15,-,-,-,-,-,0,0.00,"5H NS",-,-," ",-
16,2024.08.26,16,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
17,2024.08.26,17,-,-,-,-,-,0,0.00,"6N NS",-,-," ",-
18,2024.08.26,18,-,-,-,-,-,0,0.00,"3H NS",-,-," ",-
19,2024.08.26,19,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
20,2024.08.26,20,-,-,-,-,-,0,0.00,"3H NS",-,-," ",-
21,2024.08.26,21,-,-,-,-,-,0,0.00,"4N NS+1",-,-," ",-
22,2024.08.26,22,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
23,2024.08.26,23,-,-,-,-,-,0,0.00,"3N NS+1",-,-," ",-
24,2024.08.26,24,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
25,2024.08.26,25,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
26,2024.08.26,26,-,-,-,-,-,0,0.00,"3S NS",-,-," ",-
27,2024.08.26,27,-,-,-,-,-,0,0.00,"3N NS",-,-," ",-
28,2024.08.26,28,-,-,-,-,-,0,0.00,"7N NS",-,-," ",-
29,2024.08.26,29,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
30,2024.08.26,30,-,-,-,-,-,0,0.00,"5SX EW-1",-,-," ",-
31,2024.08.26,31,-,-,-,-,-,0,0.00,"7DX EW-6",-,-," ",-
32,2024.08.26,32,-,-,-,-,-,0,0.00,"6H N",-,-," ",-
33,2024.08.26,33,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
34,2024.08.26,34,-,-,-,-,-,0,0.00,"5H NS",-,-," ",-
35,2024.08.26,35,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
36,2024.08.26,36,-,-,-,-,-,0,0.00,"3D EW",-,-," ",-
37,2024.08.26,37,-,-,-,-,-,0,0.00,"3C EW+1",-,-," ",-
38,2024.08.26,38,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
39,2024.08.26,39,-,-,-,-,-,0,0.00,"1H NS+2",-,-," ",-
40,2024.08.26,40,-,-,-,-,-,0,0.00,"3N NS+1",-,-," ",-
41,2024.08.26,41,-,-,-,-,-,0,0.00,"7N NS",-,-," ",-
42,2024.08.26,42,-,-,-,-,-,0,0.00,"1H NS+2",-,-," ",-
43,2024.08.26,43,-,-,-,-,-,0,0.00,"1H NS+2",-,-," ",-
44,2024.08.26,44,-,-,-,-,-,0,0.00,"7N NS",-,-," ",-
45,2024.08.26,45,-,-,-,-,-,0,0.00,"3N NS+1",-,-," ",-
46,2024.08.26,46,-,-,-,-,-,0,0.00,"6S NS",-,-," ",-
47,2024.08.26,47,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
48,2024.08.26,48,-,-,-,-,-,0,0.00,"3N S+2",-,-," ",-
49,2024.08.26,49,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
50,2024.08.26,50,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
51,2024.08.26,51,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
52,2024.08.26,52,-,-,-,-,-,0,0.00,"3S NS",-,-," ",-
53,2024.08.26,53,-,-,-,-,-,0,0.00,"2NX EW-1",-,-," ",-
54,2024.08.26,54,-,-,-,-,-,0,0.00,"3N NS+2",-,-," ",-
55,2024.08.26,55,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
56,2024.08.26,56,-,-,-,-,-,0,0.00,"4S N",-,-," ",-
57,2024.08.26,57,-,-,-,-,-,0,0.00,"1H NS+2",-,-," ",-
58,2024.08.26,58,-,-,-,-,-,0,0.00,"3N NS+2",-,-," ",-
59,2024.08.26,59,-,-,-,-,-,0,0.00,"2S NS",-,-," ",-
60,2024.08.26,60,-,-,-,-,-,0,0.00,"5HX E-3",-,-," ",-
61,2024.08.26,61,-,-,-,-,-,0,0.00,"1H E+2",-,-," ",-
62,2024.08.26,62,-,-,-,-,-,0,0.00,"4H S",-,-," ",-
63,2024.08.26,63,-,-,-,-,-,0,0.00,"4SX EW-2",-,-," ",-
64,2024.08.26,64,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
65,2024.08.26,65,-,-,-,-,-,0,0.00,"3N NS+2",-,-," ",-
66,2024.08.26,66,-,-,-,-,-,0,0.00,"3N NS",-,-," ",-
67,2024.08.26,67,-,-,-,-,-,0,0.00,"3HX NS-1",-,-," ",-
68,2024.08.26,68,-,-,-,-,-,0,0.00,"2H NS",-,-," ",-
69,2024.08.26,69,-,-,-,-,-,0,0.00,"2H EW",-,-," ",-
70,2024.08.26,70,-,-,-,-,-,0,0.00,"3N NS+2",-,-," ",-
71,2024.08.26,71,-,-,-,-,-,0,0.00,"7N NS",-,-," ",-
72,2024.08.26,72,-,-,-,-,-,0,0.00,"2N EW",-,-," ",-
73,2024.08.26,73,-,-,-,-,-,0,0.00,"1S N+2",-,-," ",-
74,2024.08.26,74,-,-,-,-,-,0,0.00,"6N NS",-,-," ",-
75,2024.08.26,75,-,-,-,-,-,0,0.00,"4S NS+1",-,-," ",-
76,2024.08.26,76,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
77,2024.08.26,77,-,-,-,-,-,0,0.00,"6N NS",-,-," ",-
78,2024.08.26,78,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
79,2024.08.26,79,-,-,-,-,-,0,0.00,"1N NS+1",-,-," ",-
80,2024.08.26,80,-,-,-,-,-,0,0.00,"4S S+1",-,-," ",-
81,2024.08.26,81,-,-,-,-,-,0,0.00,"3N NS",-,-," ",-
82,2024.08.26,82,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
83,2024.08.26,83,-,-,-,-,-,0,0.00,"4S NS+1",-,-," ",-
84,2024.08.26,84,-,-,-,-,-,0,0.00,"6N NS",-,-," ",-
85,2024.08.26,85,-,-,-,-,-,0,0.00,"5DX EW-1",-,-," ",-
86,2024.08.26,86,-,-,-,-,-,0,0.00,"4S NS+1",-,-," ",-
87,2024.08.26,87,-,-,-,-,-,0,0.00,"6N NS",-,-," ",-
88,2024.08.26,88,-,-,-,-,-,0,0.00,"1S NS+2",-,-," ",-
89,2024.08.26,89,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
90,2024.08.26,90,-,-,-,-,-,0,0.00,"3S NS",-,-," ",-
91,2024.08.26,91,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
92,2024.08.26,92,-,-,-,-,-,0,0.00,"2S EW+1",-,-," ",-
93,2024.08.26,93,-,-,-,-,-,0,0.00,"1S NS+2",-,-," ",-
94,2024.08.26,94,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
95,2024.08.26,95,-,-,-,-,-,0,0.00,"4SX EW-2",-,-," ",-
96,2024.08.26,96,-,-,-,-,-,0,0.00,"1S NS+2",-,-," ",-
97,2024.08.26,97,-,-,-,-,-,0,0.00,"6S NS",-,-," ",-
98,2024.08.26,98,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
99,2024.08.26,99,-,-,-,-,-,0,0.00,"6H NS",-,-," ",-
100,2024.08.26,100,-,-,-,-,-,0,0.00,"3N S+1",-,-," ",-
101,2024.08.26,101,-,-,-,-,-,0,0.00,"4S NS+1",-,-," ",-
102,2024.08.26,102,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
103,2024.08.26,103,-,-,-,-,-,0,0.00,"2S EW",-,-," ",-
104,2024.08.26,104,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
105,2024.08.26,105,-,-,-,-,-,0,0.00,"2H S+1",-,-," ",-
106,2024.08.26,106,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
107,2024.08.26,107,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
108,2024.08.26,108,-,-,-,-,-,0,0.00,"6N NS",-,-," ",-
109,2024.08.26,109,-,-,-,-,-,0,0.00,"2S NS+1",-,-," ",-
110,2024.08.26,110,-,-,-,-,-,0,0.00,"3S E",-,-," ",-
111,2024.08.26,111,-,-,-,-,-,0,0.00,"7SX EW-6",-,-," ",-
112,2024.08.26,112,-,-,-,-,-,0,0.00,"4H NS+1",-,-," ",-
113,2024.08.26,113,-,-,-,-,-,0,0.00,"3N NS+1",-,-," ",-
114,2024.08.26,114,-,-,-,-,-,0,0.00,"3N NS+2",-,-," ",-
115,2024.08.26,115,-,-,-,-,-,0,0.00,"6C NS",-,-," ",-
116,2024.08.26,116,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
117,2024.08.26,117,-,-,-,-,-,0,0.00,"3N NS+2",-,-," ",-
118,2024.08.26,118,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
119,2024.08.26,119,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
120,2024.08.26,120,-,-,-,-,-,0,0.00,"4S NS+1",-,-," ",-
121,2024.08.26,121,-,-,-,-,-,0,0.00,"3N NS+1",-,-," ",-
122,2024.08.26,122,-,-,-,-,-,0,0.00,"1S EW+1",-,-," ",-
123,2024.08.26,123,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
124,2024.08.26,124,-,-,-,-,-,0,0.00,"6SX EW-5",-,-," ",-
125,2024.08.26,125,-,-,-,-,-,0,0.00,"6H NS",-,-," ",-
126,2024.08.26,126,-,-,-,-,-,0,0.00,"4H NS",-,-," ",-
127,2024.08.26,127,-,-,-,-,-,0,0.00,"7C NS",-,-," ",-
128,2024.08.26,128,-,-,-,-,-,0,0.00,"3S NS",-,-," ",-
129,2024.08.26,129,-,-,-,-,-,0,0.00,"4S NS",-,-," ",-
130,2024.08.26,130,-,-,-,-,-,0,0.00,"2H NS+1",-,-," ",-
131,2024.08.26,131,-,-,-,-,-,0,0.00,"5S NS",-,-," ",-
132,2024.08.26,132,-,-,-,-,-,0,0.00,"6C NS",-,-," ",-
133,2024.08.26,133,-,-,-,-,-,0,0.00,"3HX E-1",-,-," ",-
134,2024.08.26,134,-,-,-,-,-,0,0.00,"1H NS+2",-,-," ",-
